HOME,AWAY,DATE,TIME (MT)
COL,ANH,10/2/2013,7:30 PM
COL,NSH,10/4/2013,7:00 PM
TOR,COL,10/8/2013,5:00 PM
BOS,COL,10/10/2013,5:00 PM
WSH,COL,10/12/2013,5:00 PM
COL,DAL,10/15/2013,7:00 PM
COL,DET,10/17/2013,7:00 PM
BUF,COL,10/19/2013,5:00 PM
PIT,COL,10/21/2013,5:30 PM
COL,CAR,10/25/2013,7:00 PM
COL,WPG,10/27/2013,6:00 PM
DAL,COL,11/1/2013,6:30 PM
COL,MON,11/2/2013,8:00 PM
COL,NSH,11/6/2013,7:30 PM
COL,CGY,11/8/2013,7:00 PM
COL,WSH,11/10/2013,6:00 PM
CAR,COL,11/12/2013,5:00 PM
STL,COL,11/14/2013,6:00 PM
COL,FLA,11/16/2013,7:00 PM
COL,CHI,11/19/2013,7:00 PM
ARI,COL,11/21/2013,7:00 PM
LAK,COL,11/23/2013,8:30 PM
COL,STL,11/27/2013,7:00 PM
MIN,COL,11/29/2013,4:00 PM
COL,MIN,11/30/2013,7:00 PM
EDM,COL,12/5/2013,7:30 PM
CGY,COL,12/6/2013,7:00 PM
VAN,COL,12/8/2013,6:00 PM
COL,ARI,12/10/2013,7:00 PM
WPG,COL,12/12/2013,6:00 PM
COL,MIN,12/14/2013,7:00 PM
COL,DAL,12/16/2013,7:00 PM
DAL,COL,12/17/2013,6:30 PM
COL,EDM,12/19/2013,7:30 PM
LAK,COL,12/21/2013,2:00 PM
SJS,COL,12/23/2013,8:30 PM
CHI,COL,12/27/2013,6:00 PM
COL,WPG,12/29/2013,6:00 PM
COL,CBJ,12/31/2013,6:00 PM
COL,PHI,1/2/2014,7:00 PM
COL,SJS,1/4/2014,1:00 PM
COL,CGY,1/6/2014,7:00 PM
COL,OTT,1/8/2014,7:30 PM
COL,NYI,1/10/2014,7:00 PM
MIN,COL,1/11/2014,6:00 PM
CHI,COL,1/14/2014,6:00 PM
COL,NJD,1/16/2014,7:00 PM
NSH,COL,1/18/2014,6:00 PM
COL,TOR,1/21/2014,7:00 PM
FLA,COL,1/24/2014,5:30 PM
TBL,COL,1/25/2014,5:00 PM
DAL,COL,1/27/2014,6:30 PM
COL,MIN,1/30/2014,7:00 PM
COL,BUF,2/1/2014,1:00 PM
NJD,COL,2/3/2014,5:30 PM
NYR,COL,2/4/2014,5:00 PM
PHI,COL,2/6/2014,5:00 PM
NYI,COL,2/8/2014,5:00 PM
COL,LAK,2/26/2014,8:00 PM
COL,ARI,2/28/2014,7:00 PM
COL,TBL,3/2/2014,6:00 PM
CHI,COL,3/4/2014,6:00 PM
DET,COL,3/6/2014,6:00 PM
COL,STL,3/8/2014,1:00 PM
COL,WPG,3/10/2014,7:00 PM
COL,CHI,3/12/2014,7:30 PM
COL,ANH,3/14/2014,7:00 PM
OTT,COL,3/16/2014,3:00 PM
MON,COL,3/18/2014,5:30 PM
WPG,COL,3/19/2014,6:00 PM
COL,BOS,3/21/2014,7:00 PM
NSH,COL,3/25/2014,6:00 PM
COL,VAN,3/27/2014,7:00 PM
COL,SJS,3/29/2014,1:00 PM
CBJ,COL,4/1/2014,5:00 PM
COL,NYR,4/3/2014,7:00 PM
STL,COL,4/5/2014,0:00 PM
COL,PIT,4/6/2014,6:00 PM
EDM,COL,4/8/2014,7:30 PM
VAN,COL,4/10/2014,8:00 PM
SJS,COL,4/11/2014,8:00 PM
ANH,COL,4/13/2014,6:00 PM
