HOME,AWAY,DATE,TIME (CT)
DET,BUF,10/2/2013,7:00 PM
CAR,DET,10/4/2013,6:00 PM
BOS,DET,10/5/2013,6:00 PM
DET,ARI,10/10/2013,6:30 PM
DET,PHI,10/12/2013,6:00 PM
BOS,DET,10/14/2013,0:00 PM
DET,CBJ,10/15/2013,7:00 PM
COL,DET,10/17/2013,8:00 PM
ARI,DET,10/19/2013,8:00 PM
DET,SJS,10/21/2013,6:30 PM
DET,OTT,10/23/2013,6:30 PM
DET,NYR,10/26/2013,6:00 PM
VAN,DET,10/30/2013,9:30 PM
CGY,DET,11/1/2013,8:00 PM
EDM,DET,11/2/2013,9:00 PM
WPG,DET,11/4/2013,7:00 PM
DET,DAL,11/7/2013,6:30 PM
DET,TBL,11/9/2013,6:00 PM
DET,WPG,11/12/2013,6:30 PM
DET,WSH,11/15/2013,6:30 PM
NYI,DET,11/16/2013,6:00 PM
DET,NSH,11/19/2013,6:30 PM
DET,CAR,11/21/2013,6:30 PM
DET,OTT,11/23/2013,6:00 PM
BUF,DET,11/24/2013,4:00 PM
DET,BOS,11/27/2013,6:30 PM
NYI,DET,11/29/2013,3:00 PM
OTT,DET,12/1/2013,4:30 PM
DET,PHI,12/4/2013,7:00 PM
NJD,DET,12/6/2013,6:00 PM
DET,FLA,12/7/2013,6:00 PM
FLA,DET,12/10/2013,6:30 PM
TBL,DET,12/12/2013,6:30 PM
DET,PIT,12/14/2013,6:00 PM
DET,TBL,12/15/2013,4:00 PM
DET,ANH,12/17/2013,6:30 PM
DET,CGY,12/19/2013,6:30 PM
TOR,DET,12/21/2013,6:00 PM
DET,NYI,12/23/2013,6:30 PM
FLA,DET,12/28/2013,6:00 PM
NSH,DET,12/30/2013,7:00 PM
DET,TOR,1/1/2014,0:00 PM
DAL,DET,1/4/2014,7:00 PM
SJS,DET,1/9/2014,9:30 PM
LAK,DET,1/11/2014,9:30 PM
ANH,DET,1/12/2014,7:00 PM
NYR,DET,1/16/2014,6:00 PM
DET,LAK,1/18/2014,6:00 PM
DET,STL,1/20/2014,6:30 PM
DET,CHI,1/22/2014,7:00 PM
DET,MON,1/24/2014,6:30 PM
DET,FLA,1/26/2014,4:00 PM
PHI,DET,1/28/2014,6:00 PM
DET,WSH,1/31/2014,6:30 PM
WSH,DET,2/2/2014,11:30 PM
DET,VAN,2/3/2014,6:30 PM
FLA,DET,2/6/2014,6:30 PM
TBL,DET,2/8/2014,6:00 PM
MON,DET,2/26/2014,6:30 PM
OTT,DET,2/27/2014,6:30 PM
NJD,DET,3/4/2014,6:00 PM
DET,COL,3/6/2014,7:00 PM
DET,NJD,3/7/2014,6:30 PM
NYR,DET,3/9/2014,11:30 PM
CBJ,DET,3/11/2014,6:00 PM
DET,EDM,3/14/2014,6:30 PM
CHI,DET,3/16/2014,6:30 PM
DET,TOR,3/18/2014,6:30 PM
DET,PIT,3/20/2014,6:30 PM
MIN,DET,3/22/2014,1:00 PM
DET,MIN,3/23/2014,6:30 PM
CBJ,DET,3/25/2014,6:30 PM
DET,MON,3/27/2014,6:00 PM
TOR,DET,3/29/2014,6:00 PM
DET,TBL,3/30/2014,4:00 PM
DET,BOS,4/2/2014,7:00 PM
DET,BUF,4/4/2014,6:30 PM
MON,DET,4/5/2014,6:00 PM
BUF,DET,4/8/2014,6:00 PM
PIT,DET,4/9/2014,7:00 PM
DET,CAR,4/11/2014,6:30 PM
STL,DET,4/13/2014,11:30 PM
