HOME,AWAY,DATE,TIME (ET)
DAL,FLA,10/3/2013,8:30 PM
STL,FLA,10/5/2013,8:00 PM
PHI,FLA,10/8/2013,7:00 PM
TBL,FLA,10/10/2013,7:30 PM
FLA,PIT,10/11/2013,7:30 PM
FLA,LAK,10/13/2013,3:00 PM
NSH,FLA,10/15/2013,8:00 PM
FLA,BOS,10/17/2013,7:30 PM
FLA,MIN,10/19/2013,7:00 PM
FLA,CHI,10/22/2013,7:30 PM
FLA,BUF,10/25/2013,7:30 PM
FLA,TBL,10/27/2013,5:00 PM
FLA,STL,11/1/2013,7:30 PM
WSH,FLA,11/2/2013,7:00 PM
FLA,EDM,11/5/2013,7:30 PM
BOS,FLA,11/7/2013,7:00 PM
OTT,FLA,11/9/2013,2:00 PM
NYR,FLA,11/10/2013,7:00 PM
FLA,ANH,11/12/2013,7:30 PM
MIN,FLA,11/15/2013,8:00 PM
COL,FLA,11/16/2013,9:00 PM
VAN,FLA,11/19/2013,10:00 PM
EDM,FLA,11/21/2013,9:30 PM
CGY,FLA,11/22/2013,9:00 PM
FLA,PHI,11/25/2013,7:30 PM
FLA,NYR,11/27/2013,7:30 PM
FLA,PIT,11/30/2013,7:00 PM
FLA,OTT,12/3/2013,7:30 PM
FLA,WPG,12/5/2013,7:30 PM
DET,FLA,12/7/2013,7:00 PM
CHI,FLA,12/8/2013,7:00 PM
FLA,DET,12/10/2013,7:30 PM
FLA,WSH,12/13/2013,7:30 PM
MON,FLA,12/15/2013,6:00 PM
TOR,FLA,12/17/2013,7:00 PM
OTT,FLA,12/19/2013,7:30 PM
WPG,FLA,12/20/2013,8:00 PM
FLA,TBL,12/23/2013,7:30 PM
FLA,DET,12/28/2013,7:00 PM
FLA,MON,12/29/2013,5:00 PM
FLA,NYR,12/31/2013,5:00 PM
FLA,NSH,1/4/2014,7:00 PM
MON,FLA,1/6/2014,7:30 PM
BUF,FLA,1/9/2014,7:00 PM
NJD,FLA,1/11/2014,7:00 PM
FLA,NYI,1/14/2014,7:30 PM
FLA,SJS,1/16/2014,7:30 PM
CAR,FLA,1/18/2014,7:00 PM
PIT,FLA,1/20/2014,7:00 PM
BUF,FLA,1/21/2014,7:00 PM
FLA,COL,1/24/2014,7:30 PM
DET,FLA,1/26/2014,5:00 PM
BOS,FLA,1/28/2014,7:00 PM
TOR,FLA,1/30/2014,7:00 PM
CBJ,FLA,2/1/2014,7:00 PM
FLA,TOR,2/4/2014,7:30 PM
FLA,DET,2/6/2014,7:30 PM
CAR,FLA,2/7/2014,7:00 PM
FLA,WSH,2/27/2014,7:30 PM
CBJ,FLA,3/1/2014,2:00 PM
NYI,FLA,3/2/2014,3:00 PM
BOS,FLA,3/4/2014,7:00 PM
FLA,BUF,3/7/2014,7:30 PM
FLA,BOS,3/9/2014,5:00 PM
FLA,ARI,3/11/2014,7:30 PM
TBL,FLA,3/13/2014,7:30 PM
FLA,NJD,3/14/2014,7:30 PM
FLA,VAN,3/16/2014,3:00 PM
SJS,FLA,3/18/2014,10:30 PM
ARI,FLA,3/20/2014,10:00 PM
LAK,FLA,3/22/2014,4:00 PM
ANH,FLA,3/23/2014,8:00 PM
FLA,OTT,3/25/2014,7:30 PM
FLA,CAR,3/27/2014,7:30 PM
FLA,MON,3/29/2014,7:00 PM
NJD,FLA,3/31/2014,7:30 PM
NYI,FLA,4/1/2014,7:00 PM
FLA,CGY,4/4/2014,7:30 PM
FLA,DAL,4/6/2014,5:00 PM
FLA,PHI,4/8/2014,7:30 PM
FLA,TOR,4/10/2014,7:30 PM
FLA,CBJ,4/12/2014,7:00 PM
