HOME,AWAY,DATE,TIME (PT)
MIN,LAK,10/3/2013,5:00 PM
WPG,LAK,10/4/2013,5:00 PM
LAK,NYR,10/7/2013,7:30 PM
LAK,OTT,10/9/2013,7:30 PM
CAR,LAK,10/11/2013,4:00 PM
FLA,LAK,10/13/2013,0:00 PM
TBL,LAK,10/15/2013,4:30 PM
NSH,LAK,10/17/2013,5:00 PM
LAK,DAL,10/19/2013,7:30 PM
LAK,CGY,10/21/2013,7:30 PM
LAK,ARI,10/24/2013,7:30 PM
LAK,EDM,10/27/2013,6:00 PM
ARI,LAK,10/29/2013,7:00 PM
LAK,SJS,10/30/2013,7:30 PM
LAK,NSH,11/2/2013,7:30 PM
LAK,BUF,11/7/2013,7:30 PM
LAK,VAN,11/9/2013,7:00 PM
BUF,LAK,11/12/2013,4:00 PM
NYI,LAK,11/14/2013,4:00 PM
NJD,LAK,11/15/2013,4:00 PM
NYR,LAK,11/17/2013,4:00 PM
LAK,TBL,11/19/2013,7:30 PM
LAK,NJD,11/21/2013,7:30 PM
LAK,COL,11/23/2013,7:30 PM
VAN,LAK,11/25/2013,7:00 PM
SJS,LAK,11/27/2013,7:30 PM
LAK,CGY,11/30/2013,7:00 PM
LAK,STL,12/2/2013,7:30 PM
ANH,LAK,12/3/2013,7:00 PM
LAK,NYI,12/7/2013,7:30 PM
MON,LAK,12/10/2013,4:00 PM
TOR,LAK,12/11/2013,4:30 PM
OTT,LAK,12/14/2013,11:00 PM
CHI,LAK,12/15/2013,4:00 PM
LAK,EDM,12/17/2013,7:30 PM
LAK,SJS,12/19/2013,7:30 PM
LAK,COL,12/21/2013,1:00 PM
LAK,DAL,12/23/2013,7:30 PM
NSH,LAK,12/28/2013,5:00 PM
CHI,LAK,12/30/2013,5:00 PM
DAL,LAK,12/31/2013,5:00 PM
STL,LAK,1/2/2014,5:00 PM
LAK,VAN,1/4/2014,7:00 PM
LAK,MIN,1/7/2014,7:30 PM
LAK,BOS,1/9/2014,7:30 PM
LAK,DET,1/11/2014,7:30 PM
LAK,VAN,1/13/2014,7:30 PM
STL,LAK,1/16/2014,5:00 PM
DET,LAK,1/18/2014,4:00 PM
BOS,LAK,1/20/2014,0:00 PM
CBJ,LAK,1/21/2014,4:00 PM
ANH,LAK,1/23/2014,7:00 PM
LAK,ANH,1/25/2014,6:30 PM
SJS,LAK,1/27/2014,7:00 PM
ARI,LAK,1/28/2014,6:00 PM
LAK,PIT,1/30/2014,7:30 PM
LAK,PHI,2/1/2014,1:00 PM
LAK,CHI,2/3/2014,7:30 PM
LAK,CBJ,2/6/2014,7:30 PM
COL,LAK,2/26/2014,7:00 PM
CGY,LAK,2/27/2014,6:30 PM
LAK,CAR,3/1/2014,1:00 PM
LAK,MON,3/3/2014,7:30 PM
WPG,LAK,3/6/2014,4:00 PM
EDM,LAK,3/9/2014,5:00 PM
CGY,LAK,3/10/2014,6:00 PM
LAK,TOR,3/13/2014,7:30 PM
LAK,ANH,3/15/2014,7:30 PM
LAK,ARI,3/17/2014,7:30 PM
LAK,WSH,3/20/2014,7:30 PM
LAK,FLA,3/22/2014,1:00 PM
PHI,LAK,3/24/2014,4:00 PM
WSH,LAK,3/25/2014,4:00 PM
PIT,LAK,3/27/2014,4:00 PM
LAK,WPG,3/29/2014,7:00 PM
LAK,MIN,3/31/2014,7:00 PM
LAK,ARI,4/2/2014,7:30 PM
SJS,LAK,4/3/2014,7:30 PM
VAN,LAK,4/5/2014,7:00 PM
CGY,LAK,4/9/2014,7:00 PM
EDM,LAK,4/10/2014,6:30 PM
LAK,ANH,4/12/2014,7:30 PM
