DATE,VISITING TEAM,HOME TEAM,TIME
,,,
"TUE OCT 1, 2013",TORONTO,MONTREAL,7:00 PM ET
,,,
"TUE OCT 1, 2013",WASHINGTON,CHICAGO,8:00 PM ET
,,,
"TUE OCT 1, 2013",WINNIPEG,EDMONTON,10:00 PM ET
,,,
"WED OCT 2, 2013",TORONTO,PHILADELPHIA,7:30 PM ET
,,,
"WED OCT 2, 2013",BUFFALO,DETROIT,8:00 PM ET
,,,
"WED OCT 2, 2013",ANAHEIM,COLORADO,9:30 PM ET
,,,
"THU OCT 3, 2013",TAMPA BAY,BOSTON,7:00 PM ET
,,,
"THU OCT 3, 2013",NEW JERSEY,PITTSBURGH,7:00 PM ET
,,,
"THU OCT 3, 2013",CALGARY,WASHINGTON,7:00 PM ET
,,,
"THU OCT 3, 2013",LOS ANGELES,MINNESOTA,8:00 PM ET
,,,
"THU OCT 3, 2013",NASHVILLE,ST. LOUIS,8:30 PM ET
,,,
"THU OCT 3, 2013",FLORIDA,DALLAS,8:30 PM ET
,,,
"THU OCT 3, 2013",NY RANGERS,PHOENIX,10:00 PM ET
,,,
"THU OCT 3, 2013",VANCOUVER,SAN JOSE,10:00 PM ET
,,,
"FRI OCT 4, 2013",OTTAWA,BUFFALO,7:00 PM ET
,,,
"FRI OCT 4, 2013",NY ISLANDERS,NEW JERSEY,7:00 PM ET
,,,
"FRI OCT 4, 2013",DETROIT,CAROLINA,7:00 PM ET
,,,
"FRI OCT 4, 2013",CALGARY,COLUMBUS,7:00 PM ET
,,,
"FRI OCT 4, 2013",LOS ANGELES,WINNIPEG,8:00 PM ET
,,,
"FRI OCT 4, 2013",NASHVILLE,COLORADO,9:00 PM ET
,,,
"SAT OCT 5, 2013",DETROIT,BOSTON,7:00 PM ET
,,,
"SAT OCT 5, 2013",OTTAWA,TORONTO,7:00 PM ET
,,,
"SAT OCT 5, 2013",PHILADELPHIA,MONTREAL,7:00 PM ET
,,,
"SAT OCT 5, 2013",COLUMBUS,NY ISLANDERS,7:00 PM ET
,,,
