HOME,AWAY,DATE,TIME (ET)
BUF,OTT,10/4/2013,7:00 PM
TOR,OTT,10/5/2013,7:00 PM
LAK,OTT,10/9/2013,10:30 PM
SJS,OTT,10/12/2013,10:00 PM
ANH,OTT,10/13/2013,8:00 PM
ARI,OTT,10/15/2013,10:00 PM
OTT,NJD,10/17/2013,7:30 PM
OTT,EDM,10/19/2013,2:00 PM
DET,OTT,10/23/2013,7:30 PM
OTT,ANH,10/25/2013,7:30 PM
OTT,SJS,10/27/2013,5:00 PM
CHI,OTT,10/29/2013,8:00 PM
OTT,NYI,11/1/2013,7:30 PM
OTT,DAL,11/3/2013,1:00 PM
CBJ,OTT,11/5/2013,7:00 PM
OTT,MON,11/7/2013,7:00 PM
OTT,FLA,11/9/2013,2:00 PM
OTT,PHI,11/12/2013,7:30 PM
OTT,BOS,11/15/2013,7:30 PM
OTT,CBJ,11/17/2013,1:00 PM
PHI,OTT,11/19/2013,7:00 PM
OTT,MIN,11/20/2013,7:30 PM
DET,OTT,11/23/2013,7:00 PM
CAR,OTT,11/24/2013,5:00 PM
WSH,OTT,11/27/2013,7:00 PM
OTT,VAN,11/28/2013,7:30 PM
OTT,DET,12/1/2013,5:30 PM
FLA,OTT,12/3/2013,7:30 PM
TBL,OTT,12/5/2013,7:30 PM
OTT,TOR,12/7/2013,7:00 PM
OTT,PHI,12/9/2013,7:30 PM
BUF,OTT,12/10/2013,7:00 PM
OTT,BUF,12/12/2013,7:30 PM
OTT,LAK,12/14/2013,2:00 PM
OTT,STL,12/16/2013,7:30 PM
NJD,OTT,12/18/2013,7:30 PM
OTT,FLA,12/19/2013,7:30 PM
OTT,ARI,12/21/2013,2:00 PM
OTT,PIT,12/23/2013,7:30 PM
BOS,OTT,12/27/2013,7:00 PM
OTT,BOS,12/28/2013,7:00 PM
OTT,WSH,12/30/2013,7:30 PM
OTT,WPG,1/2/2014,7:30 PM
MON,OTT,1/4/2014,7:00 PM
COL,OTT,1/8/2014,9:30 PM
NSH,OTT,1/11/2014,7:00 PM
MIN,OTT,1/14/2014,8:00 PM
OTT,MON,1/16/2014,7:30 PM
OTT,NYR,1/18/2014,2:00 PM
WSH,OTT,1/21/2014,7:00 PM
TBL,OTT,1/23/2014,7:30 PM
CAR,OTT,1/25/2014,0:00 PM
CBJ,OTT,1/28/2014,7:00 PM
OTT,TBL,1/30/2014,7:30 PM
TOR,OTT,2/1/2014,7:00 PM
PIT,OTT,2/3/2014,7:00 PM
STL,OTT,2/4/2014,8:00 PM
OTT,BUF,2/6/2014,7:30 PM
BOS,OTT,2/8/2014,3:00 PM
OTT,DET,2/27/2014,7:30 PM
VAN,OTT,3/2/2014,4:00 PM
EDM,OTT,3/4/2014,9:30 PM
CGY,OTT,3/5/2014,9:30 PM
WPG,OTT,3/8/2014,3:00 PM
OTT,NSH,3/10/2014,7:30 PM
MON,OTT,3/15/2014,7:00 PM
OTT,COL,3/16/2014,5:00 PM
OTT,NYR,3/18/2014,7:30 PM
OTT,TBL,3/20/2014,7:30 PM
DAL,OTT,3/22/2014,3:00 PM
TBL,OTT,3/24/2014,7:30 PM
FLA,OTT,3/25/2014,7:30 PM
OTT,CHI,3/28/2014,7:30 PM
OTT,CGY,3/30/2014,5:00 PM
OTT,CAR,3/31/2014,7:30 PM
OTT,NYI,4/2/2014,7:00 PM
OTT,MON,4/4/2014,7:00 PM
NYR,OTT,4/5/2014,7:00 PM
NYI,OTT,4/8/2014,7:00 PM
OTT,NJD,4/10/2014,7:30 PM
OTT,TOR,4/12/2014,7:00 PM
PIT,OTT,4/13/2014,7:30 PM
