HOME,AWAY,DATE,TIME (ET)
PHI,TOR,10/2/2013,7:30 PM
MON,PHI,10/5/2013,7:00 PM
CAR,PHI,10/6/2013,5:00 PM
PHI,FLA,10/8/2013,7:00 PM
PHI,ARI,10/11/2013,7:00 PM
DET,PHI,10/12/2013,7:00 PM
PHI,VAN,10/15/2013,7:00 PM
PHI,PIT,10/17/2013,7:00 PM
PHI,NYR,10/24/2013,7:00 PM
NYI,PHI,10/26/2013,7:00 PM
PHI,ANH,10/29/2013,7:00 PM
PHI,WSH,11/1/2013,7:00 PM
NJD,PHI,11/2/2013,7:00 PM
CAR,PHI,11/5/2013,7:30 PM
PHI,NJD,11/7/2013,7:00 PM
PHI,EDM,11/9/2013,1:00 PM
OTT,PHI,11/12/2013,7:30 PM
PIT,PHI,11/13/2013,8:00 PM
WPG,PHI,11/15/2013,8:00 PM
PHI,OTT,11/19/2013,7:00 PM
PHI,BUF,11/21/2013,7:00 PM
PHI,NYI,11/23/2013,7:00 PM
FLA,PHI,11/25/2013,7:30 PM
TBL,PHI,11/27/2013,7:30 PM
PHI,WPG,11/29/2013,11:30 AM
NSH,PHI,11/30/2013,8:00 PM
MIN,PHI,12/2/2013,8:00 PM
DET,PHI,12/4/2013,8:00 PM
DAL,PHI,12/7/2013,2:00 PM
OTT,PHI,12/9/2013,7:30 PM
CHI,PHI,12/11/2013,8:00 PM
PHI,MON,12/12/2013,7:00 PM
WSH,PHI,12/15/2013,3:00 PM
PHI,WSH,12/17/2013,7:30 PM
PHI,CBJ,12/19/2013,7:00 PM
CBJ,PHI,12/21/2013,7:00 PM
PHI,MIN,12/23/2013,7:30 PM
EDM,PHI,12/28/2013,10:00 PM
VAN,PHI,12/30/2013,10:00 PM
CGY,PHI,12/31/2013,9:00 PM
COL,PHI,1/2/2014,9:00 PM
ARI,PHI,1/4/2014,8:00 PM
NJD,PHI,1/7/2014,7:30 PM
PHI,MON,1/8/2014,7:30 PM
PHI,TBL,1/11/2014,1:00 PM
NYR,PHI,1/12/2014,7:00 PM
BUF,PHI,1/14/2014,7:30 PM
PHI,NSH,1/16/2014,7:00 PM
PHI,NYI,1/18/2014,7:00 PM
NYI,PHI,1/20/2014,1:00 PM
PHI,CAR,1/22/2014,6:00 PM
CBJ,PHI,1/23/2014,7:00 PM
PHI,BOS,1/25/2014,1:00 PM
PHI,DET,1/28/2014,7:00 PM
ANH,PHI,1/30/2014,10:00 PM
LAK,PHI,2/1/2014,4:00 PM
SJS,PHI,2/3/2014,10:30 PM
PHI,COL,2/6/2014,7:00 PM
PHI,CGY,2/8/2014,1:00 PM
PHI,SJS,2/27/2014,7:00 PM
PHI,NYR,3/1/2014,1:00 PM
WSH,PHI,3/2/2014,0:30 PM
PHI,WSH,3/5/2014,8:00 PM
TOR,PHI,3/8/2014,7:00 PM
PHI,NJD,3/11/2014,7:00 PM
PHI,PIT,3/15/2014,1:00 PM
PIT,PHI,3/16/2014,0:30 PM
PHI,CHI,3/18/2014,7:30 PM
PHI,DAL,3/20/2014,7:00 PM
PHI,STL,3/22/2014,1:00 PM
PHI,LAK,3/24/2014,7:00 PM
NYR,PHI,3/26/2014,8:00 PM
PHI,TOR,3/28/2014,7:00 PM
PHI,BOS,3/30/2014,0:30 PM
STL,PHI,4/1/2014,8:00 PM
PHI,CBJ,4/3/2014,7:00 PM
BOS,PHI,4/5/2014,1:00 PM
PHI,BUF,4/6/2014,7:30 PM
FLA,PHI,4/8/2014,7:30 PM
TBL,PHI,4/10/2014,7:30 PM
PIT,PHI,4/12/2014,3:00 PM
PHI,CAR,4/13/2014,3:00 PM
