HOME,AWAY,DATE,TIME (PT)
SJS,VAN,10/3/2013,7:00 PM
SJS,ARI,10/5/2013,7:30 PM
SJS,NYR,10/8/2013,7:30 PM
VAN,SJS,10/10/2013,7:00 PM
SJS,OTT,10/12/2013,7:00 PM
STL,SJS,10/15/2013,5:00 PM
DAL,SJS,10/17/2013,5:30 PM
SJS,CGY,10/19/2013,7:00 PM
DET,SJS,10/21/2013,4:30 PM
BOS,SJS,10/24/2013,4:00 PM
MON,SJS,10/26/2013,4:00 PM
OTT,SJS,10/27/2013,2:00 PM
LAK,SJS,10/30/2013,7:30 PM
SJS,ARI,11/2/2013,7:30 PM
SJS,BUF,11/5/2013,7:30 PM
SJS,VAN,11/7/2013,7:30 PM
WPG,SJS,11/10/2013,5:00 PM
CGY,SJS,11/12/2013,6:00 PM
VAN,SJS,11/14/2013,7:00 PM
EDM,SJS,11/15/2013,7:00 PM
CHI,SJS,11/17/2013,4:00 PM
SJS,TBL,11/21/2013,7:30 PM
SJS,NJD,11/23/2013,7:30 PM
SJS,LAK,11/27/2013,7:30 PM
SJS,STL,11/29/2013,1:00 PM
SJS,ANH,11/30/2013,7:30 PM
TOR,SJS,12/3/2013,4:00 PM
PIT,SJS,12/5/2013,4:00 PM
CAR,SJS,12/6/2013,4:00 PM
MIN,SJS,12/8/2013,3:00 PM
SJS,NYI,12/10/2013,7:30 PM
SJS,MIN,12/12/2013,7:30 PM
NSH,SJS,12/14/2013,5:00 PM
STL,SJS,12/17/2013,5:00 PM
LAK,SJS,12/19/2013,7:30 PM
SJS,DAL,12/21/2013,7:30 PM
SJS,COL,12/23/2013,7:30 PM
ARI,SJS,12/27/2013,6:00 PM
SJS,ANH,12/29/2013,7:30 PM
ANH,SJS,12/31/2013,5:00 PM
SJS,EDM,1/2/2014,7:30 PM
COL,SJS,1/4/2014,0:00 PM
CHI,SJS,1/5/2014,5:00 PM
NSH,SJS,1/7/2014,5:00 PM
SJS,DET,1/9/2014,7:30 PM
SJS,BOS,1/11/2014,7:30 PM
WSH,SJS,1/14/2014,4:00 PM
FLA,SJS,1/16/2014,4:30 PM
TBL,SJS,1/18/2014,11:00 PM
SJS,CGY,1/20/2014,7:30 PM
SJS,WPG,1/23/2014,7:30 PM
SJS,MIN,1/25/2014,7:30 PM
SJS,LAK,1/27/2014,7:00 PM
EDM,SJS,1/29/2014,6:30 PM
CGY,SJS,1/30/2014,6:00 PM
SJS,CHI,2/1/2014,7:30 PM
SJS,PHI,2/3/2014,7:30 PM
SJS,DAL,2/5/2014,7:30 PM
SJS,CBJ,2/7/2014,7:30 PM
PHI,SJS,2/27/2014,4:00 PM
BUF,SJS,2/28/2014,4:00 PM
NJD,SJS,3/2/2014,0:00 PM
SJS,CAR,3/4/2014,7:30 PM
SJS,PIT,3/6/2014,7:30 PM
SJS,MON,3/8/2014,7:00 PM
SJS,TOR,3/11/2014,7:30 PM
CBJ,SJS,3/13/2014,4:00 PM
NYI,SJS,3/14/2014,4:00 PM
NYR,SJS,3/16/2014,1:00 PM
SJS,FLA,3/18/2014,7:30 PM
SJS,ANH,3/20/2014,7:30 PM
SJS,WSH,3/22/2014,7:30 PM
CGY,SJS,3/24/2014,6:00 PM
EDM,SJS,3/25/2014,6:30 PM
SJS,WPG,3/27/2014,7:30 PM
COL,SJS,3/29/2014,0:00 PM
SJS,EDM,4/1/2014,7:30 PM
SJS,LAK,4/3/2014,7:30 PM
SJS,NSH,4/5/2014,7:30 PM
ANH,SJS,4/9/2014,7:30 PM
SJS,COL,4/11/2014,7:00 PM
ARI,SJS,4/12/2014,6:00 PM
