HOME,AWAY,DATE,TIME (ET)
MON,TOR,10/1/2013,7:00 PM
PHI,TOR,10/2/2013,7:30 PM
TOR,OTT,10/5/2013,7:00 PM
TOR,COL,10/8/2013,7:00 PM
NSH,TOR,10/10/2013,8:00 PM
TOR,EDM,10/12/2013,7:00 PM
TOR,MIN,10/15/2013,7:00 PM
TOR,CAR,10/17/2013,7:00 PM
CHI,TOR,10/19/2013,7:00 PM
TOR,ANH,10/22/2013,7:00 PM
CBJ,TOR,10/25/2013,7:00 PM
TOR,PIT,10/26/2013,7:00 PM
EDM,TOR,10/29/2013,9:00 PM
CGY,TOR,10/30/2013,8:00 PM
VAN,TOR,11/2/2013,7:00 PM
TOR,NJD,11/8/2013,7:30 PM
BOS,TOR,11/9/2013,7:00 PM
MIN,TOR,11/13/2013,7:30 PM
BUF,TOR,11/15/2013,7:00 PM
TOR,BUF,11/16/2013,7:00 PM
TOR,NYI,11/19/2013,7:00 PM
TOR,NSH,11/21/2013,7:00 PM
TOR,WSH,11/23/2013,7:00 PM
TOR,CBJ,11/25/2013,7:00 PM
PIT,TOR,11/27/2013,7:30 PM
BUF,TOR,11/29/2013,7:30 PM
MON,TOR,11/30/2013,7:00 PM
TOR,SJS,12/3/2013,7:00 PM
TOR,DAL,12/5/2013,7:00 PM
OTT,TOR,12/7/2013,7:00 PM
TOR,BOS,12/8/2013,7:00 PM
TOR,LAK,12/11/2013,7:30 PM
STL,TOR,12/12/2013,8:00 PM
TOR,CHI,12/14/2013,7:00 PM
PIT,TOR,12/16/2013,7:00 PM
TOR,FLA,12/17/2013,7:00 PM
TOR,ARI,12/19/2013,7:00 PM
TOR,DET,12/21/2013,7:00 PM
NYR,TOR,12/23/2013,7:00 PM
TOR,BUF,12/27/2013,7:30 PM
TOR,CAR,12/29/2013,7:00 PM
DET,TOR,1/1/2014,1:00 PM
TOR,NYR,1/4/2014,7:00 PM
TOR,NYI,1/7/2014,7:00 PM
CAR,TOR,1/9/2014,7:00 PM
WSH,TOR,1/10/2014,7:00 PM
TOR,NJD,1/12/2014,7:00 PM
BOS,TOR,1/14/2014,7:00 PM
TOR,BUF,1/15/2014,7:30 PM
TOR,MON,1/18/2014,7:00 PM
ARI,TOR,1/20/2014,8:00 PM
COL,TOR,1/21/2014,9:00 PM
DAL,TOR,1/23/2014,8:00 PM
WPG,TOR,1/25/2014,7:00 PM
TOR,TBL,1/28/2014,7:00 PM
TOR,FLA,1/30/2014,7:00 PM
TOR,OTT,2/1/2014,7:00 PM
FLA,TOR,2/4/2014,7:30 PM
TBL,TOR,2/6/2014,7:30 PM
TOR,VAN,2/8/2014,6:00 PM
NYI,TOR,2/27/2014,7:00 PM
MON,TOR,3/1/2014,7:00 PM
TOR,CBJ,3/3/2014,7:00 PM
NYR,TOR,3/5/2014,7:00 PM
TOR,PHI,3/8/2014,7:00 PM
ANH,TOR,3/10/2014,10:00 PM
SJS,TOR,3/11/2014,10:30 PM
LAK,TOR,3/13/2014,10:30 PM
WSH,TOR,3/16/2014,3:00 PM
DET,TOR,3/18/2014,7:30 PM
TOR,TBL,3/19/2014,7:00 PM
TOR,MON,3/22/2014,7:00 PM
NJD,TOR,3/23/2014,7:00 PM
TOR,STL,3/25/2014,7:00 PM
PHI,TOR,3/28/2014,7:00 PM
TOR,DET,3/29/2014,7:00 PM
TOR,CGY,4/1/2014,7:00 PM
TOR,BOS,4/3/2014,7:30 PM
TOR,WPG,4/5/2014,7:00 PM
TBL,TOR,4/8/2014,7:30 PM
FLA,TOR,4/10/2014,7:30 PM
OTT,TOR,4/12/2014,7:00 PM
