HOME,AWAY,DATE,TIME (PT)
SJS,VAN,10/3/2013,7:00 PM
VAN,EDM,10/5/2013,7:00 PM
CGY,VAN,10/6/2013,5:00 PM
VAN,NJD,10/8/2013,7:00 PM
VAN,SJS,10/10/2013,7:00 PM
VAN,MON,10/12/2013,7:00 PM
PHI,VAN,10/15/2013,4:00 PM
BUF,VAN,10/17/2013,4:00 PM
PIT,VAN,10/19/2013,10:00 PM
CBJ,VAN,10/20/2013,3:00 PM
NYI,VAN,10/22/2013,4:00 PM
NJD,VAN,10/24/2013,4:00 PM
STL,VAN,10/25/2013,5:00 PM
VAN,WSH,10/28/2013,7:00 PM
VAN,DET,10/30/2013,7:30 PM
VAN,TOR,11/2/2013,4:00 PM
ARI,VAN,11/5/2013,6:00 PM
SJS,VAN,11/7/2013,7:30 PM
LAK,VAN,11/9/2013,7:00 PM
ANH,VAN,11/10/2013,5:00 PM
VAN,SJS,11/14/2013,7:00 PM
VAN,DAL,11/17/2013,5:00 PM
VAN,FLA,11/19/2013,7:00 PM
VAN,CBJ,11/22/2013,7:00 PM
VAN,CHI,11/23/2013,7:00 PM
VAN,LAK,11/25/2013,7:00 PM
OTT,VAN,11/28/2013,4:30 PM
NYR,VAN,11/30/2013,11:00 PM
CAR,VAN,12/1/2013,10:00 PM
NSH,VAN,12/3/2013,5:00 PM
VAN,ARI,12/6/2013,7:00 PM
VAN,COL,12/8/2013,5:00 PM
VAN,CAR,12/9/2013,7:00 PM
VAN,EDM,12/13/2013,6:00 PM
VAN,BOS,12/14/2013,7:00 PM
MIN,VAN,12/17/2013,5:00 PM
DAL,VAN,12/19/2013,5:30 PM
CHI,VAN,12/20/2013,5:00 PM
VAN,WPG,12/22/2013,5:00 PM
CGY,VAN,12/29/2013,4:30 PM
VAN,PHI,12/30/2013,7:00 PM
VAN,TBL,1/1/2014,7:00 PM
LAK,VAN,1/4/2014,7:00 PM
ANH,VAN,1/5/2014,5:00 PM
VAN,PIT,1/7/2014,7:00 PM
VAN,STL,1/10/2014,7:00 PM
LAK,VAN,1/13/2014,7:30 PM
ANH,VAN,1/15/2014,7:30 PM
ARI,VAN,1/16/2014,6:00 PM
VAN,CGY,1/18/2014,7:00 PM
EDM,VAN,1/21/2014,6:30 PM
VAN,NSH,1/23/2014,7:00 PM
VAN,ARI,1/26/2014,5:00 PM
VAN,EDM,1/27/2014,7:00 PM
VAN,CHI,1/29/2014,7:30 PM
WPG,VAN,1/31/2014,5:30 PM
DET,VAN,2/3/2014,4:30 PM
BOS,VAN,2/4/2014,4:00 PM
MON,VAN,2/6/2014,4:30 PM
TOR,VAN,2/8/2014,3:00 PM
VAN,STL,2/26/2014,7:30 PM
VAN,MIN,2/28/2014,7:00 PM
VAN,OTT,3/2/2014,1:00 PM
ARI,VAN,3/4/2014,6:00 PM
DAL,VAN,3/6/2014,5:30 PM
VAN,CGY,3/8/2014,7:00 PM
VAN,NYI,3/10/2014,7:00 PM
WPG,VAN,3/12/2014,4:30 PM
WSH,VAN,3/14/2014,4:00 PM
FLA,VAN,3/16/2014,0:00 PM
TBL,VAN,3/17/2014,4:30 PM
VAN,NSH,3/19/2014,7:00 PM
VAN,BUF,3/23/2014,5:00 PM
MIN,VAN,3/26/2014,4:30 PM
COL,VAN,3/27/2014,6:00 PM
VAN,ANH,3/29/2014,7:00 PM
VAN,NYR,4/1/2014,7:00 PM
VAN,LAK,4/5/2014,7:00 PM
VAN,ANH,4/7/2014,7:00 PM
VAN,COL,4/10/2014,7:00 PM
EDM,VAN,4/12/2014,7:00 PM
VAN,CGY,4/13/2014,6:00 PM
