HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
CGY,VAN,10/8/2014,8:00 PM,0,0.0
EDM,CGY,10/9/2014,7:30 PM,176,23.5
STL,CGY,10/11/2014,5:00 PM,1509,45.5
NSH,CGY,10/14/2014,6:00 PM,255,73.0
CHI,CGY,10/15/2014,6:00 PM,394,24.0
CBJ,CGY,10/17/2014,5:00 PM,277,47.0
WPG,CGY,10/19/2014,5:00 PM,927,48.0
CGY,TBL,10/21/2014,7:00 PM,748,50.0
CGY,CAR,10/23/2014,7:00 PM,0,48.0
CGY,WSH,10/25/2014,8:00 PM,0,49.0
CGY,MON,10/28/2014,7:00 PM,0,71.0
CGY,NSH,10/31/2014,7:00 PM,0,72.0
MON,CGY,11/2/2014,5:00 PM,1881,46.0
WSH,CGY,11/4/2014,5:00 PM,490,48.0
TBL,CGY,11/6/2014,5:30 PM,817,48.5
FLA,CGY,11/8/2014,1:00 PM,206,43.5
CAR,CGY,11/10/2014,5:00 PM,699,52.0
CGY,ARI,11/13/2014,7:00 PM,2040,74.0
CGY,OTT,11/15/2014,8:00 PM,0,49.0
CGY,ANH,11/18/2014,7:00 PM,0,71.0
CGY,CHI,11/20/2014,7:00 PM,0,48.0
CGY,NJD,11/22/2014,8:00 PM,0,49.0
ANH,CGY,11/25/2014,8:00 PM,1204,72.0
SJS,CGY,11/26/2014,8:30 PM,325,24.5
ARI,CGY,11/29/2014,8:00 PM,602,71.5
CGY,ARI,12/2/2014,7:00 PM,1213,71.0
CGY,COL,12/4/2014,7:00 PM,0,48.0
CGY,SJS,12/6/2014,8:00 PM,0,49.0
TOR,CGY,12/9/2014,5:30 PM,1689,69.5
BUF,CGY,12/11/2014,5:00 PM,59,47.5
PIT,CGY,12/12/2014,5:00 PM,179,24.0
CHI,CGY,12/14/2014,6:00 PM,413,49.0
CGY,NYR,12/16/2014,7:00 PM,1401,49.0
CGY,DAL,12/19/2014,7:00 PM,0,72.0
VAN,CGY,12/20/2014,8:00 PM,421,25.0
LAK,CGY,12/22/2014,8:30 PM,1081,48.5
CGY,EDM,12/27/2014,8:00 PM,1196,119.5
CGY,LAK,12/29/2014,7:00 PM,0,47.0
CGY,EDM,12/31/2014,7:30 PM,0,48.5
CGY,NYI,1/2/2015,7:00 PM,0,47.5
CGY,DET,1/7/2015,7:30 PM,0,120.5
CGY,FLA,1/9/2015,7:00 PM,0,47.5
VAN,CGY,1/10/2015,8:00 PM,421,25.0
ARI,CGY,1/15/2015,7:00 PM,1223,119.0
SJS,CGY,1/17/2015,8:00 PM,602,49.0
LAK,CGY,1/19/2015,8:30 PM,296,48.5
ANH,CGY,1/21/2015,8:00 PM,32,47.5
CGY,BUF,1/27/2015,7:00 PM,1204,143.0
CGY,MIN,1/29/2015,7:00 PM,0,48.0
CGY,EDM,1/31/2015,8:00 PM,0,49.0
CGY,WPG,2/2/2015,7:00 PM,0,47.0
CGY,SJS,2/4/2015,8:00 PM,0,49.0
CGY,PIT,2/6/2015,7:00 PM,0,47.0
SJS,CGY,2/9/2015,8:30 PM,1023,73.5
LAK,CGY,2/12/2015,8:30 PM,296,72.0
CGY,VAN,2/14/2015,8:00 PM,1196,47.5
CGY,BOS,2/16/2015,7:00 PM,0,47.0
CGY,MIN,2/18/2015,7:30 PM,0,48.5
CGY,ANH,2/20/2015,7:00 PM,0,47.5
NYR,CGY,2/24/2015,5:00 PM,2030,94.0
NJD,CGY,2/25/2015,5:30 PM,11,24.5
NYI,CGY,2/27/2015,5:00 PM,13,47.5
PHI,CGY,3/3/2015,5:00 PM,78,96.0
BOS,CGY,3/5/2015,5:00 PM,268,48.0
DET,CGY,3/6/2015,5:30 PM,618,24.5
OTT,CGY,3/8/2015,5:00 PM,424,47.5
CGY,ANH,3/11/2015,7:30 PM,1791,74.5
CGY,TOR,3/13/2015,6:00 PM,0,46.5
COL,CGY,3/14/2015,8:00 PM,897,26.0
CGY,STL,3/17/2015,7:00 PM,897,71.0
CGY,PHI,3/19/2015,7:00 PM,0,48.0
CGY,CBJ,3/21/2015,2:00 PM,0,43.0
CGY,COL,3/23/2015,7:00 PM,0,53.0
CGY,DAL,3/25/2015,8:00 PM,0,49.0
MIN,CGY,3/27/2015,6:00 PM,1054,46.0
NSH,CGY,3/29/2015,3:00 PM,691,45.0
DAL,CGY,3/30/2015,6:30 PM,615,27.5
STL,CGY,4/2/2015,6:00 PM,544,71.5
EDM,CGY,4/4/2015,8:00 PM,1509,50.0
CGY,ARI,4/7/2015,7:00 PM,176,71.0
CGY,LAK,4/9/2015,7:00 PM,0,48.0
WPG,CGY,4/11/2015,1:00 PM,748,42.0
