HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
ARI,WPG,10/9/2014,9:00 PM,1364,0.0
SJS,WPG,10/11/2014,9:00 PM,602,48.0
LAK,WPG,10/12/2014,9:00 PM,296,24.0
WPG,NSH,10/17/2014,7:00 PM,1537,118.0
WPG,CGY,10/19/2014,6:00 PM,0,47.0
WPG,CAR,10/21/2014,7:00 PM,0,49.0
WPG,TBL,10/24/2014,7:00 PM,0,72.0
WPG,COL,10/26/2014,2:00 PM,0,43.0
NYI,WPG,10/28/2014,6:00 PM,1291,52.0
NJD,WPG,10/30/2014,6:00 PM,13,48.0
NYR,WPG,11/1/2014,6:00 PM,11,48.0
CHI,WPG,11/2/2014,8:00 PM,717,26.0
WPG,NSH,11/4/2014,7:00 PM,719,47.0
WPG,PIT,11/6/2014,7:00 PM,0,48.0
OTT,WPG,11/8/2014,6:00 PM,1044,47.0
MON,WPG,11/11/2014,6:30 PM,104,72.5
CAR,WPG,11/13/2014,6:00 PM,719,47.5
NSH,WPG,11/15/2014,6:00 PM,457,48.0
MIN,WPG,11/16/2014,4:00 PM,691,22.0
WPG,NJD,11/18/2014,7:00 PM,390,51.0
WPG,DET,11/20/2014,7:00 PM,0,48.0
WPG,STL,11/23/2014,3:30 PM,0,68.5
CBJ,WPG,11/25/2014,6:00 PM,927,50.5
BUF,WPG,11/26/2014,6:00 PM,294,24.0
BOS,WPG,11/28/2014,6:00 PM,401,48.0
WPG,EDM,12/3/2014,8:00 PM,1351,122.0
WPG,COL,12/5/2014,7:00 PM,0,47.0
WPG,ANH,12/7/2014,2:00 PM,0,43.0
DAL,WPG,12/9/2014,7:30 PM,1179,53.5
COL,WPG,12/11/2014,8:00 PM,660,48.5
WPG,ANH,12/13/2014,6:00 PM,934,46.0
WPG,BUF,12/16/2014,7:00 PM,0,73.0
WPG,BOS,12/19/2014,7:00 PM,0,72.0
WPG,PHI,12/21/2014,8:00 PM,0,49.0
CHI,WPG,12/23/2014,7:30 PM,719,47.5
MIN,WPG,12/27/2014,6:00 PM,347,94.5
WPG,MIN,12/29/2014,7:00 PM,390,49.0
WPG,NYI,12/31/2014,4:00 PM,0,45.0
WPG,TOR,1/3/2015,6:00 PM,0,74.0
WPG,SJS,1/5/2015,7:00 PM,0,49.0
ARI,WPG,1/8/2015,8:00 PM,1364,73.0
LAK,WPG,1/10/2015,9:00 PM,360,49.0
ANH,WPG,1/11/2015,8:00 PM,32,23.0
WPG,FLA,1/13/2015,7:00 PM,1529,47.0
DAL,WPG,1/15/2015,7:30 PM,1179,48.5
CHI,WPG,1/16/2015,7:30 PM,799,24.0
WPG,ARI,1/18/2015,6:00 PM,719,46.5
WPG,CBJ,1/21/2015,8:00 PM,0,74.0
PIT,WPG,1/27/2015,6:00 PM,1059,142.0
PHI,WPG,1/29/2015,6:00 PM,258,48.0
WPG,DAL,1/31/2015,6:00 PM,1270,48.0
CGY,WPG,2/2/2015,8:00 PM,748,50.0
VAN,WPG,2/3/2015,9:00 PM,421,25.0
WPG,CHI,2/6/2015,7:00 PM,1161,70.0
WPG,COL,2/8/2015,5:00 PM,0,46.0
WPG,MIN,2/10/2015,7:00 PM,0,50.0
NSH,WPG,2/12/2015,7:00 PM,1080,48.0
DET,WPG,2/14/2015,6:00 PM,472,47.0
WPG,EDM,2/16/2015,7:00 PM,849,49.0
WSH,WPG,2/19/2015,6:00 PM,1246,71.0
TOR,WPG,2/21/2015,6:00 PM,350,48.0
WPG,DAL,2/24/2015,7:00 PM,945,73.0
WPG,STL,2/26/2015,7:00 PM,0,48.0
WPG,LAK,3/1/2015,3:00 PM,0,68.0
WPG,OTT,3/4/2015,6:30 PM,0,75.5
NSH,WPG,3/7/2015,6:00 PM,1080,71.5
STL,WPG,3/10/2015,7:00 PM,255,73.0
FLA,WPG,3/12/2015,6:30 PM,1062,47.5
TBL,WPG,3/14/2015,6:00 PM,206,47.5
WPG,SJS,3/17/2015,7:00 PM,1699,73.0
WPG,STL,3/19/2015,7:00 PM,0,48.0
WPG,WSH,3/21/2015,6:00 PM,0,47.0
EDM,WPG,3/23/2015,8:30 PM,746,50.5
VAN,WPG,3/24/2015,9:00 PM,509,24.5
WPG,MON,3/26/2015,7:00 PM,1161,46.0
WPG,CHI,3/29/2015,6:30 PM,0,71.5
WPG,NYR,3/31/2015,7:00 PM,0,48.5
WPG,VAN,4/4/2015,2:00 PM,0,91.0
MIN,WPG,4/6/2015,7:00 PM,390,53.0
STL,WPG,4/7/2015,7:00 PM,460,24.0
COL,WPG,4/9/2015,8:00 PM,789,49.0
WPG,CGY,4/11/2015,2:00 PM,934,42.0
