HOME,AWAY,DATE,TIME (CT)
DAL,CHI,10/9/2014,7:30 PM
CHI,BUF,10/11/2014,7:30 PM
CHI,CGY,10/15/2014,7:00 PM
CHI,NSH,10/18/2014,7:30 PM
CHI,PHI,10/21/2014,7:30 PM
NSH,CHI,10/23/2014,7:00 PM
STL,CHI,10/25/2014,7:00 PM
CHI,OTT,10/26/2014,6:00 PM
CHI,ANH,10/28/2014,7:30 PM
OTT,CHI,10/30/2014,6:30 PM
TOR,CHI,11/1/2014,6:00 PM
CHI,WPG,11/2/2014,8:00 PM
MON,CHI,11/4/2014,6:30 PM
CHI,WSH,11/7/2014,7:30 PM
CHI,SJS,11/9/2014,6:00 PM
CHI,TBL,11/11/2014,7:30 PM
DET,CHI,11/14/2014,6:30 PM
CHI,DAL,11/16/2014,6:00 PM
CGY,CHI,11/20/2014,8:00 PM
EDM,CHI,11/22/2014,9:00 PM
VAN,CHI,11/23/2014,8:30 PM
COL,CHI,11/26/2014,8:00 PM
ANH,CHI,11/28/2014,3:00 PM
LAK,CHI,11/29/2014,9:00 PM
CHI,STL,12/3/2014,7:00 PM
CHI,MON,12/5/2014,7:30 PM
NSH,CHI,12/6/2014,6:00 PM
NJD,CHI,12/9/2014,6:00 PM
BOS,CHI,12/11/2014,6:00 PM
NYI,CHI,12/13/2014,6:00 PM
CHI,CGY,12/14/2014,7:00 PM
CHI,MIN,12/16/2014,7:30 PM
CBJ,CHI,12/20/2014,6:00 PM
CHI,TOR,12/21/2014,6:00 PM
CHI,WPG,12/23/2014,7:30 PM
COL,CHI,12/27/2014,8:00 PM
CHI,NSH,12/29/2014,7:30 PM
WSH,CHI,1/1/2015,0:00 PM
CHI,DAL,1/4/2015,7:00 PM
CHI,COL,1/6/2015,7:30 PM
MIN,CHI,1/8/2015,7:00 PM
EDM,CHI,1/9/2015,8:30 PM
CHI,MIN,1/11/2015,7:00 PM
CHI,WPG,1/16/2015,7:30 PM
CHI,DAL,1/18/2015,5:00 PM
CHI,ARI,1/20/2015,7:30 PM
PIT,CHI,1/21/2015,7:00 PM
LAK,CHI,1/28/2015,9:30 PM
ANH,CHI,1/30/2015,9:00 PM
SJS,CHI,1/31/2015,9:30 PM
MIN,CHI,2/3/2015,7:00 PM
WPG,CHI,2/6/2015,7:00 PM
STL,CHI,2/8/2015,11:30 PM
CHI,ARI,2/9/2015,7:30 PM
CHI,VAN,2/11/2015,7:00 PM
CHI,NJD,2/13/2015,7:30 PM
CHI,PIT,2/15/2015,11:30 PM
CHI,DET,2/18/2015,6:30 PM
CHI,COL,2/20/2015,7:30 PM
CHI,BOS,2/22/2015,2:30 PM
CHI,FLA,2/24/2015,7:30 PM
FLA,CHI,2/26/2015,6:30 PM
TBL,CHI,2/27/2015,6:30 PM
CHI,CAR,3/2/2015,7:30 PM
CHI,EDM,3/6/2015,7:30 PM
CHI,NYR,3/8/2015,6:30 PM
ARI,CHI,3/12/2015,9:00 PM
SJS,CHI,3/14/2015,3:00 PM
CHI,NYI,3/17/2015,7:30 PM
NYR,CHI,3/18/2015,7:00 PM
DAL,CHI,3/21/2015,7:00 PM
CAR,CHI,3/23/2015,6:00 PM
PHI,CHI,3/25/2015,7:00 PM
CHI,CBJ,3/27/2015,7:30 PM
WPG,CHI,3/29/2015,6:30 PM
CHI,LAK,3/30/2015,7:30 PM
CHI,VAN,4/2/2015,7:30 PM
BUF,CHI,4/3/2015,6:00 PM
CHI,STL,4/5/2015,6:30 PM
CHI,MIN,4/7/2015,7:30 PM
STL,CHI,4/9/2015,7:00 PM
COL,CHI,4/11/2015,8:00 PM
