HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
SJS,ANH,10/10/2015,7:30 PM,325,0.0
ANH,VAN,10/12/2015,7:00 PM,325,47.5
ANH,ARI,10/14/2015,7:30 PM,0,48.5
ANH,COL,10/16/2015,7:00 PM,0,47.5
ANH,MIN,10/18/2015,5:00 PM,0,46.0
NSH,ANH,10/22/2015,5:00 PM,1764,96.0
MIN,ANH,10/24/2015,3:00 PM,691,46.0
CHI,ANH,10/26/2015,5:30 PM,347,50.5
DAL,ANH,10/27/2015,5:30 PM,799,24.0
STL,ANH,10/29/2015,5:00 PM,544,47.5
ANH,NSH,11/1/2015,5:00 PM,1573,72.0
ANH,FLA,11/4/2015,7:30 PM,0,74.5
ANH,CBJ,11/6/2015,7:00 PM,0,47.5
SJS,ANH,11/7/2015,7:30 PM,325,24.5
ANH,ARI,11/9/2015,7:00 PM,325,47.5
ANH,EDM,11/11/2015,7:00 PM,0,48.0
ANH,NYI,11/13/2015,7:00 PM,0,48.0
CAR,ANH,11/16/2015,4:00 PM,2220,69.0
NSH,ANH,11/17/2015,5:00 PM,457,25.0
FLA,ANH,11/19/2015,4:30 PM,815,47.5
TBL,ANH,11/21/2015,4:00 PM,206,47.5
ANH,CGY,11/24/2015,7:00 PM,2131,75.0
ARI,ANH,11/25/2015,6:00 PM,329,23.0
ANH,CHI,11/27/2015,1:00 PM,329,43.0
ANH,VAN,11/30/2015,7:00 PM,0,78.0
ANH,TBL,12/2/2015,7:30 PM,0,48.5
ANH,SJS,12/4/2015,7:00 PM,0,47.5
ANH,PIT,12/6/2015,5:00 PM,0,46.0
ANH,CAR,12/11/2015,7:00 PM,0,122.0
BUF,ANH,12/17/2015,4:00 PM,2188,141.0
NJD,ANH,12/19/2015,4:00 PM,285,48.0
NYI,ANH,12/21/2015,4:00 PM,13,48.0
NYR,ANH,12/22/2015,4:00 PM,7,24.0
ANH,PHI,12/27/2015,5:00 PM,2440,121.0
CGY,ANH,12/29/2015,6:00 PM,1204,49.0
EDM,ANH,12/31/2015,6:00 PM,176,48.0
VAN,ANH,1/1/2016,7:00 PM,509,25.0
ANH,WPG,1/3/2016,6:00 PM,1099,47.0
ANH,TOR,1/6/2016,7:00 PM,0,73.0
ANH,STL,1/8/2016,7:00 PM,0,48.0
ANH,DET,1/10/2016,5:00 PM,0,46.0
ANH,OTT,1/13/2016,7:00 PM,0,74.0
ANH,DAL,1/15/2016,7:00 PM,0,48.0
ANH,LAK,1/17/2016,6:00 PM,0,47.0
ANH,MIN,1/20/2016,7:30 PM,0,73.5
WSH,ANH,1/22/2016,4:00 PM,2287,44.5
DET,ANH,1/23/2016,4:00 PM,400,24.0
BOS,ANH,1/26/2016,4:00 PM,618,72.0
ANH,SJS,2/2/2016,7:00 PM,2587,171.0
LAK,ANH,2/4/2016,7:30 PM,32,48.5
ANH,ARI,2/5/2016,7:00 PM,32,23.5
PIT,ANH,2/8/2016,4:00 PM,2125,69.0
PHI,ANH,2/9/2016,4:00 PM,258,24.0
CBJ,ANH,2/11/2016,4:00 PM,417,48.0
CHI,ANH,2/13/2016,5:30 PM,277,49.5
CGY,ANH,2/15/2016,3:00 PM,1401,45.5
EDM,ANH,2/16/2016,6:00 PM,176,27.0
VAN,ANH,2/18/2016,7:00 PM,509,49.0
ANH,CGY,2/21/2016,4:00 PM,1099,69.0
ANH,BUF,2/24/2016,7:30 PM,0,75.5
ANH,EDM,2/26/2016,7:00 PM,0,47.5
ANH,LAK,2/28/2016,6:00 PM,0,47.0
ANH,MON,3/2/2016,7:00 PM,0,73.0
ARI,ANH,3/3/2016,6:00 PM,329,23.0
LAK,ANH,3/5/2016,1:00 PM,360,43.0
ANH,WSH,3/7/2016,7:00 PM,32,54.0
COL,ANH,3/9/2016,7:00 PM,828,48.0
STL,ANH,3/11/2016,5:00 PM,789,46.0
ANH,NJD,3/14/2016,7:00 PM,1573,74.0
ANH,NYR,3/16/2016,7:30 PM,0,48.5
ANH,BOS,3/18/2016,7:00 PM,0,47.5
WPG,ANH,3/20/2016,12:00 PM,1529,53.0
MON,ANH,3/22/2016,4:30 PM,1136,40.5
TOR,ANH,3/24/2016,4:30 PM,314,48.0
OTT,ANH,3/26/2016,4:00 PM,219,47.5
EDM,ANH,3/28/2016,6:00 PM,1769,50.0
ANH,CGY,3/30/2016,7:00 PM,1379,49.0
ANH,VAN,4/1/2016,7:00 PM,0,48.0
ANH,DAL,4/3/2016,6:00 PM,0,47.0
ANH,WPG,4/5/2016,7:00 PM,0,49.0
LAK,ANH,4/7/2016,7:30 PM,32,48.5
COL,ANH,4/9/2016,2:30 PM,946,43.0
