HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
LAK,ARI,10/9/2015,7:30 PM,360,0.0
ARI,PIT,10/10/2015,7:00 PM,360,23.5
ANH,ARI,10/14/2015,7:30 PM,329,96.5
ARI,MIN,10/15/2015,7:00 PM,329,23.5
ARI,BOS,10/17/2015,7:00 PM,0,48.0
NJD,ARI,10/20/2015,4:00 PM,2139,69.0
NYR,ARI,10/22/2015,4:00 PM,11,48.0
OTT,ARI,10/24/2015,4:00 PM,333,48.0
TOR,ARI,10/26/2015,4:30 PM,219,48.5
BOS,ARI,10/27/2015,4:00 PM,433,23.5
ARI,VAN,10/30/2015,7:00 PM,2305,75.0
ARI,COL,11/5/2015,7:00 PM,0,144.0
ARI,NYR,11/7/2015,7:00 PM,0,48.0
ANH,ARI,11/9/2015,8:00 PM,329,49.0
LAK,ARI,11/10/2015,8:30 PM,32,24.5
ARI,EDM,11/12/2015,7:00 PM,360,46.5
CBJ,ARI,11/14/2015,5:00 PM,1672,46.0
NYI,ARI,11/16/2015,5:00 PM,480,48.0
MON,ARI,11/19/2015,5:30 PM,335,72.5
WPG,ARI,11/21/2015,5:00 PM,1136,47.5
ARI,ANH,11/25/2015,7:00 PM,1364,98.0
ARI,CGY,11/27/2015,7:00 PM,0,48.0
ARI,OTT,11/28/2015,8:00 PM,0,25.0
NSH,ARI,12/1/2015,6:00 PM,1451,70.0
DET,ARI,12/3/2015,5:30 PM,472,47.5
BUF,ARI,12/4/2015,5:00 PM,219,23.5
CAR,ARI,12/6/2015,3:00 PM,487,46.0
STL,ARI,12/8/2015,6:00 PM,668,51.0
ARI,MIN,12/11/2015,7:00 PM,1274,73.0
ARI,CAR,12/12/2015,7:00 PM,0,24.0
ARI,CBJ,12/17/2015,7:00 PM,0,120.0
ARI,NYI,12/19/2015,7:00 PM,0,48.0
ARI,TOR,12/22/2015,7:00 PM,0,72.0
ARI,LAK,12/26/2015,7:00 PM,0,96.0
COL,ARI,12/27/2015,6:00 PM,591,23.0
ARI,CHI,12/29/2015,7:00 PM,591,49.0
ARI,WPG,12/31/2015,7:00 PM,0,48.0
EDM,ARI,1/2/2016,2:00 PM,1385,43.0
VAN,ARI,1/4/2016,8:00 PM,509,54.0
CGY,ARI,1/7/2016,7:00 PM,421,71.0
ARI,NSH,1/9/2016,7:00 PM,1213,48.0
ARI,EDM,1/12/2016,7:00 PM,0,72.0
ARI,DET,1/14/2016,7:00 PM,0,48.0
ARI,NJD,1/16/2016,7:00 PM,0,48.0
ARI,BUF,1/18/2016,7:00 PM,0,48.0
ARI,SJS,1/21/2016,7:00 PM,0,72.0
ARI,LAK,1/23/2016,7:00 PM,0,48.0
MIN,ARI,1/25/2016,6:30 PM,1286,47.5
WPG,ARI,1/26/2016,6:00 PM,390,23.5
ARI,LAK,2/2/2016,7:00 PM,1364,169.0
ARI,CHI,2/4/2016,7:00 PM,0,48.0
ANH,ARI,2/5/2016,8:00 PM,329,25.0
ARI,VAN,2/10/2016,7:30 PM,329,119.5
ARI,CGY,2/12/2016,7:00 PM,0,47.5
SJS,ARI,2/13/2016,8:30 PM,602,25.5
ARI,MON,2/15/2016,7:00 PM,602,46.5
ARI,DAL,2/18/2016,7:00 PM,0,72.0
ARI,STL,2/20/2016,7:00 PM,0,48.0
WSH,ARI,2/22/2016,5:00 PM,1987,46.0
TBL,ARI,2/23/2016,5:30 PM,817,24.5
FLA,ARI,2/25/2016,5:30 PM,206,48.0
PHI,ARI,2/27/2016,11:00 AM,1024,41.5
PIT,ARI,2/29/2016,5:00 PM,258,54.0
ARI,ANH,3/3/2016,7:00 PM,1833,74.0
ARI,FLA,3/5/2016,7:00 PM,0,48.0
COL,ARI,3/7/2016,7:00 PM,591,48.0
VAN,ARI,3/9/2016,8:00 PM,1111,49.0
CGY,ARI,3/11/2016,7:00 PM,421,47.0
EDM,ARI,3/12/2016,8:00 PM,176,25.0
ARI,SJS,3/17/2016,7:00 PM,1385,119.0
ARI,TBL,3/19/2016,7:00 PM,0,48.0
SJS,ARI,3/20/2016,7:00 PM,602,24.0
ARI,EDM,3/22/2016,7:00 PM,602,48.0
ARI,DAL,3/24/2016,7:00 PM,0,48.0
ARI,PHI,3/26/2016,7:00 PM,0,48.0
ARI,CGY,3/28/2016,7:00 PM,0,48.0
DAL,ARI,3/31/2016,5:30 PM,987,70.5
ARI,WSH,4/2/2016,7:00 PM,987,49.5
STL,ARI,4/4/2016,5:00 PM,1274,46.0
CHI,ARI,4/5/2016,5:30 PM,259,24.5
NSH,ARI,4/7/2016,5:00 PM,394,47.5
SJS,ARI,4/9/2016,7:30 PM,1935,50.5
