HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
BOS,WPG,10/8/2015,7:00 PM,0,0.0
BOS,MON,10/10/2015,7:00 PM,0,48.0
BOS,TBL,10/12/2015,1:00 PM,0,42.0
COL,BOS,10/14/2015,10:00 PM,1766,57.0
ARI,BOS,10/17/2015,10:00 PM,591,72.0
BOS,PHI,10/21/2015,8:00 PM,2305,94.0
NYI,BOS,10/23/2015,7:30 PM,190,47.5
BOS,ARI,10/27/2015,7:00 PM,190,95.5
FLA,BOS,10/30/2015,7:30 PM,1255,72.5
TBL,BOS,10/31/2015,7:00 PM,206,23.5
BOS,DAL,11/3/2015,7:00 PM,1181,72.0
WSH,BOS,11/5/2015,7:00 PM,394,48.0
MON,BOS,11/7/2015,7:00 PM,490,48.0
NYI,BOS,11/8/2015,5:00 PM,335,22.0
BOS,COL,11/12/2015,7:00 PM,190,98.0
BOS,DET,11/14/2015,7:00 PM,0,48.0
BOS,SJS,11/17/2015,7:00 PM,0,72.0
BOS,MIN,11/19/2015,7:00 PM,0,48.0
BOS,TOR,11/21/2015,7:00 PM,0,48.0
TOR,BOS,11/23/2015,7:30 PM,433,48.5
DET,BOS,11/25/2015,7:30 PM,208,48.0
BOS,NYR,11/27/2015,1:00 PM,618,41.5
EDM,BOS,12/2/2015,9:30 PM,2083,128.5
CGY,BOS,12/4/2015,9:00 PM,176,47.5
VAN,BOS,12/5/2015,10:00 PM,421,25.0
BOS,NSH,12/7/2015,7:00 PM,2511,45.0
MON,BOS,12/9/2015,7:30 PM,254,48.5
BOS,FLA,12/12/2015,1:00 PM,254,65.5
BOS,EDM,12/14/2015,7:00 PM,0,54.0
BOS,PIT,12/16/2015,8:00 PM,0,49.0
PIT,BOS,12/18/2015,7:00 PM,483,47.0
BOS,NJD,12/20/2015,5:00 PM,483,46.0
BOS,STL,12/22/2015,7:00 PM,0,50.0
BOS,BUF,12/26/2015,7:00 PM,0,96.0
OTT,BOS,12/27/2015,5:00 PM,317,22.0
BOS,OTT,12/29/2015,7:00 PM,317,50.0
BOS,MON,1/1/2016,1:00 PM,0,66.0
BOS,WSH,1/5/2016,7:00 PM,0,102.0
NJD,BOS,1/8/2016,7:00 PM,198,72.0
OTT,BOS,1/9/2016,7:00 PM,333,24.0
NYR,BOS,1/11/2016,7:00 PM,333,48.0
PHI,BOS,1/13/2016,8:00 PM,81,49.0
BUF,BOS,1/15/2016,7:00 PM,278,47.0
BOS,TOR,1/16/2016,7:00 PM,401,24.0
MON,BOS,1/19/2016,7:30 PM,254,72.5
BOS,VAN,1/21/2016,7:00 PM,254,47.5
BOS,CBJ,1/23/2016,7:00 PM,0,48.0
PHI,BOS,1/25/2016,7:00 PM,268,48.0
BOS,ANH,1/26/2016,7:00 PM,268,24.0
BOS,TOR,2/2/2016,7:00 PM,0,168.0
BUF,BOS,2/4/2016,7:00 PM,401,48.0
BOS,BUF,2/6/2016,7:00 PM,401,48.0
BOS,LAK,2/9/2016,7:00 PM,0,72.0
WPG,BOS,2/11/2016,8:00 PM,1351,49.0
MIN,BOS,2/13/2016,2:00 PM,390,42.0
DET,BOS,2/14/2016,3:00 PM,617,25.0
CBJ,BOS,2/16/2016,7:00 PM,166,52.0
NSH,BOS,2/18/2016,8:00 PM,335,49.0
DAL,BOS,2/20/2016,8:00 PM,615,48.0
BOS,CBJ,2/22/2016,7:00 PM,1551,47.0
BOS,PIT,2/24/2016,8:00 PM,0,49.0
CAR,BOS,2/26/2016,7:00 PM,607,47.0
BOS,TBL,2/28/2016,6:30 PM,607,47.5
BOS,CGY,3/1/2016,7:00 PM,0,48.5
BOS,CHI,3/3/2016,7:00 PM,0,48.0
BOS,WSH,3/5/2016,7:00 PM,0,48.0
FLA,BOS,3/7/2016,7:30 PM,1255,48.5
TBL,BOS,3/8/2016,7:30 PM,206,24.0
BOS,CAR,3/10/2016,7:00 PM,1181,47.5
BOS,NYI,3/12/2016,1:00 PM,0,42.0
SJS,BOS,3/15/2016,10:30 PM,2685,81.5
ANH,BOS,3/18/2016,10:00 PM,325,71.5
LAK,BOS,3/19/2016,10:30 PM,32,24.5
NYR,BOS,3/23/2016,8:00 PM,2462,93.5
BOS,FLA,3/24/2016,7:00 PM,187,23.0
TOR,BOS,3/26/2016,7:00 PM,433,48.0
NJD,BOS,3/29/2016,7:00 PM,335,72.0
STL,BOS,4/1/2016,8:00 PM,868,73.0
CHI,BOS,4/3/2016,12:30 PM,259,52.5
BOS,CAR,4/5/2016,7:00 PM,856,42.5
BOS,DET,4/7/2016,7:00 PM,0,48.0
BOS,OTT,4/9/2016,12:30 PM,0,53.5
