HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
BUF,OTT,10/8/2015,7:00 PM,0,0.0
BUF,TBL,10/10/2015,1:00 PM,0,42.0
BUF,CBJ,10/12/2015,3:00 PM,0,50.0
FLA,BUF,10/15/2015,7:30 PM,1182,76.5
TBL,BUF,10/17/2015,7:00 PM,206,47.5
BUF,TOR,10/21/2015,7:00 PM,1049,96.0
BUF,MON,10/23/2015,7:00 PM,0,48.0
BUF,NJD,10/24/2015,7:00 PM,0,24.0
PHI,BUF,10/27/2015,7:00 PM,278,72.0
PIT,BUF,10/29/2015,7:00 PM,258,48.0
BUF,PHI,10/30/2015,7:00 PM,179,24.0
NYI,BUF,11/1/2015,7:30 PM,297,48.5
BUF,TBL,11/5/2015,7:00 PM,297,95.5
BUF,VAN,11/7/2015,1:00 PM,0,42.0
TBL,BUF,11/10/2015,7:30 PM,1049,78.5
FLA,BUF,11/12/2015,7:30 PM,206,48.0
BUF,SJS,11/14/2015,7:00 PM,1182,47.5
BUF,DAL,11/17/2015,7:00 PM,0,72.0
STL,BUF,11/19/2015,8:00 PM,335,49.0
DAL,BUF,11/21/2015,8:00 PM,544,48.0
BUF,STL,11/23/2015,7:00 PM,1198,47.0
BUF,NSH,11/25/2015,7:00 PM,0,48.0
BUF,CAR,11/27/2015,7:00 PM,0,48.0
NSH,BUF,11/28/2015,8:00 PM,627,25.0
DET,BUF,12/1/2015,7:30 PM,472,71.5
BUF,ARI,12/4/2015,7:00 PM,219,71.5
EDM,BUF,12/6/2015,8:00 PM,1740,49.0
VAN,BUF,12/7/2015,10:00 PM,509,26.0
CGY,BUF,12/10/2015,9:00 PM,421,71.0
BUF,LAK,12/12/2015,7:00 PM,1738,46.0
DET,BUF,12/14/2015,7:30 PM,219,48.5
BUF,NJD,12/15/2015,7:00 PM,219,23.5
BUF,ANH,12/17/2015,7:00 PM,0,48.0
BUF,CHI,12/19/2015,1:00 PM,0,42.0
BOS,BUF,12/26/2015,7:00 PM,401,174.0
BUF,WSH,12/28/2015,7:00 PM,401,48.0
WSH,BUF,12/30/2015,7:00 PM,292,48.0
BUF,NYI,12/31/2015,6:00 PM,292,23.0
BUF,DET,1/2/2016,1:00 PM,0,43.0
BUF,FLA,1/5/2016,7:00 PM,0,78.0
CHI,BUF,1/8/2016,8:30 PM,457,73.5
WPG,BUF,1/10/2016,3:00 PM,719,42.5
MIN,BUF,1/12/2016,8:00 PM,390,53.0
BUF,BOS,1/15/2016,7:00 PM,724,71.0
BUF,WSH,1/16/2016,7:00 PM,0,24.0
ARI,BUF,1/18/2016,9:00 PM,1910,50.0
COL,BUF,1/20/2016,10:00 PM,591,49.0
BUF,DET,1/22/2016,7:00 PM,1365,45.0
NYR,BUF,1/25/2016,7:00 PM,292,72.0
OTT,BUF,1/26/2016,7:30 PM,333,24.5
MON,BUF,2/3/2016,7:00 PM,104,191.5
BUF,BOS,2/4/2016,7:00 PM,319,24.0
BOS,BUF,2/6/2016,7:00 PM,401,48.0
BUF,FLA,2/9/2016,7:00 PM,401,72.0
PHI,BUF,2/11/2016,7:00 PM,278,48.0
BUF,MON,2/12/2016,7:00 PM,278,24.0
BUF,COL,2/14/2016,12:30 PM,0,53.5
OTT,BUF,2/16/2016,7:30 PM,234,43.0
CBJ,BUF,2/19/2016,7:00 PM,527,71.5
BUF,PIT,2/21/2016,12:30 PM,294,53.5
ANH,BUF,2/24/2016,10:30 PM,2188,70.0
SJS,BUF,2/26/2016,10:30 PM,325,48.0
LAK,BUF,2/27/2016,11:00 PM,296,24.5
BUF,EDM,3/1/2016,7:00 PM,2208,68.0
BUF,CGY,3/3/2016,7:00 PM,0,48.0
BUF,MIN,3/5/2016,1:00 PM,0,42.0
TOR,BUF,3/7/2016,7:30 PM,59,54.5
BUF,NYR,3/8/2016,7:00 PM,59,23.5
MON,BUF,3/10/2016,7:30 PM,319,48.5
BUF,CAR,3/12/2016,1:00 PM,319,41.5
BUF,MON,3/16/2016,7:00 PM,0,102.0
BUF,OTT,3/18/2016,7:00 PM,0,48.0
TOR,BUF,3/19/2016,7:00 PM,59,24.0
CAR,BUF,3/22/2016,7:00 PM,541,72.0
BUF,WPG,3/26/2016,1:00 PM,487,90.0
DET,BUF,3/28/2016,7:30 PM,219,54.5
PIT,BUF,3/29/2016,7:00 PM,211,23.5
BUF,TOR,3/31/2016,7:00 PM,179,48.0
NYR,BUF,4/2/2016,7:00 PM,292,48.0
NJD,BUF,4/5/2016,7:00 PM,11,72.0
BUF,CBJ,4/8/2016,7:00 PM,285,72.0
NYI,BUF,4/9/2016,7:30 PM,297,24.5
