HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
NSH,CAR,10/8/2015,8:00 PM,457,0.0
CAR,DET,10/10/2015,7:00 PM,457,47.0
CAR,FLA,10/13/2015,7:00 PM,0,72.0
DET,CAR,10/16/2015,7:30 PM,512,72.5
WSH,CAR,10/17/2015,7:00 PM,400,23.5
COL,CAR,10/21/2015,10:00 PM,1488,99.0
LAK,CAR,10/23/2015,10:30 PM,946,48.5
SJS,CAR,10/24/2015,10:30 PM,296,24.0
DET,CAR,10/27/2015,7:30 PM,2071,69.0
NYI,CAR,10/29/2015,7:00 PM,489,47.5
CAR,COL,10/30/2015,7:00 PM,420,24.0
CAR,TBL,11/1/2015,5:00 PM,0,46.0
CAR,DAL,11/6/2015,7:00 PM,0,122.0
CAR,OTT,11/7/2015,7:00 PM,0,24.0
NYR,CAR,11/10/2015,7:00 PM,425,72.0
CAR,MIN,11/12/2015,7:00 PM,425,48.0
CAR,PHI,11/14/2015,7:00 PM,0,48.0
CAR,ANH,11/16/2015,7:00 PM,0,48.0
CAR,TOR,11/20/2015,7:00 PM,0,96.0
CAR,LAK,11/22/2015,1:00 PM,0,42.0
PHI,CAR,11/23/2015,7:00 PM,346,30.0
CAR,EDM,11/25/2015,7:00 PM,346,48.0
BUF,CAR,11/27/2015,7:00 PM,487,48.0
NYR,CAR,11/30/2015,7:00 PM,292,72.0
CAR,NJD,12/3/2015,7:00 PM,425,72.0
CAR,MON,12/5/2015,7:00 PM,0,48.0
CAR,ARI,12/6/2015,5:00 PM,0,22.0
DAL,CAR,12/8/2015,8:30 PM,1056,51.5
ANH,CAR,12/11/2015,10:00 PM,1222,73.5
ARI,CAR,12/12/2015,9:00 PM,329,23.0
PHI,CAR,12/15/2015,7:00 PM,2088,70.0
CAR,FLA,12/18/2015,7:00 PM,346,72.0
PIT,CAR,12/19/2015,7:00 PM,326,24.0
CAR,WSH,12/21/2015,7:00 PM,326,48.0
CAR,NJD,12/26/2015,7:00 PM,0,120.0
CHI,CAR,12/27/2015,7:00 PM,639,24.0
NJD,CAR,12/29/2015,7:00 PM,707,48.0
CAR,WSH,12/31/2015,6:00 PM,416,47.0
CAR,NSH,1/2/2016,7:00 PM,0,49.0
EDM,CAR,1/4/2016,9:00 PM,2077,50.0
VAN,CAR,1/6/2016,10:00 PM,509,49.0
CAR,CBJ,1/8/2016,7:00 PM,2411,45.0
CBJ,CAR,1/9/2016,7:00 PM,372,24.0
CAR,PIT,1/12/2016,7:00 PM,372,72.0
STL,CAR,1/14/2016,8:00 PM,668,49.0
CAR,VAN,1/15/2016,7:00 PM,668,23.0
PIT,CAR,1/17/2016,3:00 PM,326,44.0
TOR,CAR,1/21/2016,7:30 PM,224,100.5
CAR,NYR,1/22/2016,7:00 PM,541,23.5
CAR,CGY,1/24/2016,6:00 PM,0,47.0
CAR,CHI,1/26/2016,7:00 PM,0,49.0
CGY,CAR,2/3/2016,9:30 PM,2040,194.5
WPG,CAR,2/5/2016,8:00 PM,748,46.5
MON,CAR,2/7/2016,2:30 PM,1136,42.5
CAR,PIT,2/12/2016,7:00 PM,719,124.5
CAR,NYI,2/13/2016,7:00 PM,0,24.0
CAR,WPG,2/16/2016,7:00 PM,0,72.0
OTT,CAR,2/18/2016,7:30 PM,679,48.5
CAR,SJS,2/19/2016,7:00 PM,679,23.5
CAR,TBL,2/21/2016,7:00 PM,0,48.0
CAR,PHI,2/23/2016,7:00 PM,0,48.0
TOR,CAR,2/25/2016,7:30 PM,541,48.5
CAR,BOS,2/26/2016,7:00 PM,541,23.5
CAR,STL,2/28/2016,3:00 PM,0,44.0
NJD,CAR,3/1/2016,7:00 PM,416,52.0
TBL,CAR,3/5/2016,7:00 PM,998,96.0
CAR,OTT,3/8/2016,7:00 PM,587,72.0
BOS,CAR,3/10/2016,7:00 PM,607,48.0
BUF,CAR,3/12/2016,1:00 PM,401,42.0
WSH,CAR,3/15/2016,7:00 PM,292,78.0
PIT,CAR,3/17/2016,7:00 PM,190,48.0
MIN,CAR,3/19/2016,2:00 PM,736,43.0
CAR,BUF,3/22/2016,7:00 PM,986,77.0
CBJ,CAR,3/24/2016,7:00 PM,372,48.0
CAR,NYI,3/26/2016,7:00 PM,372,48.0
CAR,NJD,3/27/2016,5:00 PM,0,22.0
NYI,CAR,3/29/2016,7:00 PM,420,50.0
CAR,NYR,3/31/2016,7:00 PM,420,48.0
CAR,CBJ,4/2/2016,7:00 PM,0,48.0
BOS,CAR,4/5/2016,7:00 PM,607,72.0
CAR,MON,4/7/2016,7:00 PM,607,48.0
FLA,CAR,4/9/2016,7:00 PM,699,48.0
