HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
CBJ,NYR,10/9/2015,7:00 PM,0,0.0
NYR,CBJ,10/10/2015,7:00 PM,479,24.0
BUF,CBJ,10/12/2015,3:00 PM,292,44.0
CBJ,OTT,10/14/2015,7:00 PM,294,52.0
CBJ,TOR,10/16/2015,7:00 PM,0,48.0
CHI,CBJ,10/17/2015,8:30 PM,277,25.5
CBJ,NYI,10/20/2015,7:00 PM,277,70.5
MIN,CBJ,10/22/2015,8:00 PM,620,49.0
COL,CBJ,10/24/2015,9:00 PM,700,49.0
NJD,CBJ,10/27/2015,7:00 PM,1617,70.0
WSH,CBJ,10/30/2015,7:00 PM,197,72.0
CBJ,WPG,10/31/2015,7:00 PM,328,24.0
SJS,CBJ,11/3/2015,10:30 PM,2092,75.5
LAK,CBJ,11/5/2015,10:30 PM,296,48.0
ANH,CBJ,11/6/2015,10:00 PM,32,23.5
CBJ,VAN,11/10/2015,7:00 PM,1966,93.0
PIT,CBJ,11/13/2015,7:00 PM,162,72.0
CBJ,ARI,11/14/2015,7:00 PM,162,24.0
CBJ,STL,11/17/2015,7:00 PM,0,72.0
OTT,CBJ,11/19/2015,7:30 PM,527,48.5
CBJ,NSH,11/20/2015,7:00 PM,527,23.5
CBJ,SJS,11/22/2015,5:00 PM,0,46.0
NJD,CBJ,11/25/2015,7:00 PM,468,74.0
CBJ,PIT,11/27/2015,7:00 PM,468,48.0
STL,CBJ,11/28/2015,8:00 PM,400,25.0
MON,CBJ,12/1/2015,7:30 PM,978,71.5
CBJ,FLA,12/4/2015,7:00 PM,612,71.5
PHI,CBJ,12/5/2015,7:30 PM,417,24.5
CBJ,LAK,12/8/2015,7:00 PM,417,71.5
WPG,CBJ,12/10/2015,8:00 PM,927,49.0
CBJ,NYI,12/12/2015,7:00 PM,927,47.0
CBJ,TBL,12/14/2015,7:00 PM,0,48.0
DAL,CBJ,12/15/2015,8:30 PM,913,25.5
ARI,CBJ,12/17/2015,9:00 PM,987,48.5
CBJ,PHI,12/19/2015,7:00 PM,1672,46.0
PIT,CBJ,12/21/2015,7:00 PM,162,48.0
TBL,CBJ,12/26/2015,7:00 PM,871,120.0
FLA,CBJ,12/27/2015,6:00 PM,206,23.0
CBJ,DAL,12/29/2015,7:00 PM,992,49.0
CBJ,WSH,1/2/2016,7:00 PM,0,96.0
CBJ,MIN,1/5/2016,7:00 PM,0,72.0
CAR,CBJ,1/8/2016,7:00 PM,372,72.0
CBJ,CAR,1/9/2016,7:00 PM,372,24.0
NYI,CBJ,1/12/2016,7:00 PM,480,72.0
TOR,CBJ,1/13/2016,7:00 PM,347,24.0
CBJ,COL,1/16/2016,7:00 PM,314,72.0
CBJ,WSH,1/19/2016,7:00 PM,0,72.0
CBJ,CGY,1/21/2016,7:00 PM,0,48.0
BOS,CBJ,1/23/2016,7:00 PM,644,48.0
CBJ,MON,1/25/2016,7:00 PM,644,48.0
MON,CBJ,1/26/2016,7:30 PM,612,24.5
EDM,CBJ,2/2/2016,9:00 PM,1854,169.5
VAN,CBJ,2/4/2016,10:00 PM,509,49.0
CGY,CBJ,2/5/2016,9:00 PM,421,23.0
CBJ,NYI,2/9/2016,7:00 PM,1674,94.0
CBJ,ANH,2/11/2016,7:00 PM,0,48.0
CBJ,OTT,2/13/2016,7:00 PM,0,48.0
CBJ,BOS,2/16/2016,7:00 PM,0,72.0
CBJ,BUF,2/19/2016,7:00 PM,0,72.0
BOS,CBJ,2/22/2016,7:00 PM,644,72.0
DET,CBJ,2/23/2016,7:30 PM,618,24.5
CBJ,NJD,2/25/2016,7:00 PM,166,47.5
CBJ,FLA,2/27/2016,3:00 PM,0,44.0
NYR,CBJ,2/29/2016,7:00 PM,479,52.0
CBJ,EDM,3/4/2016,7:00 PM,479,96.0
PHI,CBJ,3/5/2016,7:00 PM,417,24.0
CBJ,DET,3/8/2016,7:00 PM,417,72.0
CBJ,PIT,3/11/2016,7:00 PM,0,72.0
CBJ,TBL,3/13/2016,3:00 PM,0,44.0
CBJ,DET,3/17/2016,7:00 PM,0,100.0
CBJ,NJD,3/19/2016,7:00 PM,0,48.0
NJD,CBJ,3/20/2016,5:00 PM,468,22.0
CBJ,PHI,3/22/2016,7:00 PM,468,50.0
CBJ,CAR,3/24/2016,7:00 PM,0,48.0
NSH,CBJ,3/26/2016,8:00 PM,335,49.0
WSH,CBJ,3/28/2016,7:00 PM,568,47.0
NYI,CBJ,3/31/2016,7:00 PM,204,72.0
CAR,CBJ,4/2/2016,7:00 PM,420,48.0
CBJ,NYR,4/4/2016,7:00 PM,372,48.0
TOR,CBJ,4/6/2016,7:00 PM,314,48.0
BUF,CBJ,4/8/2016,7:00 PM,59,48.0
CBJ,CHI,4/9/2016,7:00 PM,294,24.0
