HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
CGY,VAN,10/7/2015,8:00 PM,0,0.0
VAN,CGY,10/10/2015,8:00 PM,421,72.0
CGY,STL,10/13/2015,7:00 PM,421,71.0
WPG,CGY,10/16/2015,6:00 PM,748,71.0
CGY,EDM,10/17/2015,8:00 PM,748,26.0
CGY,WSH,10/20/2015,7:00 PM,0,71.0
CGY,DET,10/23/2015,7:00 PM,0,72.0
NYR,CGY,10/25/2015,5:00 PM,2030,46.0
NYI,CGY,10/26/2015,5:00 PM,7,24.0
OTT,CGY,10/28/2015,5:30 PM,340,48.5
CGY,MON,10/30/2015,7:00 PM,1791,49.5
EDM,CGY,10/31/2015,8:00 PM,176,25.0
COL,CGY,11/3/2015,7:00 PM,1037,71.0
CGY,PHI,11/5/2015,7:00 PM,897,48.0
CGY,PIT,11/7/2015,8:00 PM,0,49.0
FLA,CGY,11/10/2015,5:30 PM,2493,69.5
TBL,CGY,11/12/2015,5:30 PM,206,48.0
WSH,CGY,11/13/2015,5:00 PM,817,23.5
CHI,CGY,11/15/2015,6:30 PM,598,49.5
CGY,NJD,11/17/2015,7:00 PM,1401,48.5
CGY,CHI,11/20/2015,7:00 PM,0,72.0
ANH,CGY,11/24/2015,8:00 PM,1204,97.0
ARI,CGY,11/27/2015,7:00 PM,329,71.0
SJS,CGY,11/28/2015,8:00 PM,602,25.0
CGY,DAL,12/1/2015,7:00 PM,1023,71.0
CGY,BOS,12/4/2015,7:00 PM,0,72.0
CGY,SJS,12/8/2015,7:00 PM,0,96.0
CGY,BUF,12/10/2015,7:00 PM,0,48.0
CGY,NYR,12/12/2015,8:00 PM,0,49.0
NSH,CGY,12/15/2015,6:00 PM,1694,70.0
DAL,CGY,12/17/2015,6:30 PM,615,48.5
STL,CGY,12/19/2015,1:00 PM,544,42.5
DET,CGY,12/20/2015,5:00 PM,456,28.0
CGY,WPG,12/22/2015,7:00 PM,1573,50.0
CGY,EDM,12/27/2015,7:00 PM,0,120.0
CGY,ANH,12/29/2015,7:00 PM,0,48.0
CGY,LAK,12/31/2015,7:00 PM,0,48.0
COL,CGY,1/2/2016,8:00 PM,897,49.0
CGY,TBL,1/5/2016,7:00 PM,897,71.0
CGY,ARI,1/7/2016,7:00 PM,0,48.0
CGY,SJS,1/11/2016,7:00 PM,0,96.0
CGY,FLA,1/13/2016,7:30 PM,0,48.5
EDM,CGY,1/16/2016,8:00 PM,176,72.5
NJD,CGY,1/19/2016,5:00 PM,2023,69.0
CBJ,CGY,1/21/2016,5:00 PM,468,48.0
CAR,CGY,1/24/2016,4:00 PM,372,71.0
DAL,CGY,1/25/2016,6:30 PM,1056,26.5
CGY,NSH,1/27/2016,7:30 PM,1535,49.0
CGY,CAR,2/3/2016,7:30 PM,0,168.0
CGY,CBJ,2/5/2016,7:00 PM,0,47.5
VAN,CGY,2/6/2016,8:00 PM,421,25.0
CGY,TOR,2/9/2016,7:00 PM,421,71.0
SJS,CGY,2/11/2016,8:30 PM,1023,49.5
ARI,CGY,2/12/2016,7:00 PM,602,22.5
CGY,ANH,2/15/2016,4:00 PM,1213,69.0
CGY,MIN,2/17/2016,8:00 PM,0,52.0
CGY,VAN,2/19/2016,7:00 PM,0,47.0
ANH,CGY,2/21/2016,5:00 PM,1204,46.0
LAK,CGY,2/23/2016,8:30 PM,32,51.5
CGY,NYI,2/25/2016,7:00 PM,1196,46.5
CGY,OTT,2/27/2016,8:00 PM,0,49.0
PHI,CGY,2/29/2016,5:00 PM,2009,45.0
BOS,CGY,3/1/2016,5:00 PM,268,24.0
BUF,CGY,3/3/2016,5:00 PM,401,48.0
PIT,CGY,3/5/2016,1:00 PM,179,44.0
CGY,SJS,3/7/2016,7:00 PM,1783,54.0
CGY,NSH,3/9/2016,7:30 PM,0,48.5
CGY,ARI,3/11/2016,7:00 PM,0,47.5
CGY,STL,3/14/2016,7:00 PM,0,72.0
CGY,WPG,3/16/2016,8:00 PM,0,49.0
CGY,COL,3/18/2016,7:00 PM,0,47.0
MON,CGY,3/20/2016,5:00 PM,1881,46.0
TOR,CGY,3/21/2016,5:30 PM,314,24.5
MIN,CGY,3/24/2016,6:00 PM,686,72.5
CGY,CHI,3/26/2016,8:00 PM,1054,50.0
ARI,CGY,3/28/2016,8:00 PM,1213,48.0
ANH,CGY,3/30/2016,8:00 PM,329,48.0
LAK,CGY,3/31/2016,8:30 PM,32,24.5
EDM,CGY,4/2/2016,8:00 PM,1371,47.5
CGY,LAK,4/5/2016,7:00 PM,176,71.0
CGY,VAN,4/7/2016,7:00 PM,0,48.0
MIN,CGY,4/9/2016,5:00 PM,1054,46.0
