HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
CHI,NYR,10/7/2015,7:00 PM,0,0.0
NYI,CHI,10/9/2015,6:30 PM,719,47.5
CHI,NYI,10/10/2015,7:30 PM,719,25.0
PHI,CHI,10/14/2015,7:00 PM,668,95.5
WSH,CHI,10/15/2015,6:00 PM,126,23.0
CHI,CBJ,10/17/2015,7:30 PM,598,49.5
CHI,FLA,10/22/2015,7:30 PM,0,120.0
CHI,TBL,10/24/2015,7:30 PM,0,48.0
CHI,ANH,10/26/2015,7:30 PM,0,48.0
WPG,CHI,10/29/2015,7:00 PM,719,71.5
MIN,CHI,10/30/2015,7:00 PM,390,24.0
CHI,LAK,11/2/2015,7:30 PM,347,72.5
CHI,STL,11/4/2015,7:00 PM,0,47.5
NJD,CHI,11/6/2015,6:00 PM,707,47.0
CHI,EDM,11/8/2015,7:00 PM,707,49.0
CHI,NJD,11/12/2015,7:30 PM,0,96.5
STL,CHI,11/14/2015,7:00 PM,259,47.5
CHI,CGY,11/15/2015,7:30 PM,259,24.5
EDM,CHI,11/18/2015,8:30 PM,1440,73.0
CGY,CHI,11/20/2015,8:00 PM,176,47.5
VAN,CHI,11/21/2015,9:00 PM,421,25.0
SJS,CHI,11/25/2015,9:30 PM,830,96.5
ANH,CHI,11/27/2015,3:00 PM,325,41.5
LAK,CHI,11/28/2015,9:30 PM,32,30.5
CHI,MIN,12/1/2015,7:30 PM,1752,70.0
OTT,CHI,12/3/2015,6:30 PM,649,47.0
CHI,WPG,12/6/2015,4:00 PM,649,69.5
CHI,NSH,12/8/2015,7:30 PM,0,51.5
NSH,CHI,12/10/2015,7:00 PM,394,47.5
CHI,WPG,12/11/2015,7:30 PM,394,24.5
CHI,VAN,12/13/2015,6:00 PM,0,46.5
CHI,COL,12/15/2015,7:30 PM,0,49.5
CHI,EDM,12/17/2015,7:30 PM,0,48.0
BUF,CHI,12/19/2015,12:00 PM,457,52.5
CHI,SJS,12/20/2015,6:00 PM,457,18.0
DAL,CHI,12/22/2015,7:30 PM,799,49.5
CHI,CAR,12/27/2015,6:00 PM,799,118.5
ARI,CHI,12/29/2015,8:00 PM,1454,50.0
COL,CHI,12/31/2015,7:00 PM,591,47.0
CHI,OTT,1/3/2016,6:00 PM,912,71.0
PIT,CHI,1/5/2016,6:00 PM,413,48.0
CHI,PIT,1/6/2016,7:00 PM,413,25.0
CHI,BUF,1/8/2016,7:30 PM,0,48.5
CHI,COL,1/10/2016,6:00 PM,0,46.5
CHI,NSH,1/12/2016,7:30 PM,0,49.5
MON,CHI,1/14/2016,6:30 PM,750,47.0
TOR,CHI,1/15/2016,6:00 PM,314,23.5
CHI,MON,1/17/2016,6:00 PM,440,48.0
NSH,CHI,1/19/2016,7:00 PM,394,49.0
TBL,CHI,1/21/2016,6:30 PM,619,47.5
FLA,CHI,1/22/2016,6:30 PM,206,24.0
CHI,STL,1/24/2016,6:00 PM,1186,47.5
CAR,CHI,1/26/2016,6:00 PM,639,48.0
COL,CHI,2/2/2016,8:00 PM,1456,170.0
ARI,CHI,2/4/2016,8:00 PM,591,48.0
DAL,CHI,2/6/2016,7:00 PM,987,47.0
CHI,SJS,2/9/2016,7:30 PM,799,72.5
CHI,DAL,2/11/2016,7:30 PM,0,48.0
CHI,ANH,2/13/2016,7:30 PM,0,48.0
CHI,TOR,2/15/2016,7:30 PM,0,48.0
NYR,CHI,2/17/2016,7:00 PM,717,47.5
MIN,CHI,2/21/2016,2:30 PM,1011,91.5
CHI,NSH,2/25/2016,7:30 PM,347,101.0
CHI,WSH,2/28/2016,11:30 AM,0,64.0
DET,CHI,3/2/2016,7:00 PM,238,79.5
BOS,CHI,3/3/2016,6:00 PM,618,23.0
CHI,DET,3/6/2016,4:00 PM,856,70.0
STL,CHI,3/9/2016,7:00 PM,259,75.0
DAL,CHI,3/11/2016,7:30 PM,544,48.5
CHI,LAK,3/14/2016,7:30 PM,799,72.0
CHI,PHI,3/16/2016,7:00 PM,0,47.5
WPG,CHI,3/18/2016,7:00 PM,719,48.0
CHI,MIN,3/20/2016,7:30 PM,719,48.5
CHI,DAL,3/22/2016,7:30 PM,0,48.0
CGY,CHI,3/26/2016,9:00 PM,1401,97.5
VAN,CHI,3/27/2016,7:00 PM,421,22.0
MIN,CHI,3/29/2016,7:00 PM,1437,48.0
WPG,CHI,4/1/2016,7:00 PM,390,72.0
CHI,BOS,4/3/2016,11:30 AM,719,40.5
CHI,ARI,4/5/2016,7:30 PM,0,56.0
CHI,STL,4/7/2016,7:30 PM,0,48.0
CBJ,CHI,4/9/2016,6:00 PM,277,46.5
