HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
COL,MIN,10/8/2015,7:00 PM,0,0.0
COL,DAL,10/10/2015,7:00 PM,0,48.0
COL,BOS,10/14/2015,8:00 PM,0,97.0
ANH,COL,10/16/2015,8:00 PM,828,48.0
LAK,COL,10/18/2015,8:00 PM,32,48.0
COL,CAR,10/21/2015,8:00 PM,946,72.0
COL,CBJ,10/24/2015,7:00 PM,0,71.0
FLA,COL,10/27/2015,5:30 PM,1720,70.5
TBL,COL,10/29/2015,5:30 PM,206,48.0
CAR,COL,10/30/2015,5:00 PM,587,23.5
COL,SJS,11/1/2015,1:00 PM,1456,44.0
COL,CGY,11/3/2015,7:00 PM,0,54.0
ARI,COL,11/5/2015,7:00 PM,591,48.0
COL,NYR,11/6/2015,7:00 PM,591,24.0
PHI,COL,11/10/2015,5:00 PM,1574,94.0
BOS,COL,11/12/2015,5:00 PM,268,48.0
MON,COL,11/14/2015,5:00 PM,254,48.0
TOR,COL,11/17/2015,5:30 PM,314,72.5
PIT,COL,11/19/2015,5:00 PM,224,47.5
WSH,COL,11/21/2015,5:00 PM,190,48.0
WPG,COL,11/23/2015,6:00 PM,1246,49.0
COL,OTT,11/25/2015,7:30 PM,934,49.5
COL,WPG,11/28/2015,8:00 PM,0,72.5
NYI,COL,11/30/2015,5:00 PM,1629,45.0
NJD,COL,12/1/2015,5:00 PM,13,24.0
NYR,COL,12/3/2015,5:00 PM,11,48.0
MIN,COL,12/5/2015,6:00 PM,1011,49.0
COL,MIN,12/7/2015,7:00 PM,700,49.0
COL,PIT,12/9/2015,8:00 PM,0,49.0
NSH,COL,12/12/2015,6:00 PM,1017,70.0
STL,COL,12/13/2015,4:00 PM,255,22.0
CHI,COL,12/15/2015,6:30 PM,259,50.5
COL,NYI,12/17/2015,7:00 PM,912,48.5
COL,EDM,12/19/2015,8:00 PM,0,49.0
COL,TOR,12/21/2015,7:00 PM,0,47.0
COL,ARI,12/27/2015,6:00 PM,0,143.0
SJS,COL,12/28/2015,8:30 PM,932,26.5
COL,CHI,12/31/2015,6:00 PM,932,69.5
COL,CGY,1/2/2016,8:00 PM,0,50.0
COL,LAK,1/4/2016,7:00 PM,0,47.0
COL,STL,1/6/2016,8:00 PM,0,49.0
COL,NSH,1/8/2016,7:00 PM,0,47.0
CHI,COL,1/10/2016,5:00 PM,912,46.0
COL,TBL,1/12/2016,7:00 PM,912,50.0
COL,NJD,1/14/2016,7:00 PM,0,48.0
CBJ,COL,1/16/2016,5:00 PM,1161,46.0
WPG,COL,1/18/2016,6:00 PM,927,49.0
COL,BUF,1/20/2016,8:00 PM,934,50.0
COL,STL,1/22/2016,7:00 PM,0,47.0
DAL,COL,1/23/2016,6:00 PM,660,23.0
SJS,COL,1/26/2016,8:30 PM,1449,74.5
LAK,COL,1/27/2016,8:30 PM,296,24.0
COL,CHI,2/2/2016,7:00 PM,946,142.5
COL,DAL,2/4/2016,7:00 PM,0,48.0
COL,WPG,2/6/2016,8:00 PM,0,49.0
COL,VAN,2/9/2016,7:00 PM,0,71.0
OTT,COL,2/11/2016,5:30 PM,1529,46.5
DET,COL,2/12/2016,5:30 PM,424,24.0
BUF,COL,2/14/2016,10:30 AM,219,41.0
COL,MON,2/17/2016,6:00 PM,1365,79.5
EDM,COL,2/20/2016,8:00 PM,1037,74.0
VAN,COL,2/21/2016,8:00 PM,509,24.0
COL,SJS,2/24/2016,8:00 PM,1111,72.0
COL,DET,2/27/2016,6:00 PM,0,70.0
MIN,COL,3/1/2016,6:00 PM,700,72.0
COL,FLA,3/3/2016,7:00 PM,700,49.0
COL,NSH,3/5/2016,1:00 PM,0,42.0
COL,ARI,3/7/2016,7:00 PM,0,54.0
COL,ANH,3/9/2016,8:00 PM,0,49.0
WPG,COL,3/12/2016,5:00 PM,934,69.0
VAN,COL,3/16/2016,8:00 PM,1161,99.0
CGY,COL,3/18/2016,7:00 PM,421,47.0
EDM,COL,3/20/2016,7:30 PM,176,48.5
COL,PHI,3/24/2016,7:00 PM,1037,95.5
COL,MIN,3/26/2016,1:00 PM,0,42.0
NSH,COL,3/28/2016,6:00 PM,1017,53.0
STL,COL,3/29/2016,6:00 PM,255,24.0
COL,WSH,4/1/2016,7:00 PM,789,73.0
COL,STL,4/3/2016,6:00 PM,0,47.0
NSH,COL,4/5/2016,6:00 PM,1017,48.0
DAL,COL,4/7/2016,6:30 PM,615,48.5
COL,ANH,4/9/2016,3:30 PM,660,45.0
