HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
DAL,PIT,10/8/2015,7:30 PM,0,0.0
COL,DAL,10/10/2015,8:00 PM,660,48.5
DAL,EDM,10/13/2015,7:30 PM,660,71.5
TBL,DAL,10/15/2015,6:30 PM,915,47.0
FLA,DAL,10/17/2015,6:00 PM,206,47.5
PHI,DAL,10/20/2015,6:00 PM,1024,72.0
PIT,DAL,10/22/2015,6:00 PM,258,48.0
DAL,FLA,10/24/2015,7:00 PM,1069,49.0
DAL,ANH,10/27/2015,7:30 PM,0,72.5
DAL,VAN,10/29/2015,7:30 PM,0,48.0
DAL,SJS,10/31/2015,2:00 PM,0,42.5
TOR,DAL,11/2/2015,6:30 PM,1202,52.5
BOS,DAL,11/3/2015,6:00 PM,433,23.5
CAR,DAL,11/6/2015,6:00 PM,607,72.0
DET,DAL,11/8/2015,2:00 PM,512,44.0
DAL,TOR,11/10/2015,7:30 PM,998,53.5
DAL,WPG,11/12/2015,7:30 PM,0,48.0
DAL,MIN,11/14/2015,7:00 PM,0,47.5
BUF,DAL,11/17/2015,6:00 PM,1198,71.0
WSH,DAL,11/19/2015,6:00 PM,292,48.0
DAL,BUF,11/21/2015,7:00 PM,1183,49.0
DAL,OTT,11/24/2015,7:30 PM,0,72.5
DAL,VAN,11/27/2015,7:30 PM,0,72.0
MIN,DAL,11/28/2015,7:00 PM,861,23.5
CGY,DAL,12/1/2015,8:00 PM,1054,73.0
VAN,DAL,12/3/2015,9:00 PM,421,49.0
EDM,DAL,12/4/2015,8:00 PM,509,23.0
DAL,CAR,12/8/2015,7:30 PM,1656,95.5
DAL,PHI,12/11/2015,7:30 PM,0,72.0
STL,DAL,12/12/2015,7:00 PM,544,23.5
DAL,CBJ,12/15/2015,7:30 PM,544,72.5
DAL,CGY,12/17/2015,7:30 PM,0,48.0
DAL,MON,12/19/2015,6:00 PM,0,46.5
MIN,DAL,12/21/2015,7:00 PM,861,49.0
DAL,CHI,12/22/2015,7:30 PM,861,24.5
STL,DAL,12/26/2015,7:00 PM,544,95.5
DAL,STL,12/27/2015,5:00 PM,544,22.0
CBJ,DAL,12/29/2015,6:00 PM,913,49.0
DAL,NSH,12/31/2015,7:30 PM,913,49.5
NJD,DAL,1/2/2016,6:00 PM,1362,46.5
NYI,DAL,1/3/2016,4:00 PM,13,22.0
NYR,DAL,1/5/2016,6:00 PM,7,50.0
DAL,WPG,1/7/2016,7:30 PM,1373,49.5
DAL,MIN,1/9/2016,7:00 PM,0,47.5
ANH,DAL,1/15/2016,9:00 PM,1222,146.0
SJS,DAL,1/16/2016,9:30 PM,325,24.5
LAK,DAL,1/19/2016,9:30 PM,296,72.0
DAL,EDM,1/21/2016,7:30 PM,1252,46.0
DAL,COL,1/23/2016,7:00 PM,0,47.5
DAL,CGY,1/25/2016,7:30 PM,0,48.5
WPG,DAL,2/2/2016,7:00 PM,1179,191.5
COL,DAL,2/4/2016,8:00 PM,934,49.0
DAL,CHI,2/6/2016,7:00 PM,660,47.0
MIN,DAL,2/9/2016,7:00 PM,861,72.0
CHI,DAL,2/11/2016,7:30 PM,347,48.5
DAL,WSH,2/13/2016,7:00 PM,799,47.5
NSH,DAL,2/15/2016,7:00 PM,615,48.0
STL,DAL,2/16/2016,7:00 PM,255,24.0
ARI,DAL,2/18/2016,8:00 PM,1274,49.0
DAL,BOS,2/20/2016,7:00 PM,987,47.0
WPG,DAL,2/23/2016,7:00 PM,1179,72.0
DAL,WPG,2/25/2016,7:30 PM,1179,48.5
DAL,NYR,2/27/2016,3:00 PM,0,43.5
DAL,DET,2/29/2016,7:30 PM,0,52.5
NSH,DAL,3/1/2016,7:00 PM,615,23.5
DAL,NJD,3/4/2016,7:30 PM,615,72.5
OTT,DAL,3/6/2016,4:00 PM,1421,44.5
MON,DAL,3/8/2016,6:30 PM,104,50.5
DAL,CHI,3/11/2016,7:30 PM,1515,73.0
DAL,STL,3/12/2016,8:00 PM,0,24.5
DAL,LAK,3/15/2016,7:30 PM,0,71.5
DAL,TBL,3/17/2016,7:30 PM,0,48.0
DAL,NYI,3/19/2016,7:00 PM,0,47.5
CHI,DAL,3/22/2016,7:30 PM,799,72.5
ARI,DAL,3/24/2016,9:00 PM,1454,49.5
SJS,DAL,3/26/2016,3:00 PM,602,42.0
DAL,NSH,3/29/2016,7:30 PM,1449,76.5
DAL,ARI,3/31/2016,7:30 PM,0,48.0
LAK,DAL,4/2/2016,3:00 PM,1252,43.5
ANH,DAL,4/3/2016,8:00 PM,32,29.0
DAL,COL,4/7/2016,7:30 PM,1222,95.5
DAL,NSH,4/9/2016,7:00 PM,0,47.5
