HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
DET,TOR,10/9/2015,7:30 PM,0,0.0
CAR,DET,10/10/2015,7:00 PM,512,23.5
DET,TBL,10/13/2015,7:30 PM,512,72.5
DET,CAR,10/16/2015,7:30 PM,0,72.0
MON,DET,10/17/2015,7:00 PM,522,23.5
EDM,DET,10/21/2015,9:30 PM,1854,98.5
CGY,DET,10/23/2015,9:00 PM,176,47.5
VAN,DET,10/24/2015,10:00 PM,421,25.0
DET,CAR,10/27/2015,7:30 PM,1966,69.5
DET,OTT,10/30/2015,7:30 PM,0,72.0
OTT,DET,10/31/2015,7:00 PM,424,23.5
DET,TBL,11/3/2015,7:30 PM,424,72.5
TOR,DET,11/6/2015,7:00 PM,208,71.5
DET,DAL,11/8/2015,3:00 PM,208,44.0
DET,WSH,11/10/2015,7:30 PM,0,52.5
DET,SJS,11/13/2015,7:30 PM,0,72.0
BOS,DET,11/14/2015,7:00 PM,618,23.5
OTT,DET,11/16/2015,7:30 PM,317,48.5
DET,WSH,11/18/2015,8:00 PM,424,48.5
DET,LAK,11/20/2015,7:30 PM,0,47.5
STL,DET,11/21/2015,8:00 PM,456,24.5
DET,BOS,11/25/2015,7:30 PM,456,95.5
DET,EDM,11/27/2015,7:30 PM,0,48.0
DET,FLA,11/29/2015,2:00 PM,0,42.5
DET,BUF,12/1/2015,7:30 PM,0,53.5
DET,ARI,12/3/2015,7:30 PM,0,48.0
DET,NSH,12/5/2015,7:00 PM,0,47.5
WSH,DET,12/8/2015,7:00 PM,400,72.0
DET,MON,12/10/2015,7:30 PM,400,48.5
NJD,DET,12/11/2015,7:00 PM,477,23.5
DET,BUF,12/14/2015,7:30 PM,477,72.5
DET,VAN,12/18/2015,7:30 PM,0,96.0
DET,CGY,12/20/2015,7:00 PM,0,47.5
DET,NJD,12/22/2015,7:30 PM,0,48.5
NSH,DET,12/26/2015,8:00 PM,472,96.5
MIN,DET,12/28/2015,8:00 PM,691,48.0
WPG,DET,12/29/2015,8:00 PM,390,24.0
DET,PIT,12/31/2015,6:00 PM,849,46.0
BUF,DET,1/2/2016,1:00 PM,219,43.0
NJD,DET,1/4/2016,7:00 PM,285,54.0
SJS,DET,1/7/2016,10:30 PM,2544,75.5
ANH,DET,1/10/2016,8:00 PM,325,69.5
LAK,DET,1/11/2016,10:30 PM,32,26.5
ARI,DET,1/14/2016,9:00 PM,360,70.5
DET,PHI,1/17/2016,7:30 PM,1691,70.5
DET,STL,1/20/2016,8:00 PM,0,72.5
BUF,DET,1/22/2016,7:00 PM,219,47.0
DET,ANH,1/23/2016,7:00 PM,219,24.0
NYI,DET,1/25/2016,7:00 PM,489,48.0
TBL,DET,2/3/2016,8:00 PM,1001,217.0
FLA,DET,2/4/2016,7:30 PM,206,23.5
DET,NYI,2/6/2016,2:00 PM,1156,42.5
DET,FLA,2/8/2016,7:30 PM,0,53.5
DET,OTT,2/10/2016,7:00 PM,0,47.5
DET,COL,2/12/2016,7:30 PM,0,48.5
DET,BOS,2/14/2016,3:00 PM,0,43.5
NYI,DET,2/15/2016,1:00 PM,489,22.0
PIT,DET,2/18/2016,7:00 PM,318,78.0
OTT,DET,2/20/2016,7:00 PM,406,48.0
NYR,DET,2/21/2016,7:00 PM,333,24.0
DET,CBJ,2/23/2016,7:30 PM,486,48.5
COL,DET,2/27/2016,8:00 PM,1148,96.5
DAL,DET,2/29/2016,8:30 PM,660,48.5
DET,CHI,3/2/2016,8:00 PM,998,47.5
CHI,DET,3/6/2016,5:00 PM,238,93.0
CBJ,DET,3/8/2016,7:00 PM,277,50.0
DET,WPG,3/10/2016,7:30 PM,166,48.5
DET,NYR,3/12/2016,2:00 PM,0,42.5
DET,TOR,3/13/2016,7:30 PM,0,29.5
PHI,DET,3/15/2016,7:00 PM,446,47.5
CBJ,DET,3/17/2016,7:00 PM,417,48.0
FLA,DET,3/19/2016,7:00 PM,992,48.0
TBL,DET,3/22/2016,7:30 PM,206,72.5
DET,MON,3/24/2016,7:30 PM,994,48.0
DET,PIT,3/26/2016,2:00 PM,0,42.5
DET,BUF,3/28/2016,7:30 PM,0,53.5
MON,DET,3/29/2016,7:30 PM,522,24.0
DET,MIN,4/1/2016,7:30 PM,522,72.0
TOR,DET,4/2/2016,7:00 PM,208,23.5
DET,PHI,4/6/2016,8:00 PM,208,97.0
BOS,DET,4/7/2016,7:00 PM,618,23.0
NYR,DET,4/9/2016,12:30 PM,187,53.5
