HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
STL,EDM,10/8/2015,6:00 PM,1509,0.0
NSH,EDM,10/10/2015,5:00 PM,255,47.0
DAL,EDM,10/13/2015,6:30 PM,615,73.5
EDM,STL,10/15/2015,7:00 PM,1656,48.5
CGY,EDM,10/17/2015,8:00 PM,176,49.0
VAN,EDM,10/18/2015,7:00 PM,421,23.0
EDM,DET,10/21/2015,7:30 PM,509,72.5
EDM,WSH,10/23/2015,7:00 PM,0,47.5
EDM,LAK,10/25/2015,7:30 PM,0,48.5
MIN,EDM,10/27/2015,6:00 PM,1094,46.5
EDM,MON,10/29/2015,7:00 PM,1094,49.0
EDM,CGY,10/31/2015,8:00 PM,0,49.0
EDM,PHI,11/3/2015,7:00 PM,0,71.0
EDM,PIT,11/6/2015,7:00 PM,0,72.0
CHI,EDM,11/8/2015,6:00 PM,1440,47.0
ANH,EDM,11/11/2015,8:00 PM,1731,74.0
ARI,EDM,11/12/2015,7:00 PM,329,23.0
LAK,EDM,11/14/2015,8:00 PM,360,49.0
EDM,CHI,11/18/2015,7:30 PM,1371,95.5
EDM,NJD,11/20/2015,7:00 PM,0,47.5
WSH,EDM,11/23/2015,5:00 PM,1991,70.0
CAR,EDM,11/25/2015,5:00 PM,230,48.0
DET,EDM,11/27/2015,5:30 PM,512,48.5
PIT,EDM,11/28/2015,5:00 PM,211,23.5
TOR,EDM,11/30/2015,5:30 PM,224,48.5
EDM,BOS,12/2/2015,7:30 PM,1688,50.0
EDM,DAL,12/4/2015,7:00 PM,0,47.5
EDM,BUF,12/6/2015,6:00 PM,0,47.0
EDM,SJS,12/9/2015,7:30 PM,0,73.5
EDM,NYR,12/11/2015,7:00 PM,0,47.5
BOS,EDM,12/14/2015,5:00 PM,2083,70.0
NYR,EDM,12/15/2015,5:00 PM,187,24.0
CHI,EDM,12/17/2015,6:30 PM,717,49.5
COL,EDM,12/19/2015,8:00 PM,912,49.5
EDM,WPG,12/21/2015,7:00 PM,1037,47.0
VAN,EDM,12/26/2015,8:00 PM,509,121.0
CGY,EDM,12/27/2015,7:00 PM,421,23.0
EDM,LAK,12/29/2015,7:00 PM,176,48.0
EDM,ANH,12/31/2015,7:00 PM,0,48.0
EDM,ARI,1/2/2016,2:00 PM,0,43.0
EDM,CAR,1/4/2016,7:00 PM,0,53.0
EDM,TBL,1/8/2016,7:00 PM,0,96.0
EDM,FLA,1/10/2016,7:30 PM,0,48.5
ARI,EDM,1/12/2016,7:00 PM,1385,47.5
SJS,EDM,1/14/2016,8:30 PM,602,49.5
EDM,CGY,1/16/2016,8:00 PM,1192,47.5
FLA,EDM,1/18/2016,5:30 PM,2570,45.5
TBL,EDM,1/19/2016,5:30 PM,206,24.0
DAL,EDM,1/21/2016,6:30 PM,915,49.0
EDM,NSH,1/23/2016,8:00 PM,1656,49.5
EDM,CBJ,2/2/2016,7:00 PM,0,239.0
OTT,EDM,2/4/2016,5:30 PM,1769,46.5
MON,EDM,2/6/2016,12:00 PM,104,54.5
NYI,EDM,2/7/2016,12:30 PM,335,24.5
NJD,EDM,2/9/2016,5:00 PM,13,40.5
EDM,TOR,2/11/2016,7:00 PM,2023,50.0
EDM,WPG,2/13/2016,8:00 PM,0,49.0
EDM,ANH,2/16/2016,7:00 PM,0,71.0
EDM,MIN,2/18/2016,7:00 PM,0,48.0
EDM,COL,2/20/2016,8:00 PM,0,49.0
EDM,OTT,2/23/2016,7:00 PM,0,71.0
LAK,EDM,2/25/2016,8:30 PM,1371,49.5
ANH,EDM,2/26/2016,8:00 PM,32,23.5
EDM,NYI,2/28/2016,7:30 PM,1379,47.5
BUF,EDM,3/1/2016,5:00 PM,1740,45.5
PHI,EDM,3/3/2016,5:00 PM,278,48.0
CBJ,EDM,3/4/2016,5:00 PM,417,24.0
WPG,EDM,3/6/2016,5:00 PM,927,48.0
EDM,SJS,3/8/2016,7:00 PM,746,50.0
MIN,EDM,3/10/2016,6:00 PM,1094,47.0
EDM,ARI,3/12/2016,8:00 PM,1094,50.0
EDM,NSH,3/14/2016,7:00 PM,0,47.0
EDM,STL,3/16/2016,7:30 PM,0,48.5
EDM,VAN,3/18/2016,7:00 PM,0,47.5
EDM,COL,3/20/2016,7:30 PM,0,48.5
ARI,EDM,3/22/2016,8:00 PM,1385,48.5
SJS,EDM,3/24/2016,8:30 PM,602,48.5
LAK,EDM,3/26/2016,8:00 PM,296,47.5
EDM,ANH,3/28/2016,7:00 PM,1371,47.0
EDM,CGY,4/2/2016,8:00 PM,0,121.0
EDM,VAN,4/6/2016,8:00 PM,0,96.0
VAN,EDM,4/9/2016,8:00 PM,509,72.0
