HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
FLA,PHI,10/10/2015,7:00 PM,0,0.0
PHI,FLA,10/12/2015,7:00 PM,1024,48.0
CAR,FLA,10/13/2015,7:00 PM,346,24.0
FLA,BUF,10/15/2015,7:30 PM,699,48.5
FLA,DAL,10/17/2015,7:00 PM,0,47.5
PIT,FLA,10/20/2015,7:00 PM,1011,72.0
CHI,FLA,10/22/2015,8:30 PM,413,49.5
DAL,FLA,10/24/2015,8:00 PM,799,47.5
FLA,COL,10/27/2015,7:30 PM,1109,71.5
FLA,BOS,10/30/2015,7:30 PM,0,72.0
FLA,WSH,10/31/2015,7:00 PM,0,23.5
ANH,FLA,11/4/2015,10:30 PM,2317,99.5
SJS,FLA,11/5/2015,10:30 PM,325,24.0
LAK,FLA,11/7/2015,4:00 PM,296,41.5
FLA,CGY,11/10/2015,7:30 PM,2348,75.5
FLA,BUF,11/12/2015,7:30 PM,0,48.0
TBL,FLA,11/14/2015,7:00 PM,206,47.5
FLA,TBL,11/16/2015,7:30 PM,206,48.5
FLA,ANH,11/19/2015,7:30 PM,0,72.0
FLA,NYR,11/21/2015,7:00 PM,0,47.5
FLA,LAK,11/23/2015,7:30 PM,0,48.5
FLA,NYI,11/27/2015,7:30 PM,0,96.0
DET,FLA,11/29/2015,2:00 PM,1156,42.5
STL,FLA,12/1/2015,8:00 PM,456,54.0
NSH,FLA,12/3/2015,8:00 PM,255,48.0
CBJ,FLA,12/4/2015,7:00 PM,335,23.0
NJD,FLA,12/6/2015,7:00 PM,468,48.0
FLA,OTT,12/8/2015,7:30 PM,1087,48.5
FLA,WSH,12/10/2015,7:30 PM,0,48.0
BOS,FLA,12/12/2015,1:00 PM,1255,41.5
NYI,FLA,12/15/2015,7:00 PM,190,78.0
NJD,FLA,12/17/2015,7:00 PM,13,48.0
CAR,FLA,12/18/2015,7:00 PM,416,24.0
FLA,VAN,12/20/2015,4:00 PM,699,45.0
FLA,OTT,12/22/2015,7:30 PM,0,51.5
FLA,CBJ,12/27/2015,6:00 PM,0,118.5
FLA,MON,12/29/2015,7:30 PM,0,49.5
FLA,NYR,1/2/2016,7:00 PM,0,95.5
FLA,MIN,1/3/2016,6:00 PM,0,23.0
BUF,FLA,1/5/2016,7:00 PM,1182,49.0
OTT,FLA,1/7/2016,7:30 PM,234,48.5
EDM,FLA,1/10/2016,9:30 PM,1769,74.0
VAN,FLA,1/11/2016,10:00 PM,509,24.5
CGY,FLA,1/13/2016,9:30 PM,421,47.5
TBL,FLA,1/17/2016,5:00 PM,2288,91.5
FLA,EDM,1/18/2016,7:30 PM,206,26.5
FLA,CHI,1/22/2016,7:30 PM,0,96.0
FLA,TBL,1/23/2016,7:00 PM,0,23.5
FLA,TOR,1/26/2016,7:30 PM,0,72.5
WSH,FLA,2/2/2016,7:00 PM,924,167.5
FLA,DET,2/4/2016,7:30 PM,924,48.5
FLA,PIT,2/6/2016,7:00 PM,0,47.5
DET,FLA,2/8/2016,7:30 PM,1156,48.5
BUF,FLA,2/9/2016,7:00 PM,219,23.5
FLA,STL,2/12/2016,7:30 PM,1182,72.5
FLA,NSH,2/13/2016,7:00 PM,0,23.5
FLA,PIT,2/15/2016,7:30 PM,0,48.5
FLA,SJS,2/18/2016,7:30 PM,0,72.0
FLA,WPG,2/20/2016,7:00 PM,0,47.5
FLA,ARI,2/25/2016,7:30 PM,0,120.5
CBJ,FLA,2/27/2016,3:00 PM,992,43.5
MIN,FLA,2/28/2016,3:00 PM,620,24.0
WPG,FLA,3/1/2016,8:00 PM,390,53.0
COL,FLA,3/3/2016,9:00 PM,934,49.0
ARI,FLA,3/5/2016,9:00 PM,591,48.0
FLA,BOS,3/7/2016,7:30 PM,1988,46.5
FLA,OTT,3/10/2016,7:30 PM,0,72.0
FLA,PHI,3/12/2016,7:00 PM,0,47.5
NYI,FLA,3/14/2016,7:00 PM,1088,48.0
MON,FLA,3/15/2016,7:30 PM,335,24.5
TOR,FLA,3/17/2016,7:30 PM,314,48.0
FLA,DET,3/19/2016,7:00 PM,1233,47.5
NYR,FLA,3/21/2016,7:00 PM,1094,48.0
BOS,FLA,3/24/2016,7:00 PM,187,72.0
TBL,FLA,3/26/2016,7:00 PM,1181,48.0
FLA,TOR,3/29/2016,7:30 PM,206,72.5
FLA,NJD,3/31/2016,7:30 PM,0,48.0
FLA,MON,4/2/2016,7:00 PM,0,47.5
TOR,FLA,4/4/2016,7:30 PM,1233,48.5
MON,FLA,4/5/2016,7:30 PM,314,24.0
OTT,FLA,4/7/2016,7:30 PM,104,48.0
FLA,CAR,4/9/2016,7:00 PM,1377,47.5
