HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
LAK,SJS,10/7/2015,7:30 PM,0,0.0
LAK,ARI,10/9/2015,7:30 PM,0,48.0
LAK,VAN,10/13/2015,7:30 PM,0,96.0
LAK,MIN,10/16/2015,7:30 PM,0,72.0
LAK,COL,10/18/2015,7:00 PM,0,47.5
SJS,LAK,10/22/2015,7:30 PM,296,96.5
LAK,CAR,10/23/2015,7:30 PM,296,24.0
EDM,LAK,10/25/2015,6:30 PM,1371,47.0
WPG,LAK,10/27/2015,5:00 PM,746,46.5
LAK,NSH,10/31/2015,1:00 PM,1537,92.0
CHI,LAK,11/2/2015,5:30 PM,1752,52.5
STL,LAK,11/3/2015,5:00 PM,259,23.5
LAK,CBJ,11/5/2015,7:30 PM,1597,50.5
LAK,FLA,11/7/2015,1:00 PM,0,41.5
LAK,ARI,11/10/2015,7:30 PM,0,78.5
LAK,NYI,11/12/2015,7:30 PM,0,48.0
LAK,EDM,11/14/2015,7:00 PM,0,47.5
PHI,LAK,11/17/2015,4:00 PM,2405,69.0
DET,LAK,11/20/2015,4:30 PM,446,72.5
CAR,LAK,11/22/2015,10:00 AM,512,41.5
FLA,LAK,11/23/2015,4:30 PM,699,30.5
TBL,LAK,11/25/2015,4:30 PM,206,48.0
LAK,CHI,11/28/2015,7:30 PM,2161,75.0
LAK,VAN,12/1/2015,7:30 PM,0,72.0
LAK,PIT,12/5/2015,1:00 PM,0,89.5
LAK,TBL,12/6/2015,7:00 PM,0,30.0
CBJ,LAK,12/8/2015,4:00 PM,1988,45.0
PIT,LAK,12/11/2015,4:00 PM,162,72.0
BUF,LAK,12/12/2015,4:00 PM,179,24.0
OTT,LAK,12/14/2015,4:30 PM,234,48.5
MON,LAK,12/17/2015,4:30 PM,104,72.0
TOR,LAK,12/19/2015,4:00 PM,314,47.5
LAK,SJS,12/22/2015,7:30 PM,2185,75.5
ARI,LAK,12/26/2015,6:00 PM,360,94.5
VAN,LAK,12/28/2015,7:00 PM,1223,49.0
EDM,LAK,12/29/2015,6:00 PM,509,23.0
CGY,LAK,12/31/2015,6:00 PM,176,48.0
LAK,PHI,1/2/2016,1:00 PM,1196,43.0
COL,LAK,1/4/2016,6:00 PM,946,53.0
LAK,TOR,1/7/2016,7:30 PM,946,73.5
LAK,STL,1/9/2016,7:30 PM,0,48.0
LAK,DET,1/11/2016,7:30 PM,0,48.0
LAK,OTT,1/16/2016,1:00 PM,0,113.5
ANH,LAK,1/17/2016,6:00 PM,32,29.0
LAK,DAL,1/19/2016,7:30 PM,32,49.5
LAK,MIN,1/21/2016,7:30 PM,0,48.0
ARI,LAK,1/23/2016,6:00 PM,360,46.5
SJS,LAK,1/24/2016,7:00 PM,602,25.0
LAK,COL,1/27/2016,7:30 PM,296,72.5
ARI,LAK,2/2/2016,6:00 PM,360,142.5
LAK,ANH,2/4/2016,7:30 PM,360,49.5
BOS,LAK,2/9/2016,4:00 PM,2608,116.5
NYI,LAK,2/11/2016,4:00 PM,190,48.0
NYR,LAK,2/12/2016,4:00 PM,7,24.0
NJD,LAK,2/14/2016,9:30 AM,11,41.5
WSH,LAK,2/16/2016,4:00 PM,197,54.5
STL,LAK,2/18/2016,5:00 PM,714,49.0
NSH,LAK,2/20/2016,5:00 PM,255,48.0
LAK,CGY,2/23/2016,7:30 PM,1790,74.5
LAK,EDM,2/25/2016,7:30 PM,0,48.0
LAK,BUF,2/27/2016,8:00 PM,0,48.5
ANH,LAK,2/28/2016,6:00 PM,32,22.0
LAK,MON,3/3/2016,7:30 PM,32,97.5
LAK,ANH,3/5/2016,1:00 PM,0,41.5
LAK,VAN,3/7/2016,7:30 PM,0,54.5
LAK,WSH,3/9/2016,7:30 PM,0,48.0
LAK,NJD,3/12/2016,7:30 PM,0,72.0
CHI,LAK,3/14/2016,5:30 PM,1752,46.0
DAL,LAK,3/15/2016,5:30 PM,799,24.0
LAK,NYR,3/17/2016,7:30 PM,1252,50.0
LAK,BOS,3/19/2016,7:30 PM,0,48.0
NSH,LAK,3/21/2016,5:00 PM,1790,45.5
MIN,LAK,3/22/2016,5:00 PM,691,24.0
WPG,LAK,3/24/2016,5:00 PM,390,48.0
LAK,EDM,3/26/2016,7:00 PM,1537,50.0
SJS,LAK,3/28/2016,7:00 PM,296,48.0
LAK,CGY,3/31/2016,7:30 PM,296,72.5
LAK,DAL,4/2/2016,1:00 PM,0,41.5
VAN,LAK,4/4/2016,7:00 PM,1081,54.0
CGY,LAK,4/5/2016,6:00 PM,421,23.0
LAK,ANH,4/7/2016,7:30 PM,1196,49.5
LAK,WPG,4/9/2016,7:00 PM,0,47.5
