HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
COL,MIN,10/8/2015,8:00 PM,700,0.0
MIN,STL,10/10/2015,7:00 PM,700,47.0
ARI,MIN,10/15/2015,9:00 PM,1286,122.0
LAK,MIN,10/16/2015,9:30 PM,360,24.5
ANH,MIN,10/18/2015,7:00 PM,32,45.5
MIN,CBJ,10/22/2015,7:00 PM,1523,96.0
MIN,ANH,10/24/2015,5:00 PM,0,46.0
WPG,MIN,10/25/2015,5:00 PM,390,24.0
MIN,EDM,10/27/2015,7:00 PM,390,50.0
MIN,CHI,10/30/2015,7:00 PM,0,72.0
STL,MIN,10/31/2015,7:00 PM,460,24.0
MIN,NSH,11/5/2015,7:00 PM,460,120.0
MIN,TBL,11/7/2015,7:00 PM,0,48.0
MIN,WPG,11/10/2015,7:00 PM,0,72.0
CAR,MIN,11/12/2015,6:00 PM,986,47.0
DAL,MIN,11/14/2015,7:00 PM,1056,49.0
PIT,MIN,11/17/2015,6:00 PM,1069,71.0
BOS,MIN,11/19/2015,6:00 PM,483,48.0
MIN,NSH,11/21/2015,7:00 PM,1118,49.0
MIN,VAN,11/25/2015,6:00 PM,0,95.0
MIN,WPG,11/27/2015,3:00 PM,0,45.0
MIN,DAL,11/28/2015,7:00 PM,0,28.0
CHI,MIN,12/1/2015,7:30 PM,347,72.5
MIN,TOR,12/3/2015,7:00 PM,347,47.5
MIN,COL,12/5/2015,7:00 PM,0,48.0
COL,MIN,12/7/2015,8:00 PM,700,49.0
ARI,MIN,12/11/2015,8:00 PM,591,96.0
SJS,MIN,12/12/2015,9:30 PM,602,25.5
MIN,VAN,12/15/2015,7:00 PM,1597,69.5
MIN,NYR,12/17/2015,7:00 PM,0,48.0
NSH,MIN,12/19/2015,7:00 PM,691,48.0
MIN,DAL,12/21/2015,7:00 PM,691,48.0
MIN,MON,12/22/2015,7:00 PM,0,24.0
MIN,PIT,12/26/2015,7:00 PM,0,96.0
MIN,DET,12/28/2015,7:00 PM,0,48.0
STL,MIN,12/31/2015,7:00 PM,460,72.0
TBL,MIN,1/2/2016,6:00 PM,861,47.0
FLA,MIN,1/3/2016,5:00 PM,206,23.0
CBJ,MIN,1/5/2016,6:00 PM,992,49.0
MIN,PHI,1/7/2016,7:00 PM,620,49.0
DAL,MIN,1/9/2016,7:00 PM,861,48.0
MIN,NJD,1/10/2016,7:00 PM,861,24.0
MIN,BUF,1/12/2016,7:00 PM,0,48.0
MIN,WPG,1/15/2016,7:00 PM,0,72.0
NSH,MIN,1/16/2016,7:00 PM,691,24.0
ANH,MIN,1/20/2016,9:30 PM,1764,98.5
LAK,MIN,1/21/2016,9:30 PM,32,24.0
SJS,MIN,1/23/2016,3:00 PM,296,41.5
MIN,ARI,1/25/2016,7:30 PM,1597,52.5
NYI,MIN,2/2/2016,6:00 PM,1015,190.5
NYR,MIN,2/4/2016,6:00 PM,7,48.0
STL,MIN,2/6/2016,7:00 PM,878,49.0
MIN,DAL,2/9/2016,7:00 PM,460,72.0
MIN,WSH,2/11/2016,7:00 PM,0,48.0
MIN,BOS,2/13/2016,1:00 PM,0,42.0
VAN,MIN,2/15/2016,9:00 PM,1437,56.0
CGY,MIN,2/17/2016,9:00 PM,421,48.0
EDM,MIN,2/18/2016,8:00 PM,176,23.0
MIN,CHI,2/21/2016,2:30 PM,1094,66.5
MIN,NYI,2/23/2016,7:00 PM,0,52.5
PHI,MIN,2/25/2016,6:00 PM,977,47.0
WSH,MIN,2/26/2016,6:00 PM,126,24.0
MIN,FLA,2/28/2016,2:00 PM,926,44.0
MIN,COL,3/1/2016,7:00 PM,0,53.0
TOR,MIN,3/3/2016,6:30 PM,686,47.5
BUF,MIN,3/5/2016,12:00 PM,59,53.5
MIN,STL,3/6/2016,7:00 PM,724,19.0
MIN,EDM,3/10/2016,7:00 PM,0,96.0
MON,MIN,3/12/2016,6:00 PM,952,47.0
OTT,MIN,3/15/2016,6:30 PM,104,72.5
NJD,MIN,3/17/2016,6:00 PM,333,47.5
MIN,CAR,3/19/2016,1:00 PM,1002,43.0
CHI,MIN,3/20/2016,7:30 PM,347,30.5
MIN,LAK,3/22/2016,7:00 PM,347,47.5
MIN,CGY,3/24/2016,7:00 PM,0,48.0
COL,MIN,3/26/2016,2:00 PM,700,43.0
MIN,CHI,3/29/2016,7:00 PM,700,77.0
MIN,OTT,3/31/2016,7:00 PM,0,48.0
DET,MIN,4/1/2016,6:30 PM,617,23.5
WPG,MIN,4/3/2016,6:00 PM,849,47.5
MIN,SJS,4/5/2016,7:00 PM,390,49.0
MIN,CGY,4/9/2016,6:00 PM,0,95.0
