HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
TOR,MON,10/7/2015,7:00 PM,314,0.0
BOS,MON,10/10/2015,7:00 PM,433,72.0
OTT,MON,10/11/2015,7:00 PM,317,24.0
PIT,MON,10/13/2015,7:00 PM,406,48.0
MON,NYR,10/15/2015,7:30 PM,478,48.5
MON,DET,10/17/2015,7:00 PM,0,47.5
MON,STL,10/20/2015,7:30 PM,0,72.5
BUF,MON,10/23/2015,7:00 PM,319,71.5
MON,TOR,10/24/2015,7:00 PM,319,24.0
VAN,MON,10/27/2015,10:00 PM,2297,75.0
EDM,MON,10/29/2015,9:00 PM,509,47.0
CGY,MON,10/30/2015,9:00 PM,176,24.0
MON,WPG,11/1/2015,7:00 PM,1881,46.0
MON,OTT,11/3/2015,7:30 PM,0,48.5
MON,NYI,11/5/2015,7:30 PM,0,48.0
MON,BOS,11/7/2015,7:00 PM,0,47.5
PIT,MON,11/11/2015,7:30 PM,478,96.5
MON,COL,11/14/2015,7:00 PM,478,71.5
MON,VAN,11/16/2015,7:30 PM,0,48.5
MON,ARI,11/19/2015,7:30 PM,0,72.0
NYI,MON,11/20/2015,7:30 PM,335,24.0
MON,NYI,11/22/2015,7:00 PM,335,47.5
NYR,MON,11/25/2015,7:00 PM,329,72.0
NJD,MON,11/27/2015,7:00 PM,11,48.0
MON,NJD,11/28/2015,7:00 PM,333,24.0
MON,CBJ,12/1/2015,7:30 PM,0,72.5
MON,WSH,12/3/2015,7:30 PM,0,48.0
CAR,MON,12/5/2015,7:00 PM,719,47.5
MON,BOS,12/9/2015,7:30 PM,719,96.5
DET,MON,12/10/2015,7:30 PM,522,24.0
MON,OTT,12/12/2015,7:00 PM,522,47.5
MON,SJS,12/15/2015,7:30 PM,0,72.5
MON,LAK,12/17/2015,7:30 PM,0,48.0
DAL,MON,12/19/2015,7:00 PM,1515,47.5
NSH,MON,12/21/2015,8:00 PM,615,49.0
MIN,MON,12/22/2015,8:00 PM,691,24.0
WSH,MON,12/26/2015,7:00 PM,926,95.0
TBL,MON,12/28/2015,7:30 PM,817,48.5
FLA,MON,12/29/2015,7:30 PM,206,24.0
BOS,MON,1/1/2016,1:00 PM,1255,65.5
PHI,MON,1/5/2016,7:00 PM,268,102.0
MON,NJD,1/6/2016,7:00 PM,389,24.0
MON,PIT,1/9/2016,7:00 PM,0,72.0
MON,CHI,1/14/2016,7:30 PM,0,120.5
STL,MON,1/16/2016,7:00 PM,978,47.5
CHI,MON,1/17/2016,7:00 PM,259,24.0
MON,BOS,1/19/2016,7:30 PM,750,48.5
TOR,MON,1/23/2016,7:00 PM,314,95.5
CBJ,MON,1/25/2016,7:00 PM,314,48.0
MON,CBJ,1/26/2016,7:30 PM,612,24.5
PHI,MON,2/2/2016,7:00 PM,389,167.5
MON,BUF,2/3/2016,7:00 PM,389,24.0
MON,EDM,2/6/2016,2:00 PM,0,67.0
MON,CAR,2/7/2016,2:30 PM,0,24.5
MON,TBL,2/9/2016,7:30 PM,0,53.0
BUF,MON,2/12/2016,7:00 PM,319,71.5
ARI,MON,2/15/2016,9:00 PM,1910,74.0
COL,MON,2/17/2016,8:00 PM,591,47.0
MON,PHI,2/19/2016,7:30 PM,1633,47.5
MON,NSH,2/22/2016,7:30 PM,0,72.0
WSH,MON,2/24/2016,7:00 PM,490,47.5
MON,TOR,2/27/2016,7:00 PM,490,72.0
SJS,MON,2/29/2016,10:30 PM,2530,51.5
ANH,MON,3/2/2016,10:00 PM,325,47.5
LAK,MON,3/3/2016,10:30 PM,32,24.5
WPG,MON,3/5/2016,7:00 PM,1537,44.5
MON,DAL,3/8/2016,7:30 PM,1136,72.5
MON,BUF,3/10/2016,7:30 PM,0,48.0
MON,MIN,3/12/2016,7:00 PM,0,47.5
MON,FLA,3/15/2016,7:30 PM,0,72.5
BUF,MON,3/16/2016,7:00 PM,319,23.5
OTT,MON,3/19/2016,7:00 PM,234,72.0
MON,CGY,3/20/2016,7:00 PM,104,24.0
MON,ANH,3/22/2016,7:30 PM,0,48.5
DET,MON,3/24/2016,7:30 PM,522,48.0
MON,NYR,3/26/2016,7:00 PM,522,47.5
MON,DET,3/29/2016,7:30 PM,0,72.5
TBL,MON,3/31/2016,7:30 PM,1305,48.0
FLA,MON,4/2/2016,7:00 PM,206,47.5
MON,FLA,4/5/2016,7:30 PM,1410,72.5
CAR,MON,4/7/2016,7:00 PM,719,47.5
MON,TBL,4/9/2016,7:00 PM,719,48.0
