HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
NJD,WPG,10/9/2015,7:00 PM,0,0.0
WSH,NJD,10/10/2015,7:00 PM,197,24.0
NJD,NSH,10/13/2015,7:00 PM,197,72.0
NJD,SJS,10/16/2015,7:00 PM,0,72.0
NYR,NJD,10/18/2015,1:00 PM,11,42.0
NJD,ARI,10/20/2015,7:00 PM,11,54.0
OTT,NJD,10/22/2015,7:30 PM,333,48.5
BUF,NJD,10/24/2015,7:00 PM,234,47.5
NJD,CBJ,10/27/2015,7:00 PM,285,72.0
PHI,NJD,10/29/2015,7:00 PM,71,48.0
NJD,NYI,10/31/2015,1:00 PM,71,42.0
NYI,NJD,11/3/2015,7:00 PM,13,78.0
NJD,CHI,11/6/2015,7:00 PM,13,72.0
NJD,VAN,11/8/2015,5:00 PM,0,46.0
NJD,STL,11/10/2015,7:00 PM,0,50.0
CHI,NJD,11/12/2015,8:30 PM,707,49.5
NJD,PIT,11/14/2015,7:00 PM,707,46.5
CGY,NJD,11/17/2015,9:00 PM,2022,74.0
EDM,NJD,11/20/2015,9:00 PM,176,72.0
VAN,NJD,11/22/2015,10:00 PM,509,49.0
NJD,CBJ,11/25/2015,7:00 PM,2425,69.0
NJD,MON,11/27/2015,7:00 PM,0,48.0
MON,NJD,11/28/2015,7:00 PM,333,24.0
NJD,COL,12/1/2015,7:00 PM,333,72.0
CAR,NJD,12/3/2015,7:00 PM,416,48.0
NJD,PHI,12/4/2015,7:00 PM,416,24.0
NJD,FLA,12/6/2015,7:00 PM,0,48.0
TOR,NJD,12/8/2015,7:30 PM,335,48.5
NJD,DET,12/11/2015,7:00 PM,335,71.5
NYI,NJD,12/13/2015,5:00 PM,13,46.0
BUF,NJD,12/15/2015,7:00 PM,297,50.0
NJD,FLA,12/17/2015,7:00 PM,285,48.0
NJD,ANH,12/19/2015,7:00 PM,0,48.0
BOS,NJD,12/20/2015,5:00 PM,198,22.0
DET,NJD,12/22/2015,7:30 PM,618,50.5
CAR,NJD,12/26/2015,7:00 PM,512,95.5
NJD,CAR,12/29/2015,7:00 PM,416,72.0
OTT,NJD,12/30/2015,7:30 PM,333,24.5
NJD,DAL,1/2/2016,7:00 PM,333,71.5
NJD,DET,1/4/2016,7:00 PM,0,48.0
MON,NJD,1/6/2016,7:00 PM,333,48.0
NJD,BOS,1/8/2016,7:00 PM,333,48.0
MIN,NJD,1/10/2016,8:00 PM,1002,49.0
STL,NJD,1/12/2016,8:00 PM,460,48.0
COL,NJD,1/14/2016,9:00 PM,789,49.0
ARI,NJD,1/16/2016,9:00 PM,591,48.0
NJD,CGY,1/19/2016,7:00 PM,2139,70.0
NJD,OTT,1/21/2016,7:00 PM,0,48.0
WPG,NJD,1/23/2016,7:00 PM,1279,48.0
PIT,NJD,1/26/2016,7:00 PM,1059,72.0
NJD,NYR,2/2/2016,7:00 PM,306,168.0
TOR,NJD,2/4/2016,7:30 PM,335,48.5
NJD,WSH,2/6/2016,1:00 PM,335,41.5
NYR,NJD,2/8/2016,7:00 PM,11,54.0
NJD,EDM,2/9/2016,7:00 PM,11,24.0
PHI,NJD,2/13/2016,1:00 PM,71,90.0
NJD,LAK,2/14/2016,12:30 PM,71,35.5
NJD,PHI,2/16/2016,7:00 PM,0,42.5
NJD,NYI,2/19/2016,7:00 PM,0,72.0
WSH,NJD,2/20/2016,7:00 PM,197,24.0
NJD,NYR,2/23/2016,7:00 PM,197,72.0
CBJ,NJD,2/25/2016,7:00 PM,468,48.0
NJD,TBL,2/26/2016,7:00 PM,468,24.0
NJD,CAR,3/1/2016,7:00 PM,0,96.0
NSH,NJD,3/3/2016,8:00 PM,752,49.0
DAL,NJD,3/4/2016,8:30 PM,615,24.5
NJD,PIT,3/6/2016,5:00 PM,1362,44.5
SJS,NJD,3/10/2016,10:30 PM,2544,101.5
LAK,NJD,3/12/2016,10:30 PM,296,48.0
ANH,NJD,3/14/2016,10:00 PM,32,47.5
NJD,MIN,3/17/2016,7:00 PM,2430,69.0
CBJ,NJD,3/19/2016,7:00 PM,468,48.0
NJD,CBJ,3/20/2016,5:00 PM,468,22.0
PIT,NJD,3/24/2016,7:00 PM,306,98.0
NJD,WSH,3/25/2016,7:00 PM,306,24.0
CAR,NJD,3/27/2016,5:00 PM,416,46.0
NJD,BOS,3/29/2016,7:00 PM,416,50.0
FLA,NJD,3/31/2016,7:30 PM,1087,48.5
TBL,NJD,4/2/2016,7:00 PM,206,47.5
NJD,BUF,4/5/2016,7:00 PM,998,72.0
NJD,TBL,4/7/2016,7:00 PM,0,48.0
NJD,TOR,4/9/2016,7:00 PM,0,48.0
