HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
NSH,CAR,10/8/2015,7:00 PM,0,0.0
NSH,EDM,10/10/2015,6:00 PM,0,47.0
NJD,NSH,10/13/2015,6:00 PM,752,72.0
NYI,NSH,10/15/2015,6:00 PM,13,48.0
OTT,NSH,10/17/2015,6:00 PM,340,48.0
NSH,TBL,10/20/2015,7:00 PM,861,73.0
NSH,ANH,10/22/2015,7:00 PM,0,48.0
NSH,PIT,10/24/2015,7:00 PM,0,48.0
SJS,NSH,10/28/2015,9:30 PM,1935,98.5
LAK,NSH,10/31/2015,3:00 PM,296,65.5
ANH,NSH,11/1/2015,7:00 PM,32,28.0
MIN,NSH,11/5/2015,7:00 PM,1523,96.0
NSH,STL,11/7/2015,7:00 PM,691,48.0
NSH,OTT,11/10/2015,7:00 PM,0,72.0
NSH,TOR,11/12/2015,7:00 PM,0,48.0
NSH,WPG,11/14/2015,6:00 PM,0,47.0
NSH,ANH,11/17/2015,7:00 PM,0,73.0
CBJ,NSH,11/20/2015,6:00 PM,335,71.0
MIN,NSH,11/21/2015,7:00 PM,620,25.0
NYR,NSH,11/23/2015,6:00 PM,1011,47.0
BUF,NSH,11/25/2015,6:00 PM,292,48.0
PHI,NSH,11/27/2015,2:00 PM,278,44.0
NSH,BUF,11/28/2015,7:00 PM,687,29.0
NSH,ARI,12/1/2015,7:00 PM,0,72.0
NSH,FLA,12/3/2015,7:00 PM,0,48.0
DET,NSH,12/5/2015,6:00 PM,472,47.0
BOS,NSH,12/7/2015,6:00 PM,618,48.0
CHI,NSH,12/8/2015,7:30 PM,856,25.5
NSH,CHI,12/10/2015,7:00 PM,394,47.5
NSH,COL,12/12/2015,7:00 PM,0,48.0
NSH,CGY,12/15/2015,7:00 PM,0,72.0
STL,NSH,12/17/2015,7:00 PM,255,48.0
NSH,MIN,12/19/2015,7:00 PM,255,48.0
NSH,MON,12/21/2015,7:00 PM,0,48.0
NSH,DET,12/26/2015,7:00 PM,0,120.0
NSH,NYR,12/28/2015,7:00 PM,0,48.0
STL,NSH,12/29/2015,7:00 PM,255,24.0
DAL,NSH,12/31/2015,7:30 PM,544,48.5
CAR,NSH,1/2/2016,6:00 PM,1056,46.5
NSH,WPG,1/5/2016,7:00 PM,457,73.0
COL,NSH,1/8/2016,8:00 PM,1017,73.0
ARI,NSH,1/9/2016,8:00 PM,591,24.0
CHI,NSH,1/12/2016,7:30 PM,1454,71.5
WPG,NSH,1/14/2016,7:00 PM,719,47.5
NSH,MIN,1/16/2016,7:00 PM,1080,48.0
NSH,CHI,1/19/2016,7:00 PM,0,72.0
WPG,NSH,1/21/2016,7:00 PM,1080,48.0
EDM,NSH,1/23/2016,9:00 PM,746,50.0
VAN,NSH,1/26/2016,9:00 PM,509,72.0
CGY,NSH,1/27/2016,8:30 PM,421,23.5
NSH,STL,2/2/2016,7:00 PM,1694,142.5
NSH,PHI,2/4/2016,7:00 PM,0,48.0
NSH,SJS,2/6/2016,7:00 PM,0,48.0
NSH,WSH,2/9/2016,7:00 PM,0,72.0
TBL,NSH,2/12/2016,6:30 PM,619,71.5
FLA,NSH,2/13/2016,6:00 PM,206,23.5
NSH,DAL,2/15/2016,7:00 PM,815,49.0
NSH,BOS,2/18/2016,7:00 PM,0,72.0
NSH,LAK,2/20/2016,7:00 PM,0,48.0
MON,NSH,2/22/2016,6:30 PM,944,47.5
TOR,NSH,2/23/2016,6:30 PM,314,24.0
CHI,NSH,2/25/2016,7:30 PM,440,49.0
NSH,STL,2/27/2016,2:00 PM,394,42.5
NSH,DAL,3/1/2016,7:00 PM,0,77.0
NSH,NJD,3/3/2016,7:00 PM,0,48.0
COL,NSH,3/5/2016,2:00 PM,1017,43.0
WPG,NSH,3/8/2016,7:00 PM,934,77.0
CGY,NSH,3/9/2016,8:30 PM,748,25.5
VAN,NSH,3/12/2016,9:00 PM,421,72.5
EDM,NSH,3/14/2016,8:00 PM,509,47.0
NSH,NYI,3/17/2016,7:00 PM,1761,71.0
WSH,NSH,3/18/2016,6:00 PM,568,23.0
NSH,LAK,3/21/2016,7:00 PM,568,73.0
NSH,VAN,3/24/2016,7:00 PM,0,72.0
NSH,CBJ,3/26/2016,7:00 PM,0,48.0
NSH,COL,3/28/2016,7:00 PM,0,48.0
DAL,NSH,3/29/2016,7:30 PM,615,24.5
PIT,NSH,3/31/2016,6:00 PM,1069,46.5
NSH,SJS,4/2/2016,7:00 PM,473,49.0
NSH,COL,4/5/2016,7:00 PM,0,72.0
NSH,ARI,4/7/2016,7:00 PM,0,48.0
DAL,NSH,4/9/2016,7:00 PM,615,48.0
