HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
NYI,CHI,10/9/2015,7:30 PM,0,0.0
CHI,NYI,10/10/2015,8:30 PM,719,25.0
NYI,WPG,10/12/2015,1:00 PM,719,40.5
NYI,NSH,10/15/2015,7:00 PM,0,78.0
NYI,SJS,10/17/2015,7:30 PM,0,48.5
CBJ,NYI,10/20/2015,7:00 PM,480,71.5
NYI,BOS,10/23/2015,7:30 PM,480,72.5
STL,NYI,10/24/2015,8:00 PM,879,24.5
NYI,CGY,10/26/2015,7:00 PM,879,47.0
NYI,CAR,10/29/2015,7:00 PM,0,72.0
NJD,NYI,10/31/2015,1:00 PM,13,42.0
NYI,BUF,11/1/2015,7:30 PM,13,30.5
NYI,NJD,11/3/2015,7:00 PM,0,47.5
MON,NYI,11/5/2015,7:30 PM,335,48.5
NYI,BOS,11/8/2015,5:00 PM,335,69.5
SJS,NYI,11/10/2015,10:30 PM,2556,53.5
LAK,NYI,11/12/2015,10:30 PM,296,48.0
ANH,NYI,11/13/2015,10:00 PM,32,23.5
NYI,ARI,11/16/2015,7:00 PM,2442,69.0
NYI,MON,11/20/2015,7:30 PM,0,96.5
MON,NYI,11/22/2015,7:00 PM,335,47.5
NYI,PHI,11/25/2015,7:00 PM,335,72.0
FLA,NYI,11/27/2015,7:30 PM,1088,48.5
TBL,NYI,11/28/2015,7:00 PM,206,23.5
NYI,COL,11/30/2015,7:00 PM,1001,48.0
NYI,NYR,12/2/2015,8:00 PM,0,49.0
NYI,STL,12/4/2015,7:30 PM,0,47.5
OTT,NYI,12/5/2015,7:00 PM,340,23.5
PHI,NYI,12/8/2015,7:00 PM,375,72.0
CBJ,NYI,12/12/2015,7:00 PM,417,96.0
NYI,NJD,12/13/2015,5:00 PM,480,22.0
NYI,FLA,12/15/2015,7:00 PM,0,50.0
COL,NYI,12/17/2015,9:00 PM,1629,50.0
ARI,NYI,12/19/2015,9:00 PM,591,48.0
NYI,ANH,12/21/2015,7:00 PM,2151,46.0
NYI,TOR,12/27/2015,6:00 PM,0,143.0
TOR,NYI,12/29/2015,7:00 PM,347,49.0
BUF,NYI,12/31/2015,6:00 PM,59,47.0
PIT,NYI,1/2/2016,7:00 PM,179,49.0
NYI,DAL,1/3/2016,5:00 PM,318,22.0
NYI,WSH,1/7/2016,7:00 PM,0,98.0
PHI,NYI,1/9/2016,1:00 PM,78,42.0
NYI,CBJ,1/12/2016,7:00 PM,78,78.0
NYI,NYR,1/14/2016,7:00 PM,0,48.0
NYI,VAN,1/17/2016,4:00 PM,0,69.0
OTT,NYI,1/22/2016,7:30 PM,340,123.5
NYI,PHI,1/23/2016,7:30 PM,340,24.0
NYI,DET,1/25/2016,7:00 PM,0,47.5
NYI,MIN,2/2/2016,7:00 PM,0,192.0
WSH,NYI,2/4/2016,7:00 PM,204,48.0
DET,NYI,2/6/2016,2:00 PM,400,43.0
NYI,EDM,2/7/2016,2:30 PM,489,24.5
CBJ,NYI,2/9/2016,7:00 PM,480,52.5
NYI,LAK,2/11/2016,7:00 PM,480,48.0
CAR,NYI,2/13/2016,7:00 PM,420,48.0
NYI,DET,2/15/2016,1:00 PM,420,42.0
NYI,WSH,2/18/2016,7:00 PM,0,78.0
NJD,NYI,2/19/2016,7:00 PM,13,24.0
MIN,NYI,2/23/2016,8:00 PM,1002,97.0
CGY,NYI,2/25/2016,9:00 PM,1054,49.0
EDM,NYI,2/28/2016,9:30 PM,176,72.5
VAN,NYI,3/1/2016,10:00 PM,509,48.5
WPG,NYI,3/3/2016,8:00 PM,1161,46.0
NYR,NYI,3/6/2016,5:00 PM,1286,69.0
NYI,PIT,3/8/2016,7:00 PM,7,50.0
TOR,NYI,3/9/2016,7:00 PM,347,24.0
BOS,NYI,3/12/2016,1:00 PM,433,66.0
NYI,FLA,3/14/2016,7:00 PM,190,54.0
PIT,NYI,3/15/2016,7:00 PM,318,24.0
NSH,NYI,3/17/2016,8:00 PM,473,49.0
DAL,NYI,3/19/2016,8:00 PM,615,48.0
NYI,PHI,3/21/2016,7:00 PM,1373,47.0
NYI,OTT,3/23/2016,7:00 PM,0,48.0
TBL,NYI,3/25/2016,7:30 PM,1001,48.5
CAR,NYI,3/26/2016,7:00 PM,587,23.5
NYI,CAR,3/29/2016,7:00 PM,420,72.0
NYI,CBJ,3/31/2016,7:00 PM,0,48.0
NYI,PIT,4/2/2016,1:00 PM,0,42.0
NYI,TBL,4/4/2016,7:00 PM,0,54.0
WSH,NYI,4/5/2016,7:00 PM,204,24.0
NYR,NYI,4/7/2016,7:00 PM,207,48.0
NYI,BUF,4/9/2016,7:30 PM,7,48.5
