HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
CHI,NYR,10/7/2015,8:00 PM,717,0.0
CBJ,NYR,10/9/2015,7:00 PM,277,47.0
NYR,CBJ,10/10/2015,7:00 PM,479,24.0
NYR,WPG,10/13/2015,7:00 PM,0,72.0
MON,NYR,10/15/2015,7:30 PM,329,48.5
NYR,NJD,10/18/2015,1:00 PM,329,65.5
NYR,SJS,10/19/2015,7:00 PM,0,30.0
NYR,ARI,10/22/2015,7:00 PM,0,72.0
PHI,NYR,10/24/2015,7:00 PM,81,48.0
NYR,CGY,10/25/2015,7:00 PM,81,24.0
NYR,TOR,10/30/2015,7:00 PM,0,120.0
NYR,WSH,11/3/2015,7:00 PM,0,96.0
COL,NYR,11/6/2015,9:00 PM,1627,74.0
ARI,NYR,11/7/2015,9:00 PM,591,24.0
NYR,CAR,11/10/2015,7:00 PM,2150,70.0
NYR,STL,11/12/2015,7:00 PM,0,48.0
OTT,NYR,11/14/2015,1:00 PM,333,42.0
NYR,TOR,11/15/2015,7:00 PM,333,30.0
TBL,NYR,11/19/2015,7:30 PM,1006,96.5
FLA,NYR,11/21/2015,7:00 PM,206,47.5
NYR,NSH,11/23/2015,7:00 PM,1094,48.0
NYR,MON,11/25/2015,7:00 PM,0,48.0
BOS,NYR,11/27/2015,1:00 PM,187,42.0
NYR,PHI,11/28/2015,1:00 PM,187,24.0
NYR,CAR,11/30/2015,7:00 PM,0,54.0
NYI,NYR,12/2/2015,8:00 PM,7,49.0
NYR,COL,12/3/2015,7:00 PM,7,23.0
NYR,OTT,12/6/2015,7:00 PM,0,72.0
VAN,NYR,12/9/2015,10:00 PM,2433,75.0
EDM,NYR,12/11/2015,9:00 PM,509,47.0
CGY,NYR,12/12/2015,10:00 PM,176,25.0
NYR,EDM,12/15/2015,7:00 PM,2030,69.0
MIN,NYR,12/17/2015,8:00 PM,1011,49.0
WPG,NYR,12/18/2015,8:00 PM,390,24.0
NYR,WSH,12/20/2015,7:00 PM,1286,47.0
NYR,ANH,12/22/2015,7:00 PM,0,48.0
NSH,NYR,12/28/2015,8:00 PM,763,145.0
TBL,NYR,12/30/2015,8:00 PM,619,48.0
FLA,NYR,1/2/2016,7:00 PM,206,71.0
NYR,DAL,1/5/2016,7:00 PM,1094,72.0
NYR,WSH,1/9/2016,1:00 PM,0,90.0
NYR,BOS,1/11/2016,7:00 PM,0,54.0
NYI,NYR,1/14/2016,7:00 PM,7,72.0
PHI,NYR,1/16/2016,1:00 PM,78,42.0
WSH,NYR,1/17/2016,5:00 PM,126,28.0
NYR,VAN,1/19/2016,7:00 PM,207,50.0
CAR,NYR,1/22/2016,7:00 PM,425,72.0
OTT,NYR,1/24/2016,3:00 PM,679,44.0
NYR,BUF,1/25/2016,7:00 PM,333,28.0
NJD,NYR,2/2/2016,7:00 PM,11,192.0
NYR,MIN,2/4/2016,7:00 PM,11,48.0
PHI,NYR,2/6/2016,1:00 PM,81,42.0
NYR,NJD,2/8/2016,7:00 PM,81,54.0
PIT,NYR,2/10/2016,8:00 PM,317,49.0
NYR,LAK,2/12/2016,7:00 PM,317,47.0
NYR,PHI,2/14/2016,7:30 PM,0,48.5
NYR,CHI,2/17/2016,8:00 PM,0,72.5
TOR,NYR,2/18/2016,7:30 PM,342,23.5
NYR,DET,2/21/2016,7:00 PM,342,71.5
NJD,NYR,2/23/2016,7:00 PM,11,48.0
STL,NYR,2/25/2016,8:00 PM,868,49.0
DAL,NYR,2/27/2016,4:00 PM,544,44.0
NYR,CBJ,2/29/2016,7:00 PM,1373,51.0
PIT,NYR,3/3/2016,7:00 PM,317,72.0
WSH,NYR,3/4/2016,7:00 PM,190,24.0
NYR,NYI,3/6/2016,5:00 PM,207,46.0
BUF,NYR,3/8/2016,7:00 PM,292,50.0
DET,NYR,3/12/2016,2:00 PM,219,91.0
NYR,PIT,3/13/2016,12:30 PM,486,34.5
ANH,NYR,3/16/2016,10:30 PM,2440,70.0
LAK,NYR,3/17/2016,10:30 PM,32,24.0
SJS,NYR,3/19/2016,4:00 PM,296,41.5
NYR,FLA,3/21/2016,7:00 PM,2554,51.0
NYR,BOS,3/23/2016,8:00 PM,0,49.0
MON,NYR,3/26/2016,7:00 PM,329,71.0
NYR,PIT,3/27/2016,7:30 PM,329,24.5
CAR,NYR,3/31/2016,7:00 PM,425,95.5
NYR,BUF,4/2/2016,7:00 PM,425,48.0
CBJ,NYR,4/4/2016,7:00 PM,479,48.0
NYR,TBL,4/5/2016,7:00 PM,479,24.0
NYR,NYI,4/7/2016,7:00 PM,0,48.0
NYR,DET,4/9/2016,12:30 PM,0,53.5
