HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
BUF,OTT,10/8/2015,7:00 PM,234,0.0
TOR,OTT,10/10/2015,7:00 PM,59,48.0
OTT,MON,10/11/2015,7:00 PM,219,24.0
CBJ,OTT,10/14/2015,7:00 PM,527,72.0
PIT,OTT,10/15/2015,7:00 PM,162,24.0
OTT,NSH,10/17/2015,7:00 PM,406,48.0
OTT,NJD,10/22/2015,7:30 PM,0,120.5
OTT,ARI,10/24/2015,7:00 PM,0,47.5
OTT,CGY,10/28/2015,7:30 PM,0,96.5
DET,OTT,10/30/2015,7:30 PM,424,48.0
OTT,DET,10/31/2015,7:00 PM,424,23.5
MON,OTT,11/3/2015,7:30 PM,104,72.5
OTT,WPG,11/5/2015,7:30 PM,104,48.0
CAR,OTT,11/7/2015,7:00 PM,679,47.5
NSH,OTT,11/10/2015,8:00 PM,457,73.0
OTT,VAN,11/12/2015,7:30 PM,861,47.5
OTT,NYR,11/14/2015,1:00 PM,0,41.5
OTT,DET,11/16/2015,7:30 PM,0,54.5
OTT,CBJ,11/19/2015,7:30 PM,0,72.0
OTT,PHI,11/21/2015,7:00 PM,0,47.5
DAL,OTT,11/24/2015,8:30 PM,1421,73.5
COL,OTT,11/25/2015,9:30 PM,660,25.0
ARI,OTT,11/28/2015,10:00 PM,591,72.5
OTT,PHI,12/1/2015,7:30 PM,2093,69.5
OTT,CHI,12/3/2015,7:30 PM,0,48.0
OTT,NYI,12/5/2015,7:00 PM,0,47.5
NYR,OTT,12/6/2015,7:00 PM,333,24.0
FLA,OTT,12/8/2015,7:30 PM,1094,48.5
TBL,OTT,12/10/2015,7:30 PM,206,48.0
MON,OTT,12/12/2015,7:00 PM,1305,47.5
OTT,LAK,12/14/2015,7:30 PM,104,48.5
WSH,OTT,12/16/2015,7:00 PM,455,47.5
OTT,SJS,12/18/2015,7:30 PM,455,48.5
TBL,OTT,12/20/2015,5:00 PM,1259,45.5
FLA,OTT,12/22/2015,7:30 PM,206,50.5
OTT,BOS,12/27/2015,5:00 PM,1377,117.5
BOS,OTT,12/29/2015,7:00 PM,317,50.0
OTT,NJD,12/30/2015,7:30 PM,317,24.5
CHI,OTT,1/3/2016,7:00 PM,649,95.5
STL,OTT,1/4/2016,8:00 PM,259,25.0
OTT,FLA,1/7/2016,7:30 PM,880,71.5
OTT,BOS,1/9/2016,7:00 PM,0,47.5
WSH,OTT,1/10/2016,7:00 PM,455,24.0
ANH,OTT,1/13/2016,10:00 PM,2287,75.0
LAK,OTT,1/16/2016,4:00 PM,32,66.0
SJS,OTT,1/18/2016,10:30 PM,296,54.5
NJD,OTT,1/21/2016,7:00 PM,2544,68.5
OTT,NYI,1/22/2016,7:30 PM,333,24.5
OTT,NYR,1/24/2016,3:00 PM,0,43.5
OTT,BUF,1/26/2016,7:30 PM,0,52.5
PIT,OTT,2/2/2016,7:00 PM,406,167.5
OTT,EDM,2/4/2016,7:30 PM,406,48.5
OTT,TOR,2/6/2016,7:00 PM,0,47.5
OTT,TBL,2/8/2016,7:30 PM,0,48.5
DET,OTT,2/10/2016,7:00 PM,424,47.5
OTT,COL,2/11/2016,7:30 PM,424,24.5
CBJ,OTT,2/13/2016,7:00 PM,527,47.5
OTT,BUF,2/16/2016,7:30 PM,527,72.5
OTT,CAR,2/18/2016,7:30 PM,0,48.0
OTT,DET,2/20/2016,7:00 PM,0,47.5
EDM,OTT,2/23/2016,9:00 PM,1769,74.0
VAN,OTT,2/25/2016,10:00 PM,509,49.0
CGY,OTT,2/27/2016,10:00 PM,421,48.0
OTT,STL,3/1/2016,7:30 PM,1791,69.5
OTT,TBL,3/3/2016,7:30 PM,0,48.0
TOR,OTT,3/5/2016,7:00 PM,219,47.5
OTT,DAL,3/6/2016,5:00 PM,219,22.0
CAR,OTT,3/8/2016,7:00 PM,679,50.0
FLA,OTT,3/10/2016,7:30 PM,699,48.5
OTT,TOR,3/12/2016,7:00 PM,1377,47.5
OTT,MIN,3/15/2016,7:30 PM,0,72.5
BUF,OTT,3/18/2016,7:00 PM,234,71.5
OTT,MON,3/19/2016,7:00 PM,234,24.0
OTT,WSH,3/22/2016,7:30 PM,0,72.5
NYI,OTT,3/23/2016,7:00 PM,340,23.5
OTT,ANH,3/26/2016,7:00 PM,340,72.0
WPG,OTT,3/30/2016,7:30 PM,1044,96.5
MIN,OTT,3/31/2016,8:00 PM,390,24.5
PHI,OTT,4/2/2016,1:00 PM,977,41.0
OTT,PIT,4/5/2016,7:30 PM,375,78.5
OTT,FLA,4/7/2016,7:30 PM,0,48.0
BOS,OTT,4/9/2016,12:30 PM,317,53.0
