HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
TBL,PHI,10/8/2015,7:30 PM,930,0.0
FLA,PHI,10/10/2015,7:00 PM,206,47.5
PHI,FLA,10/12/2015,7:00 PM,1024,48.0
PHI,CHI,10/14/2015,8:00 PM,0,49.0
PHI,DAL,10/20/2015,7:00 PM,0,143.0
BOS,PHI,10/21/2015,8:00 PM,268,25.0
PHI,NYR,10/24/2015,7:00 PM,268,71.0
PHI,BUF,10/27/2015,7:00 PM,0,72.0
PHI,NJD,10/29/2015,7:00 PM,0,48.0
BUF,PHI,10/30/2015,7:00 PM,278,24.0
VAN,PHI,11/2/2015,10:00 PM,2141,75.0
EDM,PHI,11/3/2015,9:00 PM,509,23.0
CGY,PHI,11/5/2015,9:00 PM,176,48.0
WPG,PHI,11/7/2015,7:00 PM,748,46.0
PHI,COL,11/10/2015,7:00 PM,1270,72.0
PHI,WSH,11/12/2015,7:00 PM,0,48.0
CAR,PHI,11/14/2015,7:00 PM,346,48.0
PHI,LAK,11/17/2015,7:00 PM,346,72.0
PHI,SJS,11/19/2015,7:00 PM,0,48.0
OTT,PHI,11/21/2015,7:00 PM,375,48.0
PHI,CAR,11/23/2015,7:00 PM,375,48.0
NYI,PHI,11/25/2015,7:00 PM,78,48.0
PHI,NSH,11/27/2015,3:00 PM,78,44.0
NYR,PHI,11/28/2015,1:00 PM,81,22.0
OTT,PHI,12/1/2015,7:30 PM,333,78.5
NJD,PHI,12/4/2015,7:00 PM,333,71.5
PHI,CBJ,12/5/2015,7:30 PM,71,24.5
PHI,NYI,12/8/2015,7:00 PM,0,71.5
STL,PHI,12/10/2015,8:00 PM,814,49.0
DAL,PHI,12/11/2015,8:30 PM,544,24.5
PHI,CAR,12/15/2015,7:00 PM,1300,94.5
PHI,VAN,12/17/2015,7:00 PM,0,48.0
CBJ,PHI,12/19/2015,7:00 PM,417,48.0
PHI,STL,12/21/2015,7:00 PM,417,48.0
ANH,PHI,12/27/2015,8:00 PM,2382,145.0
SJS,PHI,12/30/2015,10:30 PM,325,74.5
LAK,PHI,1/2/2016,4:00 PM,296,65.5
PHI,MON,1/5/2016,7:00 PM,2405,75.0
MIN,PHI,1/7/2016,8:00 PM,977,49.0
PHI,NYI,1/9/2016,1:00 PM,977,41.0
PHI,BOS,1/13/2016,8:00 PM,0,103.0
PHI,NYR,1/16/2016,1:00 PM,0,65.0
DET,PHI,1/17/2016,7:30 PM,446,30.5
PHI,TOR,1/19/2016,7:00 PM,446,47.5
PIT,PHI,1/21/2016,7:00 PM,258,48.0
NYI,PHI,1/23/2016,7:30 PM,318,48.5
PHI,BOS,1/25/2016,7:00 PM,78,47.5
WSH,PHI,1/27/2016,8:00 PM,126,49.0
PHI,MON,2/2/2016,7:00 PM,126,143.0
NSH,PHI,2/4/2016,8:00 PM,687,49.0
PHI,NYR,2/6/2016,1:00 PM,687,41.0
WSH,PHI,2/7/2016,12:00 PM,126,35.0
PHI,ANH,2/9/2016,7:00 PM,126,43.0
PHI,BUF,2/11/2016,7:00 PM,0,48.0
PHI,NJD,2/13/2016,1:00 PM,0,42.0
NYR,PHI,2/14/2016,7:30 PM,81,30.5
NJD,PHI,2/16/2016,7:00 PM,11,47.5
MON,PHI,2/19/2016,7:30 PM,333,72.5
TOR,PHI,2/20/2016,7:00 PM,314,23.5
CAR,PHI,2/23/2016,7:00 PM,541,72.0
PHI,MIN,2/25/2016,7:00 PM,346,48.0
PHI,ARI,2/27/2016,1:00 PM,0,42.0
PHI,CGY,2/29/2016,7:00 PM,0,54.0
PHI,EDM,3/3/2016,7:00 PM,0,72.0
PHI,CBJ,3/5/2016,7:00 PM,0,48.0
PHI,TBL,3/7/2016,7:00 PM,0,48.0
TBL,PHI,3/11/2016,7:30 PM,930,96.5
FLA,PHI,3/12/2016,7:00 PM,206,23.5
PHI,DET,3/15/2016,7:00 PM,1024,72.0
CHI,PHI,3/16/2016,8:00 PM,668,25.0
PHI,PIT,3/19/2016,1:00 PM,668,65.0
NYI,PHI,3/21/2016,7:00 PM,78,54.0
CBJ,PHI,3/22/2016,7:00 PM,480,24.0
COL,PHI,3/24/2016,9:00 PM,1161,50.0
ARI,PHI,3/26/2016,10:00 PM,591,49.0
PHI,WPG,3/28/2016,7:00 PM,2088,45.0
PHI,WSH,3/30/2016,8:00 PM,0,49.0
PHI,OTT,4/2/2016,1:00 PM,0,65.0
PIT,PHI,4/3/2016,3:00 PM,258,26.0
DET,PHI,4/6/2016,8:00 PM,211,77.0
PHI,TOR,4/7/2016,7:00 PM,446,23.0
PHI,PIT,4/9/2016,3:00 PM,0,44.0
