HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
DAL,PIT,10/8/2015,8:30 PM,1069,0.0
ARI,PIT,10/10/2015,10:00 PM,987,49.5
PIT,MON,10/13/2015,7:00 PM,1833,69.0
PIT,OTT,10/15/2015,7:00 PM,0,48.0
PIT,TOR,10/17/2015,7:00 PM,0,48.0
PIT,FLA,10/20/2015,7:00 PM,0,72.0
PIT,DAL,10/22/2015,7:00 PM,0,48.0
NSH,PIT,10/24/2015,8:00 PM,473,49.0
WSH,PIT,10/28/2015,8:00 PM,568,96.0
PIT,BUF,10/29/2015,7:00 PM,190,23.0
TOR,PIT,10/31/2015,7:00 PM,224,48.0
VAN,PIT,11/4/2015,10:00 PM,2094,99.0
EDM,PIT,11/6/2015,9:00 PM,509,47.0
CGY,PIT,11/7/2015,10:00 PM,176,25.0
PIT,MON,11/11/2015,7:30 PM,1783,93.5
PIT,CBJ,11/13/2015,7:00 PM,0,47.5
NJD,PIT,11/14/2015,7:00 PM,306,24.0
PIT,MIN,11/17/2015,7:00 PM,306,72.0
PIT,COL,11/19/2015,7:00 PM,0,48.0
PIT,SJS,11/21/2015,7:00 PM,0,48.0
PIT,STL,11/25/2015,7:00 PM,0,96.0
CBJ,PIT,11/27/2015,7:00 PM,162,48.0
PIT,EDM,11/28/2015,7:00 PM,162,24.0
SJS,PIT,12/1/2015,10:30 PM,2246,75.5
LAK,PIT,12/5/2015,4:00 PM,296,89.5
ANH,PIT,12/6/2015,8:00 PM,32,28.0
COL,PIT,12/9/2015,10:00 PM,828,74.0
PIT,LAK,12/11/2015,7:00 PM,1316,45.0
PIT,WSH,12/14/2015,7:00 PM,0,72.0
BOS,PIT,12/16/2015,8:00 PM,483,49.0
PIT,BOS,12/18/2015,7:00 PM,483,47.0
PIT,CAR,12/19/2015,7:00 PM,0,24.0
PIT,CBJ,12/21/2015,7:00 PM,0,48.0
MIN,PIT,12/26/2015,8:00 PM,736,121.0
WPG,PIT,12/27/2015,8:00 PM,390,24.0
PIT,TOR,12/30/2015,7:00 PM,1059,71.0
DET,PIT,12/31/2015,6:00 PM,211,23.0
PIT,NYI,1/2/2016,7:00 PM,211,49.0
PIT,CHI,1/5/2016,7:00 PM,0,72.0
CHI,PIT,1/6/2016,8:00 PM,413,25.0
MON,PIT,1/9/2016,7:00 PM,750,71.0
CAR,PIT,1/12/2016,7:00 PM,719,72.0
TBL,PIT,1/15/2016,7:30 PM,587,72.5
PIT,CAR,1/17/2016,3:00 PM,871,43.5
STL,PIT,1/18/2016,8:00 PM,562,29.0
PIT,PHI,1/21/2016,7:00 PM,562,71.0
PIT,VAN,1/23/2016,12:30 PM,0,53.5
WSH,PIT,1/24/2016,12:30 PM,190,24.0
PIT,NJD,1/26/2016,7:00 PM,190,42.5
PIT,OTT,2/2/2016,7:00 PM,0,168.0
TBL,PIT,2/5/2016,7:30 PM,871,72.5
FLA,PIT,2/6/2016,7:00 PM,206,23.5
PIT,ANH,2/8/2016,7:00 PM,1011,48.0
PIT,NYR,2/10/2016,8:00 PM,0,49.0
CAR,PIT,2/12/2016,7:00 PM,326,47.0
FLA,PIT,2/15/2016,7:30 PM,699,72.5
PIT,DET,2/18/2016,7:00 PM,1011,71.5
PIT,TBL,2/20/2016,12:30 PM,0,53.5
BUF,PIT,2/21/2016,12:30 PM,179,24.0
BOS,PIT,2/24/2016,8:00 PM,401,67.5
PIT,WPG,2/27/2016,3:00 PM,483,67.0
PIT,ARI,2/29/2016,7:00 PM,0,52.0
PIT,NYR,3/3/2016,7:00 PM,0,72.0
PIT,CGY,3/5/2016,3:00 PM,0,44.0
NJD,PIT,3/6/2016,5:00 PM,306,26.0
NYI,PIT,3/8/2016,7:00 PM,13,50.0
CBJ,PIT,3/11/2016,7:00 PM,480,72.0
NYR,PIT,3/13/2016,12:30 PM,479,53.5
PIT,NYI,3/15/2016,7:00 PM,317,42.5
PIT,CAR,3/17/2016,7:00 PM,0,48.0
PHI,PIT,3/19/2016,1:00 PM,258,42.0
PIT,WSH,3/20/2016,6:00 PM,258,29.0
PIT,NJD,3/24/2016,7:00 PM,0,97.0
DET,PIT,3/26/2016,2:00 PM,211,43.0
NYR,PIT,3/27/2016,7:30 PM,486,29.5
PIT,BUF,3/29/2016,7:00 PM,317,47.5
PIT,NSH,3/31/2016,7:00 PM,0,48.0
NYI,PIT,4/2/2016,1:00 PM,318,42.0
PIT,PHI,4/3/2016,3:00 PM,318,26.0
OTT,PIT,4/5/2016,7:30 PM,406,52.5
WSH,PIT,4/7/2016,7:00 PM,455,47.5
PHI,PIT,4/9/2016,3:00 PM,126,44.0
