HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
LAK,SJS,10/7/2015,7:30 PM,296,0.0
SJS,ANH,10/10/2015,7:30 PM,296,72.0
WSH,SJS,10/13/2015,4:00 PM,2420,68.5
NJD,SJS,10/16/2015,4:00 PM,197,72.0
NYI,SJS,10/17/2015,4:30 PM,13,24.5
NYR,SJS,10/19/2015,4:00 PM,7,47.5
SJS,LAK,10/22/2015,7:30 PM,2554,75.5
SJS,CAR,10/24/2015,7:30 PM,0,48.0
SJS,NSH,10/28/2015,7:30 PM,0,96.0
DAL,SJS,10/31/2015,12:00 PM,1449,76.5
COL,SJS,11/1/2015,12:00 PM,660,24.0
SJS,CBJ,11/3/2015,7:30 PM,932,43.5
SJS,FLA,11/5/2015,7:30 PM,0,48.0
SJS,ANH,11/7/2015,7:30 PM,0,48.0
SJS,NYI,11/10/2015,7:30 PM,0,72.0
DET,SJS,11/13/2015,4:30 PM,2071,69.0
BUF,SJS,11/14/2015,4:00 PM,219,23.5
BOS,SJS,11/17/2015,4:00 PM,401,72.0
PHI,SJS,11/19/2015,4:00 PM,268,48.0
PIT,SJS,11/21/2015,4:00 PM,258,48.0
CBJ,SJS,11/22/2015,2:00 PM,162,22.0
SJS,CHI,11/25/2015,7:30 PM,2092,77.5
SJS,CGY,11/28/2015,7:00 PM,0,71.5
SJS,PIT,12/1/2015,7:30 PM,0,72.5
ANH,SJS,12/4/2015,7:00 PM,325,71.5
SJS,TBL,12/5/2015,7:30 PM,325,24.5
CGY,SJS,12/8/2015,6:00 PM,1023,70.5
EDM,SJS,12/9/2015,6:30 PM,176,24.5
SJS,MIN,12/12/2015,7:30 PM,1192,73.0
MON,SJS,12/15/2015,4:30 PM,2530,69.0
TOR,SJS,12/17/2015,4:30 PM,314,48.0
OTT,SJS,12/18/2015,4:30 PM,219,24.0
CHI,SJS,12/20/2015,4:00 PM,649,47.5
LAK,SJS,12/22/2015,7:30 PM,1752,51.5
SJS,COL,12/28/2015,7:30 PM,296,144.0
SJS,PHI,12/30/2015,7:30 PM,0,48.0
SJS,WPG,1/2/2016,7:00 PM,0,71.5
SJS,DET,1/7/2016,7:30 PM,0,120.5
SJS,TOR,1/9/2016,4:00 PM,0,44.5
CGY,SJS,1/11/2016,6:00 PM,1023,50.0
WPG,SJS,1/12/2016,5:00 PM,748,23.0
SJS,EDM,1/14/2016,7:30 PM,1500,50.5
SJS,DAL,1/16/2016,7:30 PM,0,48.0
SJS,OTT,1/18/2016,7:30 PM,0,48.0
ARI,SJS,1/21/2016,6:00 PM,602,70.5
SJS,MIN,1/23/2016,1:00 PM,602,43.0
SJS,LAK,1/24/2016,7:00 PM,0,30.0
SJS,COL,1/26/2016,7:30 PM,0,48.5
ANH,SJS,2/2/2016,7:00 PM,325,167.5
STL,SJS,2/4/2016,5:00 PM,1573,46.0
NSH,SJS,2/6/2016,5:00 PM,255,48.0
CHI,SJS,2/9/2016,5:30 PM,394,72.5
SJS,CGY,2/11/2016,7:30 PM,1837,50.0
SJS,ARI,2/13/2016,7:30 PM,0,48.0
TBL,SJS,2/16/2016,4:30 PM,2364,69.0
FLA,SJS,2/18/2016,4:30 PM,206,48.0
CAR,SJS,2/19/2016,4:00 PM,699,23.5
STL,SJS,2/22/2016,5:00 PM,668,73.0
COL,SJS,2/24/2016,7:00 PM,789,50.0
SJS,BUF,2/26/2016,7:30 PM,932,48.5
VAN,SJS,2/28/2016,4:00 PM,830,44.5
SJS,MON,2/29/2016,7:30 PM,830,27.5
VAN,SJS,3/3/2016,7:00 PM,830,71.5
SJS,VAN,3/5/2016,7:00 PM,830,48.0
CGY,SJS,3/7/2016,6:00 PM,1023,47.0
EDM,SJS,3/8/2016,6:00 PM,176,24.0
SJS,NJD,3/10/2016,7:30 PM,1192,49.5
SJS,WSH,3/12/2016,7:30 PM,0,48.0
SJS,BOS,3/15/2016,7:30 PM,0,72.0
ARI,SJS,3/17/2016,7:00 PM,602,47.5
SJS,NYR,3/19/2016,1:00 PM,602,42.0
SJS,ARI,3/20/2016,7:00 PM,0,30.0
SJS,STL,3/22/2016,7:30 PM,0,48.5
SJS,EDM,3/24/2016,7:30 PM,0,48.0
SJS,DAL,3/26/2016,1:00 PM,0,41.5
SJS,LAK,3/28/2016,7:00 PM,0,54.0
VAN,SJS,3/29/2016,7:00 PM,830,24.0
SJS,VAN,3/31/2016,7:30 PM,830,48.5
NSH,SJS,4/2/2016,5:00 PM,1935,45.5
MIN,SJS,4/5/2016,5:00 PM,691,72.0
SJS,WPG,4/7/2016,7:30 PM,1579,50.5
SJS,ARI,4/9/2016,7:30 PM,0,48.0
