HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
STL,EDM,10/8/2015,7:00 PM,0,0.0
MIN,STL,10/10/2015,7:00 PM,460,48.0
CGY,STL,10/13/2015,8:00 PM,1054,73.0
EDM,STL,10/15/2015,8:00 PM,176,48.0
VAN,STL,10/16/2015,9:00 PM,509,25.0
WPG,STL,10/18/2015,2:00 PM,1161,41.0
MON,STL,10/20/2015,6:30 PM,1136,52.5
STL,NYI,10/24/2015,7:00 PM,978,96.5
STL,TBL,10/27/2015,7:00 PM,0,72.0
STL,ANH,10/29/2015,7:00 PM,0,48.0
STL,MIN,10/31/2015,7:00 PM,0,48.0
STL,LAK,11/3/2015,7:00 PM,0,72.0
CHI,STL,11/4/2015,7:00 PM,259,24.0
NSH,STL,11/7/2015,7:00 PM,394,72.0
NJD,STL,11/10/2015,6:00 PM,752,71.0
NYR,STL,11/12/2015,6:00 PM,11,48.0
STL,CHI,11/14/2015,7:00 PM,878,49.0
STL,WPG,11/16/2015,7:00 PM,0,48.0
CBJ,STL,11/17/2015,6:00 PM,400,23.0
STL,BUF,11/19/2015,7:00 PM,400,49.0
STL,DET,11/21/2015,7:00 PM,0,48.0
BUF,STL,11/23/2015,6:00 PM,335,47.0
PIT,STL,11/25/2015,6:00 PM,179,48.0
STL,CBJ,11/28/2015,7:00 PM,562,73.0
STL,FLA,12/1/2015,7:00 PM,0,72.0
NYI,STL,12/4/2015,6:30 PM,879,71.5
STL,TOR,12/5/2015,6:00 PM,879,23.5
STL,ARI,12/8/2015,7:00 PM,0,73.0
STL,PHI,12/10/2015,7:00 PM,0,48.0
STL,DAL,12/12/2015,7:00 PM,0,48.0
STL,COL,12/13/2015,5:00 PM,0,22.0
WPG,STL,12/15/2015,7:00 PM,848,50.0
STL,NSH,12/17/2015,7:00 PM,848,48.0
STL,CGY,12/19/2015,2:00 PM,0,43.0
PHI,STL,12/21/2015,6:00 PM,814,52.0
BOS,STL,12/22/2015,6:00 PM,268,24.0
STL,DAL,12/26/2015,7:00 PM,1042,97.0
DAL,STL,12/27/2015,5:00 PM,544,22.0
STL,NSH,12/29/2015,7:00 PM,544,50.0
STL,MIN,12/31/2015,7:00 PM,0,48.0
TOR,STL,1/2/2016,6:00 PM,663,47.0
STL,OTT,1/4/2016,7:00 PM,663,49.0
COL,STL,1/6/2016,9:00 PM,789,50.0
ANH,STL,1/8/2016,9:00 PM,828,48.0
LAK,STL,1/9/2016,9:30 PM,32,24.5
STL,NJD,1/12/2016,7:00 PM,1597,69.5
STL,CAR,1/14/2016,7:00 PM,0,48.0
STL,MON,1/16/2016,6:00 PM,0,47.0
STL,PIT,1/18/2016,7:00 PM,0,49.0
DET,STL,1/20/2016,7:00 PM,456,48.0
COL,STL,1/22/2016,8:00 PM,1148,49.0
CHI,STL,1/24/2016,6:00 PM,912,46.0
NSH,STL,2/2/2016,7:00 PM,394,217.0
STL,SJS,2/4/2016,7:00 PM,255,48.0
STL,MIN,2/6/2016,7:00 PM,0,48.0
STL,WPG,2/9/2016,7:00 PM,0,72.0
FLA,STL,2/12/2016,6:30 PM,1062,71.5
TBL,STL,2/14/2016,5:00 PM,206,46.5
STL,DAL,2/16/2016,7:00 PM,861,50.0
STL,LAK,2/18/2016,7:00 PM,0,48.0
ARI,STL,2/20/2016,8:00 PM,1274,49.0
STL,SJS,2/22/2016,7:00 PM,1274,47.0
STL,NYR,2/25/2016,7:00 PM,0,72.0
NSH,STL,2/27/2016,2:00 PM,255,43.0
CAR,STL,2/28/2016,2:00 PM,457,24.0
OTT,STL,3/1/2016,6:30 PM,679,52.5
MIN,STL,3/6/2016,7:00 PM,848,120.5
STL,CHI,3/9/2016,7:00 PM,460,72.0
STL,ANH,3/11/2016,7:00 PM,0,48.0
DAL,STL,3/12/2016,8:00 PM,544,25.0
CGY,STL,3/14/2016,8:00 PM,1535,48.0
EDM,STL,3/16/2016,8:30 PM,176,48.5
VAN,STL,3/19/2016,9:00 PM,509,72.5
SJS,STL,3/22/2016,9:30 PM,830,72.5
STL,VAN,3/25/2016,7:00 PM,1718,69.5
WSH,STL,3/26/2016,6:00 PM,714,23.0
STL,COL,3/29/2016,7:00 PM,714,73.0
STL,BOS,4/1/2016,7:00 PM,0,72.0
COL,STL,4/3/2016,7:00 PM,789,48.0
STL,ARI,4/4/2016,7:00 PM,789,24.0
CHI,STL,4/7/2016,7:30 PM,259,72.5
STL,WSH,4/9/2016,7:00 PM,259,47.5
