HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
TBL,PHI,10/8/2015,7:30 PM,0,0.0
BUF,TBL,10/10/2015,1:00 PM,1049,41.5
BOS,TBL,10/12/2015,1:00 PM,401,48.0
DET,TBL,10/13/2015,7:30 PM,618,30.5
TBL,DAL,10/15/2015,7:30 PM,994,48.0
TBL,BUF,10/17/2015,7:00 PM,0,47.5
NSH,TBL,10/20/2015,8:00 PM,619,73.0
WPG,TBL,10/23/2015,8:00 PM,1080,72.0
CHI,TBL,10/24/2015,8:30 PM,719,24.5
STL,TBL,10/27/2015,8:00 PM,259,71.5
TBL,COL,10/29/2015,7:30 PM,861,47.5
TBL,BOS,10/31/2015,7:00 PM,0,47.5
CAR,TBL,11/1/2015,5:00 PM,587,22.0
DET,TBL,11/3/2015,7:30 PM,512,50.5
BUF,TBL,11/5/2015,7:00 PM,219,47.5
MIN,TBL,11/7/2015,8:00 PM,724,49.0
TBL,BUF,11/10/2015,7:30 PM,1309,71.5
TBL,CGY,11/12/2015,7:30 PM,0,48.0
TBL,FLA,11/14/2015,7:00 PM,0,47.5
FLA,TBL,11/16/2015,7:30 PM,206,48.5
TBL,NYR,11/19/2015,7:30 PM,206,72.0
TBL,ANH,11/21/2015,7:00 PM,0,47.5
TBL,LAK,11/25/2015,7:30 PM,0,96.5
WSH,TBL,11/27/2015,5:00 PM,817,45.5
TBL,NYI,11/28/2015,7:00 PM,817,26.0
ANH,TBL,12/2/2015,10:30 PM,2131,99.5
SJS,TBL,12/5/2015,10:30 PM,325,72.0
LAK,TBL,12/6/2015,10:00 PM,296,23.5
TBL,OTT,12/10/2015,7:30 PM,2161,93.5
TBL,WSH,12/12/2015,7:00 PM,0,47.5
CBJ,TBL,12/14/2015,7:00 PM,829,48.0
TOR,TBL,12/15/2015,7:30 PM,314,24.5
WSH,TBL,12/18/2015,7:00 PM,350,71.5
TBL,OTT,12/20/2015,5:00 PM,817,46.0
TBL,VAN,12/22/2015,7:30 PM,0,50.5
TBL,CBJ,12/26/2015,7:00 PM,0,95.5
TBL,MON,12/28/2015,7:30 PM,0,48.5
TBL,NYR,12/30/2015,8:00 PM,0,48.5
TBL,MIN,1/2/2016,7:00 PM,0,71.0
CGY,TBL,1/5/2016,9:00 PM,2288,74.0
EDM,TBL,1/8/2016,9:00 PM,176,72.0
VAN,TBL,1/9/2016,10:00 PM,509,25.0
COL,TBL,1/12/2016,9:00 PM,1111,71.0
TBL,PIT,1/15/2016,7:30 PM,1516,70.5
TBL,FLA,1/17/2016,5:00 PM,0,45.5
TBL,EDM,1/19/2016,7:30 PM,0,50.5
TBL,CHI,1/21/2016,7:30 PM,0,48.0
FLA,TBL,1/23/2016,7:00 PM,206,47.5
TBL,TOR,1/27/2016,7:00 PM,206,96.0
TBL,DET,2/3/2016,8:00 PM,0,169.0
TBL,PIT,2/5/2016,7:30 PM,0,47.5
OTT,TBL,2/8/2016,7:30 PM,1259,72.0
MON,TBL,2/9/2016,7:30 PM,104,24.0
TBL,NSH,2/12/2016,7:30 PM,1305,72.0
TBL,STL,2/14/2016,6:00 PM,0,46.5
TBL,SJS,2/16/2016,7:30 PM,0,49.5
TBL,WPG,2/18/2016,7:30 PM,0,48.0
PIT,TBL,2/20/2016,12:30 PM,871,53.0
CAR,TBL,2/21/2016,7:00 PM,326,18.5
TBL,ARI,2/23/2016,7:30 PM,587,48.5
NJD,TBL,2/26/2016,7:00 PM,998,71.5
BOS,TBL,2/28/2016,6:30 PM,198,47.5
TOR,TBL,2/29/2016,7:30 PM,433,25.0
OTT,TBL,3/3/2016,7:30 PM,219,72.0
TBL,CAR,3/5/2016,7:00 PM,1259,47.5
PHI,TBL,3/7/2016,7:00 PM,930,48.0
TBL,BOS,3/8/2016,7:30 PM,930,24.5
TBL,PHI,3/11/2016,7:30 PM,0,72.0
CBJ,TBL,3/13/2016,3:00 PM,829,43.5
TOR,TBL,3/15/2016,7:30 PM,314,52.5
DAL,TBL,3/17/2016,8:30 PM,1202,49.0
ARI,TBL,3/19/2016,10:00 PM,987,49.5
TBL,DET,3/22/2016,7:30 PM,1802,69.5
TBL,NYI,3/25/2016,7:30 PM,0,72.0
TBL,FLA,3/26/2016,7:00 PM,0,23.5
TBL,TOR,3/28/2016,7:30 PM,0,48.5
TBL,MON,3/31/2016,7:30 PM,0,72.0
TBL,NJD,4/2/2016,7:00 PM,0,47.5
NYI,TBL,4/4/2016,7:00 PM,1001,48.0
NYR,TBL,4/5/2016,7:00 PM,7,24.0
NJD,TBL,4/7/2016,7:00 PM,11,48.0
MON,TBL,4/9/2016,7:00 PM,333,48.0
