HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
TOR,MON,10/7/2015,7:00 PM,0,0.0
DET,TOR,10/9/2015,7:30 PM,208,48.5
TOR,OTT,10/10/2015,7:00 PM,208,23.5
CBJ,TOR,10/16/2015,7:00 PM,314,144.0
PIT,TOR,10/17/2015,7:00 PM,162,24.0
BUF,TOR,10/21/2015,7:00 PM,179,96.0
MON,TOR,10/24/2015,7:00 PM,319,72.0
TOR,ARI,10/26/2015,7:30 PM,314,48.5
NYR,TOR,10/30/2015,7:00 PM,342,95.5
TOR,PIT,10/31/2015,7:00 PM,342,24.0
TOR,DAL,11/2/2015,7:30 PM,0,48.5
TOR,WPG,11/4/2015,7:00 PM,0,47.5
TOR,DET,11/6/2015,7:00 PM,0,48.0
WSH,TOR,11/7/2015,7:00 PM,350,24.0
DAL,TOR,11/10/2015,8:30 PM,1183,73.5
NSH,TOR,11/12/2015,8:00 PM,615,47.5
TOR,VAN,11/14/2015,7:00 PM,648,47.0
NYR,TOR,11/15/2015,7:00 PM,342,24.0
TOR,COL,11/17/2015,7:30 PM,342,48.5
CAR,TOR,11/20/2015,7:00 PM,541,71.5
BOS,TOR,11/21/2015,7:00 PM,607,24.0
TOR,BOS,11/23/2015,7:30 PM,433,48.5
TOR,WSH,11/28/2015,7:00 PM,0,119.5
TOR,EDM,11/30/2015,7:30 PM,0,48.5
WPG,TOR,12/2/2015,7:30 PM,945,48.0
MIN,TOR,12/3/2015,8:00 PM,390,24.5
STL,TOR,12/5/2015,7:00 PM,460,47.0
TOR,NJD,12/8/2015,7:30 PM,663,72.5
TOR,TBL,12/15/2015,7:30 PM,0,168.0
TOR,SJS,12/17/2015,7:30 PM,0,48.0
TOR,LAK,12/19/2015,7:00 PM,0,47.5
COL,TOR,12/21/2015,9:00 PM,1340,50.0
ARI,TOR,12/22/2015,9:00 PM,591,24.0
NYI,TOR,12/27/2015,6:00 PM,2151,117.0
TOR,NYI,12/29/2015,7:00 PM,347,49.0
PIT,TOR,12/30/2015,7:00 PM,224,24.0
TOR,STL,1/2/2016,7:00 PM,224,72.0
ANH,TOR,1/6/2016,10:00 PM,2166,99.0
LAK,TOR,1/7/2016,10:30 PM,32,24.5
SJS,TOR,1/9/2016,7:00 PM,296,44.5
TOR,CBJ,1/13/2016,7:00 PM,2253,96.0
TOR,CHI,1/15/2016,7:00 PM,0,48.0
BOS,TOR,1/16/2016,7:00 PM,433,24.0
PHI,TOR,1/19/2016,7:00 PM,268,72.0
TOR,CAR,1/21/2016,7:30 PM,333,48.5
TOR,MON,1/23/2016,7:00 PM,0,47.5
FLA,TOR,1/26/2016,7:30 PM,1233,72.5
TBL,TOR,1/27/2016,7:00 PM,206,23.5
BOS,TOR,2/2/2016,7:00 PM,1181,144.0
TOR,NJD,2/4/2016,7:30 PM,433,48.5
OTT,TOR,2/6/2016,7:00 PM,219,47.5
CGY,TOR,2/9/2016,9:00 PM,1791,74.0
EDM,TOR,2/11/2016,9:00 PM,176,48.0
VAN,TOR,2/13/2016,7:00 PM,509,46.0
CHI,TOR,2/15/2016,8:30 PM,1776,49.5
TOR,NYR,2/18/2016,7:30 PM,440,71.0
TOR,PHI,2/20/2016,7:00 PM,0,47.5
TOR,NSH,2/23/2016,7:30 PM,0,72.5
TOR,CAR,2/25/2016,7:30 PM,0,48.0
MON,TOR,2/27/2016,7:00 PM,314,47.5
TOR,TBL,2/29/2016,7:30 PM,314,48.5
WSH,TOR,3/2/2016,7:00 PM,350,47.5
TOR,MIN,3/3/2016,7:30 PM,350,24.5
TOR,OTT,3/5/2016,7:00 PM,0,47.5
TOR,BUF,3/7/2016,7:30 PM,0,48.5
TOR,NYI,3/9/2016,7:00 PM,0,47.5
OTT,TOR,3/12/2016,7:00 PM,219,72.0
DET,TOR,3/13/2016,7:30 PM,424,24.5
TOR,TBL,3/15/2016,7:30 PM,208,48.0
TOR,FLA,3/17/2016,7:30 PM,0,48.0
TOR,BUF,3/19/2016,7:00 PM,0,47.5
TOR,CGY,3/21/2016,7:30 PM,0,48.5
TOR,ANH,3/24/2016,7:30 PM,0,72.0
TOR,BOS,3/26/2016,7:00 PM,0,47.5
TBL,TOR,3/28/2016,7:30 PM,1095,48.5
FLA,TOR,3/29/2016,7:30 PM,206,24.0
BUF,TOR,3/31/2016,7:00 PM,1182,47.5
TOR,DET,4/2/2016,7:00 PM,59,48.0
TOR,FLA,4/4/2016,7:30 PM,0,48.5
TOR,CBJ,4/6/2016,7:00 PM,0,47.5
PHI,TOR,4/7/2016,7:00 PM,333,24.0
NJD,TOR,4/9/2016,7:00 PM,71,48.0
