HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
CGY,VAN,10/7/2015,7:00 PM,421,0.0
VAN,CGY,10/10/2015,7:00 PM,421,72.0
ANH,VAN,10/12/2015,7:00 PM,1099,48.0
LAK,VAN,10/13/2015,7:30 PM,32,24.5
VAN,STL,10/16/2015,7:00 PM,1081,71.5
VAN,EDM,10/18/2015,6:00 PM,0,47.0
VAN,WSH,10/22/2015,7:00 PM,0,97.0
VAN,DET,10/24/2015,7:00 PM,0,48.0
VAN,MON,10/27/2015,7:00 PM,0,72.0
DAL,VAN,10/29/2015,5:30 PM,1770,46.5
ARI,VAN,10/30/2015,7:00 PM,987,25.5
VAN,PHI,11/2/2015,7:00 PM,1223,72.0
VAN,PIT,11/4/2015,7:00 PM,0,48.0
BUF,VAN,11/7/2015,10:00 AM,2141,63.0
NJD,VAN,11/8/2015,2:00 PM,285,28.0
CBJ,VAN,11/10/2015,4:00 PM,468,50.0
OTT,VAN,11/12/2015,4:30 PM,527,48.5
TOR,VAN,11/14/2015,4:00 PM,219,47.5
MON,VAN,11/16/2015,4:30 PM,314,48.5
WPG,VAN,11/18/2015,4:30 PM,1136,48.0
VAN,CHI,11/21/2015,7:00 PM,1161,74.5
VAN,NJD,11/22/2015,7:00 PM,0,24.0
MIN,VAN,11/25/2015,4:00 PM,1437,69.0
DAL,VAN,11/27/2015,5:30 PM,861,49.5
ANH,VAN,11/30/2015,7:00 PM,1222,73.5
LAK,VAN,12/1/2015,7:30 PM,32,24.5
VAN,DAL,12/3/2015,7:00 PM,1081,47.5
VAN,BOS,12/5/2015,7:00 PM,0,48.0
VAN,BUF,12/7/2015,7:00 PM,0,48.0
VAN,NYR,12/9/2015,7:00 PM,0,48.0
CHI,VAN,12/13/2015,4:00 PM,1776,93.0
MIN,VAN,12/15/2015,5:00 PM,347,49.0
PHI,VAN,12/17/2015,4:00 PM,977,47.0
DET,VAN,12/18/2015,4:30 PM,446,24.5
FLA,VAN,12/20/2015,1:00 PM,1156,44.5
TBL,VAN,12/22/2015,4:30 PM,206,51.5
VAN,EDM,12/26/2015,7:00 PM,2599,98.5
VAN,LAK,12/28/2015,7:00 PM,0,48.0
VAN,ANH,1/1/2016,7:00 PM,0,96.0
VAN,ARI,1/4/2016,7:00 PM,0,72.0
VAN,CAR,1/6/2016,7:00 PM,0,48.0
VAN,TBL,1/9/2016,7:00 PM,0,72.0
VAN,FLA,1/11/2016,7:00 PM,0,48.0
WSH,VAN,1/14/2016,4:00 PM,2363,69.0
CAR,VAN,1/15/2016,4:00 PM,230,24.0
NYI,VAN,1/17/2016,1:00 PM,420,45.0
NYR,VAN,1/19/2016,4:00 PM,7,51.0
BOS,VAN,1/21/2016,4:00 PM,187,48.0
PIT,VAN,1/23/2016,9:30 AM,483,41.5
VAN,NSH,1/26/2016,7:00 PM,2173,81.5
VAN,CBJ,2/4/2016,7:00 PM,0,216.0
VAN,CGY,2/6/2016,7:00 PM,0,48.0
COL,VAN,2/9/2016,6:00 PM,1111,71.0
ARI,VAN,2/10/2016,6:30 PM,591,24.5
VAN,TOR,2/13/2016,4:00 PM,1223,69.5
VAN,MIN,2/15/2016,7:00 PM,0,51.0
VAN,ANH,2/18/2016,7:00 PM,0,72.0
CGY,VAN,2/19/2016,6:00 PM,421,23.0
VAN,COL,2/21/2016,7:00 PM,421,49.0
VAN,OTT,2/25/2016,7:00 PM,0,96.0
VAN,SJS,2/28/2016,4:00 PM,0,69.0
VAN,NYI,3/1/2016,7:00 PM,0,51.0
VAN,SJS,3/3/2016,7:00 PM,0,48.0
SJS,VAN,3/5/2016,7:00 PM,830,48.0
LAK,VAN,3/7/2016,7:30 PM,296,48.5
VAN,ARI,3/9/2016,7:00 PM,1081,47.5
VAN,NSH,3/12/2016,7:00 PM,0,72.0
VAN,WPG,3/14/2016,7:00 PM,0,48.0
VAN,COL,3/16/2016,7:00 PM,0,48.0
EDM,VAN,3/18/2016,6:00 PM,509,47.0
VAN,STL,3/19/2016,7:00 PM,509,25.0
WPG,VAN,3/22/2016,5:00 PM,1161,70.0
NSH,VAN,3/24/2016,5:00 PM,1080,48.0
STL,VAN,3/25/2016,5:00 PM,255,24.0
VAN,CHI,3/27/2016,5:00 PM,1779,48.0
VAN,SJS,3/29/2016,7:00 PM,0,50.0
SJS,VAN,3/31/2016,7:30 PM,830,48.5
ANH,VAN,4/1/2016,7:00 PM,325,23.5
VAN,LAK,4/4/2016,7:00 PM,1099,72.0
EDM,VAN,4/6/2016,7:00 PM,509,48.0
CGY,VAN,4/7/2016,6:00 PM,176,23.0
VAN,EDM,4/9/2016,7:00 PM,421,49.0
