HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
BOS,WPG,10/8/2015,6:00 PM,1351,0.0
NJD,WPG,10/9/2015,6:00 PM,198,24.0
NYI,WPG,10/12/2015,12:00 PM,13,78.0
NYR,WPG,10/13/2015,6:00 PM,7,18.0
WPG,CGY,10/16/2015,7:00 PM,1286,73.0
WPG,STL,10/18/2015,2:00 PM,0,43.0
WPG,TBL,10/23/2015,7:00 PM,0,125.0
WPG,MIN,10/25/2015,5:00 PM,0,46.0
WPG,LAK,10/27/2015,7:00 PM,0,50.0
WPG,CHI,10/29/2015,7:00 PM,0,48.0
CBJ,WPG,10/31/2015,6:00 PM,927,47.0
MON,WPG,11/1/2015,6:00 PM,612,24.0
TOR,WPG,11/4/2015,6:00 PM,314,72.0
OTT,WPG,11/5/2015,6:30 PM,219,24.5
WPG,PHI,11/7/2015,6:00 PM,1044,47.5
MIN,WPG,11/10/2015,7:00 PM,390,73.0
DAL,WPG,11/12/2015,7:30 PM,861,48.5
NSH,WPG,11/14/2015,6:00 PM,615,46.5
STL,WPG,11/16/2015,7:00 PM,255,49.0
WPG,VAN,11/18/2015,6:30 PM,848,47.5
WPG,ARI,11/21/2015,6:00 PM,0,71.5
WPG,COL,11/23/2015,7:00 PM,0,49.0
WSH,WPG,11/25/2015,6:00 PM,1246,47.0
MIN,WPG,11/27/2015,3:00 PM,926,45.0
COL,WPG,11/28/2015,9:00 PM,700,30.0
WPG,TOR,12/2/2015,6:30 PM,934,93.5
WPG,WSH,12/5/2015,2:00 PM,0,67.5
CHI,WPG,12/6/2015,4:00 PM,719,26.0
WPG,CBJ,12/10/2015,7:00 PM,719,99.0
CHI,WPG,12/11/2015,7:30 PM,719,24.5
WPG,STL,12/15/2015,7:00 PM,719,95.5
WPG,NYR,12/18/2015,7:00 PM,0,72.0
EDM,WPG,12/21/2015,8:00 PM,746,73.0
CGY,WPG,12/22/2015,8:00 PM,176,24.0
WPG,PIT,12/27/2015,7:00 PM,748,119.0
WPG,DET,12/29/2015,7:00 PM,0,48.0
ARI,WPG,12/31/2015,8:00 PM,1364,49.0
SJS,WPG,1/2/2016,9:00 PM,602,49.0
ANH,WPG,1/3/2016,8:00 PM,325,23.0
NSH,WPG,1/5/2016,7:00 PM,1764,47.0
DAL,WPG,1/7/2016,7:30 PM,615,48.5
WPG,BUF,1/10/2016,2:00 PM,1179,66.5
WPG,SJS,1/12/2016,7:00 PM,0,53.0
WPG,NSH,1/14/2016,7:00 PM,0,48.0
MIN,WPG,1/15/2016,7:00 PM,390,24.0
WPG,COL,1/18/2016,7:00 PM,390,72.0
WPG,NSH,1/21/2016,7:00 PM,0,72.0
WPG,NJD,1/23/2016,6:00 PM,0,47.0
WPG,ARI,1/26/2016,7:00 PM,0,73.0
WPG,DAL,2/2/2016,7:00 PM,0,168.0
WPG,CAR,2/5/2016,7:00 PM,0,72.0
COL,WPG,2/6/2016,9:00 PM,934,26.0
STL,WPG,2/9/2016,7:00 PM,789,70.0
WPG,BOS,2/11/2016,7:00 PM,848,48.0
EDM,WPG,2/13/2016,9:00 PM,746,50.0
CAR,WPG,2/16/2016,6:00 PM,2077,69.0
TBL,WPG,2/18/2016,6:30 PM,587,48.5
FLA,WPG,2/20/2016,6:00 PM,206,47.5
WPG,DAL,2/23/2016,7:00 PM,1894,73.0
DAL,WPG,2/25/2016,7:30 PM,1179,48.5
PIT,WPG,2/27/2016,2:00 PM,1069,42.5
WPG,FLA,3/1/2016,7:00 PM,1059,77.0
WPG,NYI,3/3/2016,7:00 PM,0,48.0
WPG,MON,3/5/2016,6:00 PM,0,47.0
WPG,EDM,3/6/2016,6:00 PM,0,24.0
WPG,NSH,3/8/2016,7:00 PM,0,49.0
DET,WPG,3/10/2016,6:30 PM,849,47.5
WPG,COL,3/12/2016,6:00 PM,849,47.5
VAN,WPG,3/14/2016,9:00 PM,1161,51.0
CGY,WPG,3/16/2016,9:00 PM,421,48.0
WPG,CHI,3/18/2016,7:00 PM,748,46.0
WPG,ANH,3/20/2016,2:00 PM,0,43.0
WPG,VAN,3/22/2016,7:00 PM,0,53.0
WPG,LAK,3/24/2016,7:00 PM,0,48.0
BUF,WPG,3/26/2016,12:00 PM,996,53.0
PHI,WPG,3/28/2016,6:00 PM,278,42.0
WPG,OTT,3/30/2016,6:30 PM,1270,48.5
WPG,CHI,4/1/2016,7:00 PM,0,48.5
WPG,MIN,4/3/2016,6:00 PM,0,47.0
ANH,WPG,4/5/2016,9:00 PM,1529,51.0
SJS,WPG,4/7/2016,9:30 PM,325,48.5
LAK,WPG,4/9/2016,9:00 PM,296,47.5
