HOME,AWAY,DATE,LOCAL TIME,DIST FROM,TIME SINCE
WSH,NJD,10/10/2015,7:00 PM,0,0.0
WSH,SJS,10/13/2015,7:00 PM,0,72.0
WSH,CHI,10/15/2015,7:00 PM,0,48.0
WSH,CAR,10/17/2015,7:00 PM,0,48.0
CGY,WSH,10/20/2015,9:00 PM,1973,74.0
VAN,WSH,10/22/2015,10:00 PM,421,49.0
EDM,WSH,10/23/2015,9:00 PM,509,23.0
WSH,PIT,10/28/2015,8:00 PM,1991,119.0
WSH,CBJ,10/30/2015,7:00 PM,0,47.0
FLA,WSH,10/31/2015,7:00 PM,924,24.0
NYR,WSH,11/3/2015,7:00 PM,1094,72.0
WSH,BOS,11/5/2015,7:00 PM,207,48.0
WSH,TOR,11/7/2015,7:00 PM,0,48.0
DET,WSH,11/10/2015,7:30 PM,400,72.5
PHI,WSH,11/12/2015,7:00 PM,446,47.5
WSH,CGY,11/13/2015,7:00 PM,126,24.0
DET,WSH,11/18/2015,8:00 PM,400,121.0
WSH,DAL,11/19/2015,7:00 PM,400,23.0
WSH,COL,11/21/2015,7:00 PM,0,48.0
WSH,EDM,11/23/2015,7:00 PM,0,48.0
WSH,WPG,11/25/2015,7:00 PM,0,48.0
WSH,TBL,11/27/2015,5:00 PM,0,46.0
TOR,WSH,11/28/2015,7:00 PM,350,26.0
MON,WSH,12/3/2015,7:30 PM,314,120.5
WPG,WSH,12/5/2015,3:00 PM,1136,43.5
WSH,DET,12/8/2015,7:00 PM,1246,76.0
FLA,WSH,12/10/2015,7:30 PM,924,48.5
TBL,WSH,12/12/2015,7:00 PM,206,47.5
PIT,WSH,12/14/2015,7:00 PM,871,48.0
WSH,OTT,12/16/2015,7:00 PM,190,48.0
WSH,TBL,12/18/2015,7:00 PM,0,48.0
NYR,WSH,12/20/2015,7:00 PM,207,48.0
CAR,WSH,12/21/2015,7:00 PM,425,24.0
WSH,MON,12/26/2015,7:00 PM,230,120.0
BUF,WSH,12/28/2015,7:00 PM,292,48.0
WSH,BUF,12/30/2015,7:00 PM,292,48.0
CAR,WSH,12/31/2015,6:00 PM,230,23.0
CBJ,WSH,1/2/2016,7:00 PM,372,49.0
BOS,WSH,1/5/2016,7:00 PM,644,72.0
NYI,WSH,1/7/2016,7:00 PM,190,48.0
NYR,WSH,1/9/2016,1:00 PM,7,42.0
WSH,OTT,1/10/2016,7:00 PM,207,30.0
WSH,VAN,1/14/2016,7:00 PM,0,96.0
BUF,WSH,1/16/2016,7:00 PM,292,48.0
WSH,NYR,1/17/2016,5:00 PM,292,22.0
CBJ,WSH,1/19/2016,7:00 PM,328,50.0
WSH,ANH,1/22/2016,7:00 PM,328,72.0
WSH,PIT,1/24/2016,12:30 PM,0,53.5
WSH,PHI,1/27/2016,8:00 PM,0,67.5
WSH,FLA,2/2/2016,7:00 PM,0,143.0
WSH,NYI,2/4/2016,7:00 PM,0,48.0
NJD,WSH,2/6/2016,1:00 PM,197,42.0
WSH,PHI,2/7/2016,12:00 PM,197,35.0
NSH,WSH,2/9/2016,8:00 PM,568,44.0
MIN,WSH,2/11/2016,8:00 PM,691,48.0
DAL,WSH,2/13/2016,8:00 PM,861,48.0
WSH,LAK,2/16/2016,7:00 PM,1183,71.0
NYI,WSH,2/18/2016,7:00 PM,204,48.0
WSH,NJD,2/20/2016,7:00 PM,204,48.0
WSH,ARI,2/22/2016,7:00 PM,0,48.0
WSH,MON,2/24/2016,7:00 PM,0,48.0
WSH,MIN,2/26/2016,7:00 PM,0,48.0
CHI,WSH,2/28/2016,12:30 PM,598,53.5
WSH,TOR,3/2/2016,7:00 PM,598,66.5
WSH,NYR,3/4/2016,7:00 PM,0,48.0
BOS,WSH,3/5/2016,7:00 PM,394,24.0
ANH,WSH,3/7/2016,10:00 PM,2587,51.0
LAK,WSH,3/9/2016,10:30 PM,32,48.5
SJS,WSH,3/12/2016,10:30 PM,296,72.0
WSH,CAR,3/15/2016,7:00 PM,2420,68.5
WSH,NSH,3/18/2016,7:00 PM,0,72.0
PIT,WSH,3/20/2016,6:00 PM,190,47.0
OTT,WSH,3/22/2016,7:30 PM,406,49.5
NJD,WSH,3/25/2016,7:00 PM,333,71.5
WSH,STL,3/26/2016,7:00 PM,197,24.0
WSH,CBJ,3/28/2016,7:00 PM,0,48.0
PHI,WSH,3/30/2016,8:00 PM,126,49.0
COL,WSH,4/1/2016,9:00 PM,1574,49.0
ARI,WSH,4/2/2016,10:00 PM,591,25.0
WSH,NYI,4/5/2016,7:00 PM,1987,69.0
WSH,PIT,4/7/2016,7:00 PM,0,48.0
STL,WSH,4/9/2016,8:00 PM,714,49.0
