HOME,VISITOR,DATE,TIME (PT)
SJS,ANH,10/10/2015,7:30 PM
ANH,VAN,10/12/2015,7:00 PM
ANH,ARI,10/14/2015,7:30 PM
ANH,COL,10/16/2015,7:00 PM
ANH,MIN,10/18/2015,5:00 PM
NSH,ANH,10/22/2015,5:00 PM
MIN,ANH,10/24/2015,3:00 PM
CHI,ANH,10/26/2015,5:30 PM
DAL,ANH,10/27/2015,5:30 PM
STL,ANH,10/29/2015,5:00 PM
ANH,NSH,11/1/2015,5:00 PM
ANH,FLA,11/4/2015,7:30 PM
ANH,CBJ,11/6/2015,7:00 PM
SJS,ANH,11/7/2015,7:30 PM
ANH,ARI,11/9/2015,7:00 PM
ANH,EDM,11/11/2015,7:00 PM
ANH,NYI,11/13/2015,7:00 PM
CAR,ANH,11/16/2015,4:00 PM
NSH,ANH,11/17/2015,5:00 PM
FLA,ANH,11/19/2015,4:30 PM
TBL,ANH,11/21/2015,4:00 PM
ANH,CGY,11/24/2015,7:00 PM
ARI,ANH,11/25/2015,6:00 PM
ANH,CHI,11/27/2015,1:00 PM
ANH,VAN,11/30/2015,7:00 PM
ANH,TBL,12/2/2015,7:30 PM
ANH,SJS,12/4/2015,7:00 PM
ANH,PIT,12/6/2015,5:00 PM
ANH,CAR,12/11/2015,7:00 PM
BUF,ANH,12/17/2015,4:00 PM
NJD,ANH,12/19/2015,4:00 PM
NYI,ANH,12/21/2015,4:00 PM
NYR,ANH,12/22/2015,4:00 PM
ANH,PHI,12/27/2015,5:00 PM
CGY,ANH,12/29/2015,6:00 PM
EDM,ANH,12/31/2015,6:00 PM
VAN,ANH,1/1/2016,7:00 PM
ANH,WPG,1/3/2016,6:00 PM
ANH,TOR,1/6/2016,7:00 PM
ANH,STL,1/8/2016,7:00 PM
ANH,DET,1/10/2016,5:00 PM
ANH,OTT,1/13/2016,7:00 PM
ANH,DAL,1/15/2016,7:00 PM
ANH,LAK,1/17/2016,6:00 PM
ANH,MIN,1/20/2016,7:30 PM
WSH,ANH,1/22/2016,4:00 PM
DET,ANH,1/23/2016,4:00 PM
BOS,ANH,1/26/2016,4:00 PM
ANH,SJS,2/2/2016,7:00 PM
LAK,ANH,2/4/2016,7:30 PM
ANH,ARI,2/5/2016,7:00 PM
PIT,ANH,2/8/2016,4:00 PM
PHI,ANH,2/9/2016,4:00 PM
CBJ,ANH,2/11/2016,4:00 PM
CHI,ANH,2/13/2016,5:30 PM
CGY,ANH,2/15/2016,3:00 PM
EDM,ANH,2/16/2016,6:00 PM
VAN,ANH,2/18/2016,7:00 PM
ANH,CGY,2/21/2016,4:00 PM
ANH,BUF,2/24/2016,7:30 PM
ANH,EDM,2/26/2016,7:00 PM
ANH,LAK,2/28/2016,6:00 PM
ANH,MON,3/2/2016,7:00 PM
ARI,ANH,3/3/2016,6:00 PM
LAK,ANH,3/5/2016,1:00 PM
ANH,WSH,3/7/2016,7:00 PM
COL,ANH,3/9/2016,7:00 PM
STL,ANH,3/11/2016,5:00 PM
ANH,NJD,3/14/2016,7:00 PM
ANH,NYR,3/16/2016,7:30 PM
ANH,BOS,3/18/2016,7:00 PM
WPG,ANH,3/20/2016,12:00 PM
MON,ANH,3/22/2016,4:30 PM
TOR,ANH,3/24/2016,4:30 PM
OTT,ANH,3/26/2016,4:00 PM
EDM,ANH,3/28/2016,6:00 PM
ANH,CGY,3/30/2016,7:00 PM
ANH,VAN,4/1/2016,7:00 PM
ANH,DAL,4/3/2016,6:00 PM
ANH,WPG,4/5/2016,7:00 PM
LAK,ANH,4/7/2016,7:30 PM
COL,ANH,4/9/2016,2:30 PM
