HOME,VISITOR,DATE,TIME (MT)
LAK,ARI,10/9/2015,7:30 PM
ARI,PIT,10/10/2015,7:00 PM
ANH,ARI,10/14/2015,7:30 PM
ARI,MIN,10/15/2015,7:00 PM
ARI,BOS,10/17/2015,7:00 PM
NJD,ARI,10/20/2015,4:00 PM
NYR,ARI,10/22/2015,4:00 PM
OTT,ARI,10/24/2015,4:00 PM
TOR,ARI,10/26/2015,4:30 PM
BOS,ARI,10/27/2015,4:00 PM
ARI,VAN,10/30/2015,7:00 PM
ARI,COL,11/5/2015,7:00 PM
ARI,NYR,11/7/2015,7:00 PM
ANH,ARI,11/9/2015,8:00 PM
LAK,ARI,11/10/2015,8:30 PM
ARI,EDM,11/12/2015,7:00 PM
CBJ,ARI,11/14/2015,5:00 PM
NYI,ARI,11/16/2015,5:00 PM
MON,ARI,11/19/2015,5:30 PM
WPG,ARI,11/21/2015,5:00 PM
ARI,ANH,11/25/2015,7:00 PM
ARI,CGY,11/27/2015,7:00 PM
ARI,OTT,11/28/2015,8:00 PM
NSH,ARI,12/1/2015,6:00 PM
DET,ARI,12/3/2015,5:30 PM
BUF,ARI,12/4/2015,5:00 PM
CAR,ARI,12/6/2015,3:00 PM
STL,ARI,12/8/2015,6:00 PM
ARI,MIN,12/11/2015,7:00 PM
ARI,CAR,12/12/2015,7:00 PM
ARI,CBJ,12/17/2015,7:00 PM
ARI,NYI,12/19/2015,7:00 PM
ARI,TOR,12/22/2015,7:00 PM
ARI,LAK,12/26/2015,7:00 PM
COL,ARI,12/27/2015,6:00 PM
ARI,CHI,12/29/2015,7:00 PM
ARI,WPG,12/31/2015,7:00 PM
EDM,ARI,1/2/2016,2:00 PM
VAN,ARI,1/4/2016,8:00 PM
CGY,ARI,1/7/2016,7:00 PM
ARI,NSH,1/9/2016,7:00 PM
ARI,EDM,1/12/2016,7:00 PM
ARI,DET,1/14/2016,7:00 PM
ARI,NJD,1/16/2016,7:00 PM
ARI,BUF,1/18/2016,7:00 PM
ARI,SJS,1/21/2016,7:00 PM
ARI,LAK,1/23/2016,7:00 PM
MIN,ARI,1/25/2016,6:30 PM
WPG,ARI,1/26/2016,6:00 PM
ARI,LAK,2/2/2016,7:00 PM
ARI,CHI,2/4/2016,7:00 PM
ANH,ARI,2/5/2016,8:00 PM
ARI,VAN,2/10/2016,7:30 PM
ARI,CGY,2/12/2016,7:00 PM
SJS,ARI,2/13/2016,8:30 PM
ARI,MON,2/15/2016,7:00 PM
ARI,DAL,2/18/2016,7:00 PM
ARI,STL,2/20/2016,7:00 PM
WSH,ARI,2/22/2016,5:00 PM
TBL,ARI,2/23/2016,5:30 PM
FLA,ARI,2/25/2016,5:30 PM
PHI,ARI,2/27/2016,11:00 AM
PIT,ARI,2/29/2016,5:00 PM
ARI,ANH,3/3/2016,7:00 PM
ARI,FLA,3/5/2016,7:00 PM
COL,ARI,3/7/2016,7:00 PM
VAN,ARI,3/9/2016,8:00 PM
CGY,ARI,3/11/2016,7:00 PM
EDM,ARI,3/12/2016,8:00 PM
ARI,SJS,3/17/2016,7:00 PM
ARI,TBL,3/19/2016,7:00 PM
SJS,ARI,3/20/2016,7:00 PM
ARI,EDM,3/22/2016,7:00 PM
ARI,DAL,3/24/2016,7:00 PM
ARI,PHI,3/26/2016,7:00 PM
ARI,CGY,3/28/2016,7:00 PM
DAL,ARI,3/31/2016,5:30 PM
ARI,WSH,4/2/2016,7:00 PM
STL,ARI,4/4/2016,5:00 PM
CHI,ARI,4/5/2016,5:30 PM
NSH,ARI,4/7/2016,5:00 PM
SJS,ARI,4/9/2016,7:30 PM
