HOME,VISITOR,DATE,TIME (ET)
BUF,OTT,10/8/2015,7:00 PM
BUF,TBL,10/10/2015,1:00 PM
BUF,CBJ,10/12/2015,3:00 PM
FLA,BUF,10/15/2015,7:30 PM
TBL,BUF,10/17/2015,7:00 PM
BUF,TOR,10/21/2015,7:00 PM
BUF,MON,10/23/2015,7:00 PM
BUF,NJD,10/24/2015,7:00 PM
PHI,BUF,10/27/2015,7:00 PM
PIT,BUF,10/29/2015,7:00 PM
BUF,PHI,10/30/2015,7:00 PM
NYI,BUF,11/1/2015,7:30 PM
BUF,TBL,11/5/2015,7:00 PM
BUF,VAN,11/7/2015,1:00 PM
TBL,BUF,11/10/2015,7:30 PM
FLA,BUF,11/12/2015,7:30 PM
BUF,SJS,11/14/2015,7:00 PM
BUF,DAL,11/17/2015,7:00 PM
STL,BUF,11/19/2015,8:00 PM
DAL,BUF,11/21/2015,8:00 PM
BUF,STL,11/23/2015,7:00 PM
BUF,NSH,11/25/2015,7:00 PM
BUF,CAR,11/27/2015,7:00 PM
NSH,BUF,11/28/2015,8:00 PM
DET,BUF,12/1/2015,7:30 PM
BUF,ARI,12/4/2015,7:00 PM
EDM,BUF,12/6/2015,8:00 PM
VAN,BUF,12/7/2015,10:00 PM
CGY,BUF,12/10/2015,9:00 PM
BUF,LAK,12/12/2015,7:00 PM
DET,BUF,12/14/2015,7:30 PM
BUF,NJD,12/15/2015,7:00 PM
BUF,ANH,12/17/2015,7:00 PM
BUF,CHI,12/19/2015,1:00 PM
BOS,BUF,12/26/2015,7:00 PM
BUF,WSH,12/28/2015,7:00 PM
WSH,BUF,12/30/2015,7:00 PM
BUF,NYI,12/31/2015,6:00 PM
BUF,DET,1/2/2016,1:00 PM
BUF,FLA,1/5/2016,7:00 PM
CHI,BUF,1/8/2016,8:30 PM
WPG,BUF,1/10/2016,3:00 PM
MIN,BUF,1/12/2016,8:00 PM
BUF,BOS,1/15/2016,7:00 PM
BUF,WSH,1/16/2016,7:00 PM
ARI,BUF,1/18/2016,9:00 PM
COL,BUF,1/20/2016,10:00 PM
BUF,DET,1/22/2016,7:00 PM
NYR,BUF,1/25/2016,7:00 PM
OTT,BUF,1/26/2016,7:30 PM
MON,BUF,2/3/2016,7:00 PM
BUF,BOS,2/4/2016,7:00 PM
BOS,BUF,2/6/2016,7:00 PM
BUF,FLA,2/9/2016,7:00 PM
PHI,BUF,2/11/2016,7:00 PM
BUF,MON,2/12/2016,7:00 PM
BUF,COL,2/14/2016,12:30 PM
OTT,BUF,2/16/2016,7:30 PM
CBJ,BUF,2/19/2016,7:00 PM
BUF,PIT,2/21/2016,12:30 PM
ANH,BUF,2/24/2016,10:30 PM
SJS,BUF,2/26/2016,10:30 PM
LAK,BUF,2/27/2016,11:00 PM
BUF,EDM,3/1/2016,7:00 PM
BUF,CGY,3/3/2016,7:00 PM
BUF,MIN,3/5/2016,1:00 PM
TOR,BUF,3/7/2016,7:30 PM
BUF,NYR,3/8/2016,7:00 PM
MON,BUF,3/10/2016,7:30 PM
BUF,CAR,3/12/2016,1:00 PM
BUF,MON,3/16/2016,7:00 PM
BUF,OTT,3/18/2016,7:00 PM
TOR,BUF,3/19/2016,7:00 PM
CAR,BUF,3/22/2016,7:00 PM
BUF,WPG,3/26/2016,1:00 PM
DET,BUF,3/28/2016,7:30 PM
PIT,BUF,3/29/2016,7:00 PM
BUF,TOR,3/31/2016,7:00 PM
NYR,BUF,4/2/2016,7:00 PM
NJD,BUF,4/5/2016,7:00 PM
BUF,CBJ,4/8/2016,7:00 PM
NYI,BUF,4/9/2016,7:30 PM
