HOME,VISITOR,DATE,TIME (CT)
CHI,NYR,10/7/2015,7:00 PM
NYI,CHI,10/9/2015,6:30 PM
CHI,NYI,10/10/2015,7:30 PM
PHI,CHI,10/14/2015,7:00 PM
WSH,CHI,10/15/2015,6:00 PM
CHI,CBJ,10/17/2015,7:30 PM
CHI,FLA,10/22/2015,7:30 PM
CHI,TBL,10/24/2015,7:30 PM
CHI,ANH,10/26/2015,7:30 PM
WPG,CHI,10/29/2015,7:00 PM
MIN,CHI,10/30/2015,7:00 PM
CHI,LAK,11/2/2015,7:30 PM
CHI,STL,11/4/2015,7:00 PM
NJD,CHI,11/6/2015,6:00 PM
CHI,EDM,11/8/2015,7:00 PM
CHI,NJD,11/12/2015,7:30 PM
STL,CHI,11/14/2015,7:00 PM
CHI,CGY,11/15/2015,7:30 PM
EDM,CHI,11/18/2015,8:30 PM
CGY,CHI,11/20/2015,8:00 PM
VAN,CHI,11/21/2015,9:00 PM
SJS,CHI,11/25/2015,9:30 PM
ANH,CHI,11/27/2015,3:00 PM
LAK,CHI,11/28/2015,9:30 PM
CHI,MIN,12/1/2015,7:30 PM
OTT,CHI,12/3/2015,6:30 PM
CHI,WPG,12/6/2015,4:00 PM
CHI,NSH,12/8/2015,7:30 PM
NSH,CHI,12/10/2015,7:00 PM
CHI,WPG,12/11/2015,7:30 PM
CHI,VAN,12/13/2015,6:00 PM
CHI,COL,12/15/2015,7:30 PM
CHI,EDM,12/17/2015,7:30 PM
BUF,CHI,12/19/2015,12:00 PM
CHI,SJS,12/20/2015,6:00 PM
DAL,CHI,12/22/2015,7:30 PM
CHI,CAR,12/27/2015,6:00 PM
ARI,CHI,12/29/2015,8:00 PM
COL,CHI,12/31/2015,7:00 PM
CHI,OTT,1/3/2016,6:00 PM
PIT,CHI,1/5/2016,6:00 PM
CHI,PIT,1/6/2016,7:00 PM
CHI,BUF,1/8/2016,7:30 PM
CHI,COL,1/10/2016,6:00 PM
CHI,NSH,1/12/2016,7:30 PM
MON,CHI,1/14/2016,6:30 PM
TOR,CHI,1/15/2016,6:00 PM
CHI,MON,1/17/2016,6:00 PM
NSH,CHI,1/19/2016,7:00 PM
TBL,CHI,1/21/2016,6:30 PM
FLA,CHI,1/22/2016,6:30 PM
CHI,STL,1/24/2016,6:00 PM
CAR,CHI,1/26/2016,6:00 PM
COL,CHI,2/2/2016,8:00 PM
ARI,CHI,2/4/2016,8:00 PM
DAL,CHI,2/6/2016,7:00 PM
CHI,SJS,2/9/2016,7:30 PM
CHI,DAL,2/11/2016,7:30 PM
CHI,ANH,2/13/2016,7:30 PM
CHI,TOR,2/15/2016,7:30 PM
NYR,CHI,2/17/2016,7:00 PM
MIN,CHI,2/21/2016,2:30 PM
CHI,NSH,2/25/2016,7:30 PM
CHI,WSH,2/28/2016,11:30 AM
DET,CHI,3/2/2016,7:00 PM
BOS,CHI,3/3/2016,6:00 PM
CHI,DET,3/6/2016,4:00 PM
STL,CHI,3/9/2016,7:00 PM
DAL,CHI,3/11/2016,7:30 PM
CHI,LAK,3/14/2016,7:30 PM
CHI,PHI,3/16/2016,7:00 PM
WPG,CHI,3/18/2016,7:00 PM
CHI,MIN,3/20/2016,7:30 PM
CHI,DAL,3/22/2016,7:30 PM
CGY,CHI,3/26/2016,9:00 PM
VAN,CHI,3/27/2016,7:00 PM
MIN,CHI,3/29/2016,7:00 PM
WPG,CHI,4/1/2016,7:00 PM
CHI,BOS,4/3/2016,11:30 AM
CHI,ARI,4/5/2016,7:30 PM
CHI,STL,4/7/2016,7:30 PM
CBJ,CHI,4/9/2016,6:00 PM
