HOME,VISITOR,DATE,TIME (MT)
COL,MIN,10/8/2015,7:00 PM
COL,DAL,10/10/2015,7:00 PM
COL,BOS,10/14/2015,8:00 PM
ANH,COL,10/16/2015,8:00 PM
LAK,COL,10/18/2015,8:00 PM
COL,CAR,10/21/2015,8:00 PM
COL,CBJ,10/24/2015,7:00 PM
FLA,COL,10/27/2015,5:30 PM
TBL,COL,10/29/2015,5:30 PM
CAR,COL,10/30/2015,5:00 PM
COL,SJS,11/1/2015,1:00 PM
COL,CGY,11/3/2015,7:00 PM
ARI,COL,11/5/2015,7:00 PM
COL,NYR,11/6/2015,7:00 PM
PHI,COL,11/10/2015,5:00 PM
BOS,COL,11/12/2015,5:00 PM
MON,COL,11/14/2015,5:00 PM
TOR,COL,11/17/2015,5:30 PM
PIT,COL,11/19/2015,5:00 PM
WSH,COL,11/21/2015,5:00 PM
WPG,COL,11/23/2015,6:00 PM
COL,OTT,11/25/2015,7:30 PM
COL,WPG,11/28/2015,8:00 PM
NYI,COL,11/30/2015,5:00 PM
NJD,COL,12/1/2015,5:00 PM
NYR,COL,12/3/2015,5:00 PM
MIN,COL,12/5/2015,6:00 PM
COL,MIN,12/7/2015,7:00 PM
COL,PIT,12/9/2015,8:00 PM
NSH,COL,12/12/2015,6:00 PM
STL,COL,12/13/2015,4:00 PM
CHI,COL,12/15/2015,6:30 PM
COL,NYI,12/17/2015,7:00 PM
COL,EDM,12/19/2015,8:00 PM
COL,TOR,12/21/2015,7:00 PM
COL,ARI,12/27/2015,6:00 PM
SJS,COL,12/28/2015,8:30 PM
COL,CHI,12/31/2015,6:00 PM
COL,CGY,1/2/2016,8:00 PM
COL,LAK,1/4/2016,7:00 PM
COL,STL,1/6/2016,8:00 PM
COL,NSH,1/8/2016,7:00 PM
CHI,COL,1/10/2016,5:00 PM
COL,TBL,1/12/2016,7:00 PM
COL,NJD,1/14/2016,7:00 PM
CBJ,COL,1/16/2016,5:00 PM
WPG,COL,1/18/2016,6:00 PM
COL,BUF,1/20/2016,8:00 PM
COL,STL,1/22/2016,7:00 PM
DAL,COL,1/23/2016,6:00 PM
SJS,COL,1/26/2016,8:30 PM
LAK,COL,1/27/2016,8:30 PM
COL,CHI,2/2/2016,7:00 PM
COL,DAL,2/4/2016,7:00 PM
COL,WPG,2/6/2016,8:00 PM
COL,VAN,2/9/2016,7:00 PM
OTT,COL,2/11/2016,5:30 PM
DET,COL,2/12/2016,5:30 PM
BUF,COL,2/14/2016,10:30 AM
COL,MON,2/17/2016,6:00 PM
EDM,COL,2/20/2016,8:00 PM
VAN,COL,2/21/2016,8:00 PM
COL,SJS,2/24/2016,8:00 PM
COL,DET,2/27/2016,6:00 PM
MIN,COL,3/1/2016,6:00 PM
COL,FLA,3/3/2016,7:00 PM
COL,NSH,3/5/2016,1:00 PM
COL,ARI,3/7/2016,7:00 PM
COL,ANH,3/9/2016,8:00 PM
WPG,COL,3/12/2016,5:00 PM
VAN,COL,3/16/2016,8:00 PM
CGY,COL,3/18/2016,7:00 PM
EDM,COL,3/20/2016,7:30 PM
COL,PHI,3/24/2016,7:00 PM
COL,MIN,3/26/2016,1:00 PM
NSH,COL,3/28/2016,6:00 PM
STL,COL,3/29/2016,6:00 PM
COL,WSH,4/1/2016,7:00 PM
COL,STL,4/3/2016,6:00 PM
NSH,COL,4/5/2016,6:00 PM
DAL,COL,4/7/2016,6:30 PM
COL,ANH,4/9/2016,3:30 PM
