HOME,VISITOR,DATE,TIME (CT)
DAL,PIT,10/8/2015,7:30 PM
COL,DAL,10/10/2015,8:00 PM
DAL,EDM,10/13/2015,7:30 PM
TBL,DAL,10/15/2015,6:30 PM
FLA,DAL,10/17/2015,6:00 PM
PHI,DAL,10/20/2015,6:00 PM
PIT,DAL,10/22/2015,6:00 PM
DAL,FLA,10/24/2015,7:00 PM
DAL,ANH,10/27/2015,7:30 PM
DAL,VAN,10/29/2015,7:30 PM
DAL,SJS,10/31/2015,2:00 PM
TOR,DAL,11/2/2015,6:30 PM
BOS,DAL,11/3/2015,6:00 PM
CAR,DAL,11/6/2015,6:00 PM
DET,DAL,11/8/2015,2:00 PM
DAL,TOR,11/10/2015,7:30 PM
DAL,WPG,11/12/2015,7:30 PM
DAL,MIN,11/14/2015,7:00 PM
BUF,DAL,11/17/2015,6:00 PM
WSH,DAL,11/19/2015,6:00 PM
DAL,BUF,11/21/2015,7:00 PM
DAL,OTT,11/24/2015,7:30 PM
DAL,VAN,11/27/2015,7:30 PM
MIN,DAL,11/28/2015,7:00 PM
CGY,DAL,12/1/2015,8:00 PM
VAN,DAL,12/3/2015,9:00 PM
EDM,DAL,12/4/2015,8:00 PM
DAL,CAR,12/8/2015,7:30 PM
DAL,PHI,12/11/2015,7:30 PM
STL,DAL,12/12/2015,7:00 PM
DAL,CBJ,12/15/2015,7:30 PM
DAL,CGY,12/17/2015,7:30 PM
DAL,MON,12/19/2015,6:00 PM
MIN,DAL,12/21/2015,7:00 PM
DAL,CHI,12/22/2015,7:30 PM
STL,DAL,12/26/2015,7:00 PM
DAL,STL,12/27/2015,5:00 PM
CBJ,DAL,12/29/2015,6:00 PM
DAL,NSH,12/31/2015,7:30 PM
NJD,DAL,1/2/2016,6:00 PM
NYI,DAL,1/3/2016,4:00 PM
NYR,DAL,1/5/2016,6:00 PM
DAL,WPG,1/7/2016,7:30 PM
DAL,MIN,1/9/2016,7:00 PM
ANH,DAL,1/15/2016,9:00 PM
SJS,DAL,1/16/2016,9:30 PM
LAK,DAL,1/19/2016,9:30 PM
DAL,EDM,1/21/2016,7:30 PM
DAL,COL,1/23/2016,7:00 PM
DAL,CGY,1/25/2016,7:30 PM
WPG,DAL,2/2/2016,7:00 PM
COL,DAL,2/4/2016,8:00 PM
DAL,CHI,2/6/2016,7:00 PM
MIN,DAL,2/9/2016,7:00 PM
CHI,DAL,2/11/2016,7:30 PM
DAL,WSH,2/13/2016,7:00 PM
NSH,DAL,2/15/2016,7:00 PM
STL,DAL,2/16/2016,7:00 PM
ARI,DAL,2/18/2016,8:00 PM
DAL,BOS,2/20/2016,7:00 PM
WPG,DAL,2/23/2016,7:00 PM
DAL,WPG,2/25/2016,7:30 PM
DAL,NYR,2/27/2016,3:00 PM
DAL,DET,2/29/2016,7:30 PM
NSH,DAL,3/1/2016,7:00 PM
DAL,NJD,3/4/2016,7:30 PM
OTT,DAL,3/6/2016,4:00 PM
MON,DAL,3/8/2016,6:30 PM
DAL,CHI,3/11/2016,7:30 PM
DAL,STL,3/12/2016,8:00 PM
DAL,LAK,3/15/2016,7:30 PM
DAL,TBL,3/17/2016,7:30 PM
DAL,NYI,3/19/2016,7:00 PM
CHI,DAL,3/22/2016,7:30 PM
ARI,DAL,3/24/2016,9:00 PM
SJS,DAL,3/26/2016,3:00 PM
DAL,NSH,3/29/2016,7:30 PM
DAL,ARI,3/31/2016,7:30 PM
LAK,DAL,4/2/2016,3:00 PM
ANH,DAL,4/3/2016,8:00 PM
DAL,COL,4/7/2016,7:30 PM
DAL,NSH,4/9/2016,7:00 PM
