HOME,VISITOR,DATE,TIME (ET)
DET,TOR,10/9/2015,7:30 PM
CAR,DET,10/10/2015,7:00 PM
DET,TBL,10/13/2015,7:30 PM
DET,CAR,10/16/2015,7:30 PM
MON,DET,10/17/2015,7:00 PM
EDM,DET,10/21/2015,9:30 PM
CGY,DET,10/23/2015,9:00 PM
VAN,DET,10/24/2015,10:00 PM
DET,CAR,10/27/2015,7:30 PM
DET,OTT,10/30/2015,7:30 PM
OTT,DET,10/31/2015,7:00 PM
DET,TBL,11/3/2015,7:30 PM
TOR,DET,11/6/2015,7:00 PM
DET,DAL,11/8/2015,3:00 PM
DET,WSH,11/10/2015,7:30 PM
DET,SJS,11/13/2015,7:30 PM
BOS,DET,11/14/2015,7:00 PM
OTT,DET,11/16/2015,7:30 PM
DET,WSH,11/18/2015,8:00 PM
DET,LAK,11/20/2015,7:30 PM
STL,DET,11/21/2015,8:00 PM
DET,BOS,11/25/2015,7:30 PM
DET,EDM,11/27/2015,7:30 PM
DET,FLA,11/29/2015,2:00 PM
DET,BUF,12/1/2015,7:30 PM
DET,ARI,12/3/2015,7:30 PM
DET,NSH,12/5/2015,7:00 PM
WSH,DET,12/8/2015,7:00 PM
DET,MON,12/10/2015,7:30 PM
NJD,DET,12/11/2015,7:00 PM
DET,BUF,12/14/2015,7:30 PM
DET,VAN,12/18/2015,7:30 PM
DET,CGY,12/20/2015,7:00 PM
DET,NJD,12/22/2015,7:30 PM
NSH,DET,12/26/2015,8:00 PM
MIN,DET,12/28/2015,8:00 PM
WPG,DET,12/29/2015,8:00 PM
DET,PIT,12/31/2015,6:00 PM
BUF,DET,1/2/2016,1:00 PM
NJD,DET,1/4/2016,7:00 PM
SJS,DET,1/7/2016,10:30 PM
ANH,DET,1/10/2016,8:00 PM
LAK,DET,1/11/2016,10:30 PM
ARI,DET,1/14/2016,9:00 PM
DET,PHI,1/17/2016,7:30 PM
DET,STL,1/20/2016,8:00 PM
BUF,DET,1/22/2016,7:00 PM
DET,ANH,1/23/2016,7:00 PM
NYI,DET,1/25/2016,7:00 PM
TBL,DET,2/3/2016,8:00 PM
FLA,DET,2/4/2016,7:30 PM
DET,NYI,2/6/2016,2:00 PM
DET,FLA,2/8/2016,7:30 PM
DET,OTT,2/10/2016,7:00 PM
DET,COL,2/12/2016,7:30 PM
DET,BOS,2/14/2016,3:00 PM
NYI,DET,2/15/2016,1:00 PM
PIT,DET,2/18/2016,7:00 PM
OTT,DET,2/20/2016,7:00 PM
NYR,DET,2/21/2016,7:00 PM
DET,CBJ,2/23/2016,7:30 PM
COL,DET,2/27/2016,8:00 PM
DAL,DET,2/29/2016,8:30 PM
DET,CHI,3/2/2016,8:00 PM
CHI,DET,3/6/2016,5:00 PM
CBJ,DET,3/8/2016,7:00 PM
DET,WPG,3/10/2016,7:30 PM
DET,NYR,3/12/2016,2:00 PM
DET,TOR,3/13/2016,7:30 PM
PHI,DET,3/15/2016,7:00 PM
CBJ,DET,3/17/2016,7:00 PM
FLA,DET,3/19/2016,7:00 PM
TBL,DET,3/22/2016,7:30 PM
DET,MON,3/24/2016,7:30 PM
DET,PIT,3/26/2016,2:00 PM
DET,BUF,3/28/2016,7:30 PM
MON,DET,3/29/2016,7:30 PM
DET,MIN,4/1/2016,7:30 PM
TOR,DET,4/2/2016,7:00 PM
DET,PHI,4/6/2016,8:00 PM
BOS,DET,4/7/2016,7:00 PM
NYR,DET,4/9/2016,12:30 PM
