HOME,VISITOR,DATE,TIME (PT)
LAK,SJS,10/7/2015,7:30 PM
LAK,ARI,10/9/2015,7:30 PM
LAK,VAN,10/13/2015,7:30 PM
LAK,MIN,10/16/2015,7:30 PM
LAK,COL,10/18/2015,7:00 PM
SJS,LAK,10/22/2015,7:30 PM
LAK,CAR,10/23/2015,7:30 PM
EDM,LAK,10/25/2015,6:30 PM
WPG,LAK,10/27/2015,5:00 PM
LAK,NSH,10/31/2015,1:00 PM
CHI,LAK,11/2/2015,5:30 PM
STL,LAK,11/3/2015,5:00 PM
LAK,CBJ,11/5/2015,7:30 PM
LAK,FLA,11/7/2015,1:00 PM
LAK,ARI,11/10/2015,7:30 PM
LAK,NYI,11/12/2015,7:30 PM
LAK,EDM,11/14/2015,7:00 PM
PHI,LAK,11/17/2015,4:00 PM
DET,LAK,11/20/2015,4:30 PM
CAR,LAK,11/22/2015,10:00 AM
FLA,LAK,11/23/2015,4:30 PM
TBL,LAK,11/25/2015,4:30 PM
LAK,CHI,11/28/2015,7:30 PM
LAK,VAN,12/1/2015,7:30 PM
LAK,PIT,12/5/2015,1:00 PM
LAK,TBL,12/6/2015,7:00 PM
CBJ,LAK,12/8/2015,4:00 PM
PIT,LAK,12/11/2015,4:00 PM
BUF,LAK,12/12/2015,4:00 PM
OTT,LAK,12/14/2015,4:30 PM
MON,LAK,12/17/2015,4:30 PM
TOR,LAK,12/19/2015,4:00 PM
LAK,SJS,12/22/2015,7:30 PM
ARI,LAK,12/26/2015,6:00 PM
VAN,LAK,12/28/2015,7:00 PM
EDM,LAK,12/29/2015,6:00 PM
CGY,LAK,12/31/2015,6:00 PM
LAK,PHI,1/2/2016,1:00 PM
COL,LAK,1/4/2016,6:00 PM
LAK,TOR,1/7/2016,7:30 PM
LAK,STL,1/9/2016,7:30 PM
LAK,DET,1/11/2016,7:30 PM
LAK,OTT,1/16/2016,1:00 PM
ANH,LAK,1/17/2016,6:00 PM
LAK,DAL,1/19/2016,7:30 PM
LAK,MIN,1/21/2016,7:30 PM
ARI,LAK,1/23/2016,6:00 PM
SJS,LAK,1/24/2016,7:00 PM
LAK,COL,1/27/2016,7:30 PM
ARI,LAK,2/2/2016,6:00 PM
LAK,ANH,2/4/2016,7:30 PM
BOS,LAK,2/9/2016,4:00 PM
NYI,LAK,2/11/2016,4:00 PM
NYR,LAK,2/12/2016,4:00 PM
NJD,LAK,2/14/2016,9:30 AM
WSH,LAK,2/16/2016,4:00 PM
STL,LAK,2/18/2016,5:00 PM
NSH,LAK,2/20/2016,5:00 PM
LAK,CGY,2/23/2016,7:30 PM
LAK,EDM,2/25/2016,7:30 PM
LAK,BUF,2/27/2016,8:00 PM
ANH,LAK,2/28/2016,6:00 PM
LAK,MON,3/3/2016,7:30 PM
LAK,ANH,3/5/2016,1:00 PM
LAK,VAN,3/7/2016,7:30 PM
LAK,WSH,3/9/2016,7:30 PM
LAK,NJD,3/12/2016,7:30 PM
CHI,LAK,3/14/2016,5:30 PM
DAL,LAK,3/15/2016,5:30 PM
LAK,NYR,3/17/2016,7:30 PM
LAK,BOS,3/19/2016,7:30 PM
NSH,LAK,3/21/2016,5:00 PM
MIN,LAK,3/22/2016,5:00 PM
WPG,LAK,3/24/2016,5:00 PM
LAK,EDM,3/26/2016,7:00 PM
SJS,LAK,3/28/2016,7:00 PM
LAK,CGY,3/31/2016,7:30 PM
LAK,DAL,4/2/2016,1:00 PM
VAN,LAK,4/4/2016,7:00 PM
CGY,LAK,4/5/2016,6:00 PM
LAK,ANH,4/7/2016,7:30 PM
LAK,WPG,4/9/2016,7:00 PM
