HOME,VISITOR,DATE,TIME (CT)
COL,MIN,10/8/2015,8:00 PM
MIN,STL,10/10/2015,7:00 PM
ARI,MIN,10/15/2015,9:00 PM
LAK,MIN,10/16/2015,9:30 PM
ANH,MIN,10/18/2015,7:00 PM
MIN,CBJ,10/22/2015,7:00 PM
MIN,ANH,10/24/2015,5:00 PM
WPG,MIN,10/25/2015,5:00 PM
MIN,EDM,10/27/2015,7:00 PM
MIN,CHI,10/30/2015,7:00 PM
STL,MIN,10/31/2015,7:00 PM
MIN,NSH,11/5/2015,7:00 PM
MIN,TBL,11/7/2015,7:00 PM
MIN,WPG,11/10/2015,7:00 PM
CAR,MIN,11/12/2015,6:00 PM
DAL,MIN,11/14/2015,7:00 PM
PIT,MIN,11/17/2015,6:00 PM
BOS,MIN,11/19/2015,6:00 PM
MIN,NSH,11/21/2015,7:00 PM
MIN,VAN,11/25/2015,6:00 PM
MIN,WPG,11/27/2015,3:00 PM
MIN,DAL,11/28/2015,7:00 PM
CHI,MIN,12/1/2015,7:30 PM
MIN,TOR,12/3/2015,7:00 PM
MIN,COL,12/5/2015,7:00 PM
COL,MIN,12/7/2015,8:00 PM
ARI,MIN,12/11/2015,8:00 PM
SJS,MIN,12/12/2015,9:30 PM
MIN,VAN,12/15/2015,7:00 PM
MIN,NYR,12/17/2015,7:00 PM
NSH,MIN,12/19/2015,7:00 PM
MIN,DAL,12/21/2015,7:00 PM
MIN,MON,12/22/2015,7:00 PM
MIN,PIT,12/26/2015,7:00 PM
MIN,DET,12/28/2015,7:00 PM
STL,MIN,12/31/2015,7:00 PM
TBL,MIN,1/2/2016,6:00 PM
FLA,MIN,1/3/2016,5:00 PM
CBJ,MIN,1/5/2016,6:00 PM
MIN,PHI,1/7/2016,7:00 PM
DAL,MIN,1/9/2016,7:00 PM
MIN,NJD,1/10/2016,7:00 PM
MIN,BUF,1/12/2016,7:00 PM
MIN,WPG,1/15/2016,7:00 PM
NSH,MIN,1/16/2016,7:00 PM
ANH,MIN,1/20/2016,9:30 PM
LAK,MIN,1/21/2016,9:30 PM
SJS,MIN,1/23/2016,3:00 PM
MIN,ARI,1/25/2016,7:30 PM
NYI,MIN,2/2/2016,6:00 PM
NYR,MIN,2/4/2016,6:00 PM
STL,MIN,2/6/2016,7:00 PM
MIN,DAL,2/9/2016,7:00 PM
MIN,WSH,2/11/2016,7:00 PM
MIN,BOS,2/13/2016,1:00 PM
VAN,MIN,2/15/2016,9:00 PM
CGY,MIN,2/17/2016,9:00 PM
EDM,MIN,2/18/2016,8:00 PM
MIN,CHI,2/21/2016,2:30 PM
MIN,NYI,2/23/2016,7:00 PM
PHI,MIN,2/25/2016,6:00 PM
WSH,MIN,2/26/2016,6:00 PM
MIN,FLA,2/28/2016,2:00 PM
MIN,COL,3/1/2016,7:00 PM
TOR,MIN,3/3/2016,6:30 PM
BUF,MIN,3/5/2016,12:00 PM
MIN,STL,3/6/2016,7:00 PM
MIN,EDM,3/10/2016,7:00 PM
MON,MIN,3/12/2016,6:00 PM
OTT,MIN,3/15/2016,6:30 PM
NJD,MIN,3/17/2016,6:00 PM
MIN,CAR,3/19/2016,1:00 PM
CHI,MIN,3/20/2016,7:30 PM
MIN,LAK,3/22/2016,7:00 PM
MIN,CGY,3/24/2016,7:00 PM
COL,MIN,3/26/2016,2:00 PM
MIN,CHI,3/29/2016,7:00 PM
MIN,OTT,3/31/2016,7:00 PM
DET,MIN,4/1/2016,6:30 PM
WPG,MIN,4/3/2016,6:00 PM
MIN,SJS,4/5/2016,7:00 PM
MIN,CGY,4/9/2016,6:00 PM
