HOME,VISITOR,DATE,TIME (CT)
NSH,CAR,10/8/2015,7:00 PM
NSH,EDM,10/10/2015,6:00 PM
NJD,NSH,10/13/2015,6:00 PM
NYI,NSH,10/15/2015,6:00 PM
OTT,NSH,10/17/2015,6:00 PM
NSH,TBL,10/20/2015,7:00 PM
NSH,ANH,10/22/2015,7:00 PM
NSH,PIT,10/24/2015,7:00 PM
SJS,NSH,10/28/2015,9:30 PM
LAK,NSH,10/31/2015,3:00 PM
ANH,NSH,11/1/2015,7:00 PM
MIN,NSH,11/5/2015,7:00 PM
NSH,STL,11/7/2015,7:00 PM
NSH,OTT,11/10/2015,7:00 PM
NSH,TOR,11/12/2015,7:00 PM
NSH,WPG,11/14/2015,6:00 PM
NSH,ANH,11/17/2015,7:00 PM
CBJ,NSH,11/20/2015,6:00 PM
MIN,NSH,11/21/2015,7:00 PM
NYR,NSH,11/23/2015,6:00 PM
BUF,NSH,11/25/2015,6:00 PM
PHI,NSH,11/27/2015,2:00 PM
NSH,BUF,11/28/2015,7:00 PM
NSH,ARI,12/1/2015,7:00 PM
NSH,FLA,12/3/2015,7:00 PM
DET,NSH,12/5/2015,6:00 PM
BOS,NSH,12/7/2015,6:00 PM
CHI,NSH,12/8/2015,7:30 PM
NSH,CHI,12/10/2015,7:00 PM
NSH,COL,12/12/2015,7:00 PM
NSH,CGY,12/15/2015,7:00 PM
STL,NSH,12/17/2015,7:00 PM
NSH,MIN,12/19/2015,7:00 PM
NSH,MON,12/21/2015,7:00 PM
NSH,DET,12/26/2015,7:00 PM
NSH,NYR,12/28/2015,7:00 PM
STL,NSH,12/29/2015,7:00 PM
DAL,NSH,12/31/2015,7:30 PM
CAR,NSH,1/2/2016,6:00 PM
NSH,WPG,1/5/2016,7:00 PM
COL,NSH,1/8/2016,8:00 PM
ARI,NSH,1/9/2016,8:00 PM
CHI,NSH,1/12/2016,7:30 PM
WPG,NSH,1/14/2016,7:00 PM
NSH,MIN,1/16/2016,7:00 PM
NSH,CHI,1/19/2016,7:00 PM
WPG,NSH,1/21/2016,7:00 PM
EDM,NSH,1/23/2016,9:00 PM
VAN,NSH,1/26/2016,9:00 PM
CGY,NSH,1/27/2016,8:30 PM
NSH,STL,2/2/2016,7:00 PM
NSH,PHI,2/4/2016,7:00 PM
NSH,SJS,2/6/2016,7:00 PM
NSH,WSH,2/9/2016,7:00 PM
TBL,NSH,2/12/2016,6:30 PM
FLA,NSH,2/13/2016,6:00 PM
NSH,DAL,2/15/2016,7:00 PM
NSH,BOS,2/18/2016,7:00 PM
NSH,LAK,2/20/2016,7:00 PM
MON,NSH,2/22/2016,6:30 PM
TOR,NSH,2/23/2016,6:30 PM
CHI,NSH,2/25/2016,7:30 PM
NSH,STL,2/27/2016,2:00 PM
NSH,DAL,3/1/2016,7:00 PM
NSH,NJD,3/3/2016,7:00 PM
COL,NSH,3/5/2016,2:00 PM
WPG,NSH,3/8/2016,7:00 PM
CGY,NSH,3/9/2016,8:30 PM
VAN,NSH,3/12/2016,9:00 PM
EDM,NSH,3/14/2016,8:00 PM
NSH,NYI,3/17/2016,7:00 PM
WSH,NSH,3/18/2016,6:00 PM
NSH,LAK,3/21/2016,7:00 PM
NSH,VAN,3/24/2016,7:00 PM
NSH,CBJ,3/26/2016,7:00 PM
NSH,COL,3/28/2016,7:00 PM
DAL,NSH,3/29/2016,7:30 PM
PIT,NSH,3/31/2016,6:00 PM
NSH,SJS,4/2/2016,7:00 PM
NSH,COL,4/5/2016,7:00 PM
NSH,ARI,4/7/2016,7:00 PM
DAL,NSH,4/9/2016,7:00 PM
