HOME,VISITOR,DATE,TIME (ET)
TBL,PHI,10/8/2015,7:30 PM
FLA,PHI,10/10/2015,7:00 PM
PHI,FLA,10/12/2015,7:00 PM
PHI,CHI,10/14/2015,8:00 PM
PHI,DAL,10/20/2015,7:00 PM
BOS,PHI,10/21/2015,8:00 PM
PHI,NYR,10/24/2015,7:00 PM
PHI,BUF,10/27/2015,7:00 PM
PHI,NJD,10/29/2015,7:00 PM
BUF,PHI,10/30/2015,7:00 PM
VAN,PHI,11/2/2015,10:00 PM
EDM,PHI,11/3/2015,9:00 PM
CGY,PHI,11/5/2015,9:00 PM
WPG,PHI,11/7/2015,7:00 PM
PHI,COL,11/10/2015,7:00 PM
PHI,WSH,11/12/2015,7:00 PM
CAR,PHI,11/14/2015,7:00 PM
PHI,LAK,11/17/2015,7:00 PM
PHI,SJS,11/19/2015,7:00 PM
OTT,PHI,11/21/2015,7:00 PM
PHI,CAR,11/23/2015,7:00 PM
NYI,PHI,11/25/2015,7:00 PM
PHI,NSH,11/27/2015,3:00 PM
NYR,PHI,11/28/2015,1:00 PM
OTT,PHI,12/1/2015,7:30 PM
NJD,PHI,12/4/2015,7:00 PM
PHI,CBJ,12/5/2015,7:30 PM
PHI,NYI,12/8/2015,7:00 PM
STL,PHI,12/10/2015,8:00 PM
DAL,PHI,12/11/2015,8:30 PM
PHI,CAR,12/15/2015,7:00 PM
PHI,VAN,12/17/2015,7:00 PM
CBJ,PHI,12/19/2015,7:00 PM
PHI,STL,12/21/2015,7:00 PM
ANH,PHI,12/27/2015,8:00 PM
SJS,PHI,12/30/2015,10:30 PM
LAK,PHI,1/2/2016,4:00 PM
PHI,MON,1/5/2016,7:00 PM
MIN,PHI,1/7/2016,8:00 PM
PHI,NYI,1/9/2016,1:00 PM
PHI,BOS,1/13/2016,8:00 PM
PHI,NYR,1/16/2016,1:00 PM
DET,PHI,1/17/2016,7:30 PM
PHI,TOR,1/19/2016,7:00 PM
PIT,PHI,1/21/2016,7:00 PM
NYI,PHI,1/23/2016,7:30 PM
PHI,BOS,1/25/2016,7:00 PM
WSH,PHI,1/27/2016,8:00 PM
PHI,MON,2/2/2016,7:00 PM
NSH,PHI,2/4/2016,8:00 PM
PHI,NYR,2/6/2016,1:00 PM
WSH,PHI,2/7/2016,12:00 PM
PHI,ANH,2/9/2016,7:00 PM
PHI,BUF,2/11/2016,7:00 PM
PHI,NJD,2/13/2016,1:00 PM
NYR,PHI,2/14/2016,7:30 PM
NJD,PHI,2/16/2016,7:00 PM
MON,PHI,2/19/2016,7:30 PM
TOR,PHI,2/20/2016,7:00 PM
CAR,PHI,2/23/2016,7:00 PM
PHI,MIN,2/25/2016,7:00 PM
PHI,ARI,2/27/2016,1:00 PM
PHI,CGY,2/29/2016,7:00 PM
PHI,EDM,3/3/2016,7:00 PM
PHI,CBJ,3/5/2016,7:00 PM
PHI,TBL,3/7/2016,7:00 PM
TBL,PHI,3/11/2016,7:30 PM
FLA,PHI,3/12/2016,7:00 PM
PHI,DET,3/15/2016,7:00 PM
CHI,PHI,3/16/2016,8:00 PM
PHI,PIT,3/19/2016,1:00 PM
NYI,PHI,3/21/2016,7:00 PM
CBJ,PHI,3/22/2016,7:00 PM
COL,PHI,3/24/2016,9:00 PM
ARI,PHI,3/26/2016,10:00 PM
PHI,WPG,3/28/2016,7:00 PM
PHI,WSH,3/30/2016,8:00 PM
PHI,OTT,4/2/2016,1:00 PM
PIT,PHI,4/3/2016,3:00 PM
DET,PHI,4/6/2016,8:00 PM
PHI,TOR,4/7/2016,7:00 PM
PHI,PIT,4/9/2016,3:00 PM
