HOME,VISITOR,DATE,TIME (ET)
DAL,PIT,10/8/2015,8:30 PM
ARI,PIT,10/10/2015,10:00 PM
PIT,MON,10/13/2015,7:00 PM
PIT,OTT,10/15/2015,7:00 PM
PIT,TOR,10/17/2015,7:00 PM
PIT,FLA,10/20/2015,7:00 PM
PIT,DAL,10/22/2015,7:00 PM
NSH,PIT,10/24/2015,8:00 PM
WSH,PIT,10/28/2015,8:00 PM
PIT,BUF,10/29/2015,7:00 PM
TOR,PIT,10/31/2015,7:00 PM
VAN,PIT,11/4/2015,10:00 PM
EDM,PIT,11/6/2015,9:00 PM
CGY,PIT,11/7/2015,10:00 PM
PIT,MON,11/11/2015,7:30 PM
PIT,CBJ,11/13/2015,7:00 PM
NJD,PIT,11/14/2015,7:00 PM
PIT,MIN,11/17/2015,7:00 PM
PIT,COL,11/19/2015,7:00 PM
PIT,SJS,11/21/2015,7:00 PM
PIT,STL,11/25/2015,7:00 PM
CBJ,PIT,11/27/2015,7:00 PM
PIT,EDM,11/28/2015,7:00 PM
SJS,PIT,12/1/2015,10:30 PM
LAK,PIT,12/5/2015,4:00 PM
ANH,PIT,12/6/2015,8:00 PM
COL,PIT,12/9/2015,10:00 PM
PIT,LAK,12/11/2015,7:00 PM
PIT,WSH,12/14/2015,7:00 PM
BOS,PIT,12/16/2015,8:00 PM
PIT,BOS,12/18/2015,7:00 PM
PIT,CAR,12/19/2015,7:00 PM
PIT,CBJ,12/21/2015,7:00 PM
MIN,PIT,12/26/2015,8:00 PM
WPG,PIT,12/27/2015,8:00 PM
PIT,TOR,12/30/2015,7:00 PM
DET,PIT,12/31/2015,6:00 PM
PIT,NYI,1/2/2016,7:00 PM
PIT,CHI,1/5/2016,7:00 PM
CHI,PIT,1/6/2016,8:00 PM
MON,PIT,1/9/2016,7:00 PM
CAR,PIT,1/12/2016,7:00 PM
TBL,PIT,1/15/2016,7:30 PM
PIT,CAR,1/17/2016,3:00 PM
STL,PIT,1/18/2016,8:00 PM
PIT,PHI,1/21/2016,7:00 PM
PIT,VAN,1/23/2016,12:30 PM
WSH,PIT,1/24/2016,12:30 PM
PIT,NJD,1/26/2016,7:00 PM
PIT,OTT,2/2/2016,7:00 PM
TBL,PIT,2/5/2016,7:30 PM
FLA,PIT,2/6/2016,7:00 PM
PIT,ANH,2/8/2016,7:00 PM
PIT,NYR,2/10/2016,8:00 PM
CAR,PIT,2/12/2016,7:00 PM
FLA,PIT,2/15/2016,7:30 PM
PIT,DET,2/18/2016,7:00 PM
PIT,TBL,2/20/2016,12:30 PM
BUF,PIT,2/21/2016,12:30 PM
BOS,PIT,2/24/2016,8:00 PM
PIT,WPG,2/27/2016,3:00 PM
PIT,ARI,2/29/2016,7:00 PM
PIT,NYR,3/3/2016,7:00 PM
PIT,CGY,3/5/2016,3:00 PM
NJD,PIT,3/6/2016,5:00 PM
NYI,PIT,3/8/2016,7:00 PM
CBJ,PIT,3/11/2016,7:00 PM
NYR,PIT,3/13/2016,12:30 PM
PIT,NYI,3/15/2016,7:00 PM
PIT,CAR,3/17/2016,7:00 PM
PHI,PIT,3/19/2016,1:00 PM
PIT,WSH,3/20/2016,6:00 PM
PIT,NJD,3/24/2016,7:00 PM
DET,PIT,3/26/2016,2:00 PM
NYR,PIT,3/27/2016,7:30 PM
PIT,BUF,3/29/2016,7:00 PM
PIT,NSH,3/31/2016,7:00 PM
NYI,PIT,4/2/2016,1:00 PM
PIT,PHI,4/3/2016,3:00 PM
OTT,PIT,4/5/2016,7:30 PM
WSH,PIT,4/7/2016,7:00 PM
PHI,PIT,4/9/2016,3:00 PM
