HOME,VISITOR,DATE,TIME (PT)
LAK,SJS,10/7/2015,7:30 PM
SJS,ANH,10/10/2015,7:30 PM
WSH,SJS,10/13/2015,4:00 PM
NJD,SJS,10/16/2015,4:00 PM
NYI,SJS,10/17/2015,4:30 PM
NYR,SJS,10/19/2015,4:00 PM
SJS,LAK,10/22/2015,7:30 PM
SJS,CAR,10/24/2015,7:30 PM
SJS,NSH,10/28/2015,7:30 PM
DAL,SJS,10/31/2015,12:00 PM
COL,SJS,11/1/2015,12:00 PM
SJS,CBJ,11/3/2015,7:30 PM
SJS,FLA,11/5/2015,7:30 PM
SJS,ANH,11/7/2015,7:30 PM
SJS,NYI,11/10/2015,7:30 PM
DET,SJS,11/13/2015,4:30 PM
BUF,SJS,11/14/2015,4:00 PM
BOS,SJS,11/17/2015,4:00 PM
PHI,SJS,11/19/2015,4:00 PM
PIT,SJS,11/21/2015,4:00 PM
CBJ,SJS,11/22/2015,2:00 PM
SJS,CHI,11/25/2015,7:30 PM
SJS,CGY,11/28/2015,7:00 PM
SJS,PIT,12/1/2015,7:30 PM
ANH,SJS,12/4/2015,7:00 PM
SJS,TBL,12/5/2015,7:30 PM
CGY,SJS,12/8/2015,6:00 PM
EDM,SJS,12/9/2015,6:30 PM
SJS,MIN,12/12/2015,7:30 PM
MON,SJS,12/15/2015,4:30 PM
TOR,SJS,12/17/2015,4:30 PM
OTT,SJS,12/18/2015,4:30 PM
CHI,SJS,12/20/2015,4:00 PM
LAK,SJS,12/22/2015,7:30 PM
SJS,COL,12/28/2015,7:30 PM
SJS,PHI,12/30/2015,7:30 PM
SJS,WPG,1/2/2016,7:00 PM
SJS,DET,1/7/2016,7:30 PM
SJS,TOR,1/9/2016,4:00 PM
CGY,SJS,1/11/2016,6:00 PM
WPG,SJS,1/12/2016,5:00 PM
SJS,EDM,1/14/2016,7:30 PM
SJS,DAL,1/16/2016,7:30 PM
SJS,OTT,1/18/2016,7:30 PM
ARI,SJS,1/21/2016,6:00 PM
SJS,MIN,1/23/2016,1:00 PM
SJS,LAK,1/24/2016,7:00 PM
SJS,COL,1/26/2016,7:30 PM
ANH,SJS,2/2/2016,7:00 PM
STL,SJS,2/4/2016,5:00 PM
NSH,SJS,2/6/2016,5:00 PM
CHI,SJS,2/9/2016,5:30 PM
SJS,CGY,2/11/2016,7:30 PM
SJS,ARI,2/13/2016,7:30 PM
TBL,SJS,2/16/2016,4:30 PM
FLA,SJS,2/18/2016,4:30 PM
CAR,SJS,2/19/2016,4:00 PM
STL,SJS,2/22/2016,5:00 PM
COL,SJS,2/24/2016,7:00 PM
SJS,BUF,2/26/2016,7:30 PM
VAN,SJS,2/28/2016,4:00 PM
SJS,MON,2/29/2016,7:30 PM
VAN,SJS,3/3/2016,7:00 PM
SJS,VAN,3/5/2016,7:00 PM
CGY,SJS,3/7/2016,6:00 PM
EDM,SJS,3/8/2016,6:00 PM
SJS,NJD,3/10/2016,7:30 PM
SJS,WSH,3/12/2016,7:30 PM
SJS,BOS,3/15/2016,7:30 PM
ARI,SJS,3/17/2016,7:00 PM
SJS,NYR,3/19/2016,1:00 PM
SJS,ARI,3/20/2016,7:00 PM
SJS,STL,3/22/2016,7:30 PM
SJS,EDM,3/24/2016,7:30 PM
SJS,DAL,3/26/2016,1:00 PM
SJS,LAK,3/28/2016,7:00 PM
VAN,SJS,3/29/2016,7:00 PM
SJS,VAN,3/31/2016,7:30 PM
NSH,SJS,4/2/2016,5:00 PM
MIN,SJS,4/5/2016,5:00 PM
SJS,WPG,4/7/2016,7:30 PM
SJS,ARI,4/9/2016,7:30 PM
