HOME,VISITOR,DATE,TIME (ET)
TOR,MON,10/7/2015,7:00 PM
DET,TOR,10/9/2015,7:30 PM
TOR,OTT,10/10/2015,7:00 PM
CBJ,TOR,10/16/2015,7:00 PM
PIT,TOR,10/17/2015,7:00 PM
BUF,TOR,10/21/2015,7:00 PM
MON,TOR,10/24/2015,7:00 PM
TOR,ARI,10/26/2015,7:30 PM
NYR,TOR,10/30/2015,7:00 PM
TOR,PIT,10/31/2015,7:00 PM
TOR,DAL,11/2/2015,7:30 PM
TOR,WPG,11/4/2015,7:00 PM
TOR,DET,11/6/2015,7:00 PM
WSH,TOR,11/7/2015,7:00 PM
DAL,TOR,11/10/2015,8:30 PM
NSH,TOR,11/12/2015,8:00 PM
TOR,VAN,11/14/2015,7:00 PM
NYR,TOR,11/15/2015,7:00 PM
TOR,COL,11/17/2015,7:30 PM
CAR,TOR,11/20/2015,7:00 PM
BOS,TOR,11/21/2015,7:00 PM
TOR,BOS,11/23/2015,7:30 PM
TOR,WSH,11/28/2015,7:00 PM
TOR,EDM,11/30/2015,7:30 PM
WPG,TOR,12/2/2015,7:30 PM
MIN,TOR,12/3/2015,8:00 PM
STL,TOR,12/5/2015,7:00 PM
TOR,NJD,12/8/2015,7:30 PM
TOR,TBL,12/15/2015,7:30 PM
TOR,SJS,12/17/2015,7:30 PM
TOR,LAK,12/19/2015,7:00 PM
COL,TOR,12/21/2015,9:00 PM
ARI,TOR,12/22/2015,9:00 PM
NYI,TOR,12/27/2015,6:00 PM
TOR,NYI,12/29/2015,7:00 PM
PIT,TOR,12/30/2015,7:00 PM
TOR,STL,1/2/2016,7:00 PM
ANH,TOR,1/6/2016,10:00 PM
LAK,TOR,1/7/2016,10:30 PM
SJS,TOR,1/9/2016,7:00 PM
TOR,CBJ,1/13/2016,7:00 PM
TOR,CHI,1/15/2016,7:00 PM
BOS,TOR,1/16/2016,7:00 PM
PHI,TOR,1/19/2016,7:00 PM
TOR,CAR,1/21/2016,7:30 PM
TOR,MON,1/23/2016,7:00 PM
FLA,TOR,1/26/2016,7:30 PM
TBL,TOR,1/27/2016,7:00 PM
BOS,TOR,2/2/2016,7:00 PM
TOR,NJD,2/4/2016,7:30 PM
OTT,TOR,2/6/2016,7:00 PM
CGY,TOR,2/9/2016,9:00 PM
EDM,TOR,2/11/2016,9:00 PM
VAN,TOR,2/13/2016,7:00 PM
CHI,TOR,2/15/2016,8:30 PM
TOR,NYR,2/18/2016,7:30 PM
TOR,PHI,2/20/2016,7:00 PM
TOR,NSH,2/23/2016,7:30 PM
TOR,CAR,2/25/2016,7:30 PM
MON,TOR,2/27/2016,7:00 PM
TOR,TBL,2/29/2016,7:30 PM
WSH,TOR,3/2/2016,7:00 PM
TOR,MIN,3/3/2016,7:30 PM
TOR,OTT,3/5/2016,7:00 PM
TOR,BUF,3/7/2016,7:30 PM
TOR,NYI,3/9/2016,7:00 PM
OTT,TOR,3/12/2016,7:00 PM
DET,TOR,3/13/2016,7:30 PM
TOR,TBL,3/15/2016,7:30 PM
TOR,FLA,3/17/2016,7:30 PM
TOR,BUF,3/19/2016,7:00 PM
TOR,CGY,3/21/2016,7:30 PM
TOR,ANH,3/24/2016,7:30 PM
TOR,BOS,3/26/2016,7:00 PM
TBL,TOR,3/28/2016,7:30 PM
FLA,TOR,3/29/2016,7:30 PM
BUF,TOR,3/31/2016,7:00 PM
TOR,DET,4/2/2016,7:00 PM
TOR,FLA,4/4/2016,7:30 PM
TOR,CBJ,4/6/2016,7:00 PM
PHI,TOR,4/7/2016,7:00 PM
NJD,TOR,4/9/2016,7:00 PM
