HOME,VISITOR,DATE,TIME (ET)
WSH,NJD,10/10/2015,7:00 PM
WSH,SJS,10/13/2015,7:00 PM
WSH,CHI,10/15/2015,7:00 PM
WSH,CAR,10/17/2015,7:00 PM
CGY,WSH,10/20/2015,9:00 PM
VAN,WSH,10/22/2015,10:00 PM
EDM,WSH,10/23/2015,9:00 PM
WSH,PIT,10/28/2015,8:00 PM
WSH,CBJ,10/30/2015,7:00 PM
FLA,WSH,10/31/2015,7:00 PM
NYR,WSH,11/3/2015,7:00 PM
WSH,BOS,11/5/2015,7:00 PM
WSH,TOR,11/7/2015,7:00 PM
DET,WSH,11/10/2015,7:30 PM
PHI,WSH,11/12/2015,7:00 PM
WSH,CGY,11/13/2015,7:00 PM
DET,WSH,11/18/2015,8:00 PM
WSH,DAL,11/19/2015,7:00 PM
WSH,COL,11/21/2015,7:00 PM
WSH,EDM,11/23/2015,7:00 PM
WSH,WPG,11/25/2015,7:00 PM
WSH,TBL,11/27/2015,5:00 PM
TOR,WSH,11/28/2015,7:00 PM
MON,WSH,12/3/2015,7:30 PM
WPG,WSH,12/5/2015,3:00 PM
WSH,DET,12/8/2015,7:00 PM
FLA,WSH,12/10/2015,7:30 PM
TBL,WSH,12/12/2015,7:00 PM
PIT,WSH,12/14/2015,7:00 PM
WSH,OTT,12/16/2015,7:00 PM
WSH,TBL,12/18/2015,7:00 PM
NYR,WSH,12/20/2015,7:00 PM
CAR,WSH,12/21/2015,7:00 PM
WSH,MON,12/26/2015,7:00 PM
BUF,WSH,12/28/2015,7:00 PM
WSH,BUF,12/30/2015,7:00 PM
CAR,WSH,12/31/2015,6:00 PM
CBJ,WSH,1/2/2016,7:00 PM
BOS,WSH,1/5/2016,7:00 PM
NYI,WSH,1/7/2016,7:00 PM
NYR,WSH,1/9/2016,1:00 PM
WSH,OTT,1/10/2016,7:00 PM
WSH,VAN,1/14/2016,7:00 PM
BUF,WSH,1/16/2016,7:00 PM
WSH,NYR,1/17/2016,5:00 PM
CBJ,WSH,1/19/2016,7:00 PM
WSH,ANH,1/22/2016,7:00 PM
WSH,PIT,1/24/2016,12:30 PM
WSH,PHI,1/27/2016,8:00 PM
WSH,FLA,2/2/2016,7:00 PM
WSH,NYI,2/4/2016,7:00 PM
NJD,WSH,2/6/2016,1:00 PM
WSH,PHI,2/7/2016,12:00 PM
NSH,WSH,2/9/2016,8:00 PM
MIN,WSH,2/11/2016,8:00 PM
DAL,WSH,2/13/2016,8:00 PM
WSH,LAK,2/16/2016,7:00 PM
NYI,WSH,2/18/2016,7:00 PM
WSH,NJD,2/20/2016,7:00 PM
WSH,ARI,2/22/2016,7:00 PM
WSH,MON,2/24/2016,7:00 PM
WSH,MIN,2/26/2016,7:00 PM
CHI,WSH,2/28/2016,12:30 PM
WSH,TOR,3/2/2016,7:00 PM
WSH,NYR,3/4/2016,7:00 PM
BOS,WSH,3/5/2016,7:00 PM
ANH,WSH,3/7/2016,10:00 PM
LAK,WSH,3/9/2016,10:30 PM
SJS,WSH,3/12/2016,10:30 PM
WSH,CAR,3/15/2016,7:00 PM
WSH,NSH,3/18/2016,7:00 PM
PIT,WSH,3/20/2016,6:00 PM
OTT,WSH,3/22/2016,7:30 PM
NJD,WSH,3/25/2016,7:00 PM
WSH,STL,3/26/2016,7:00 PM
WSH,CBJ,3/28/2016,7:00 PM
PHI,WSH,3/30/2016,8:00 PM
COL,WSH,4/1/2016,9:00 PM
ARI,WSH,4/2/2016,10:00 PM
WSH,NYI,4/5/2016,7:00 PM
WSH,PIT,4/7/2016,7:00 PM
STL,WSH,4/9/2016,8:00 PM
