DATE,VISITING TEAM,HOME TEAM,TIME
"Wed Oct 12, 2016",Toronto,Ottawa,7:00 PM ET
"Wed Oct 12, 2016",St. Louis,Chicago,8:00 PM ET
"Wed Oct 12, 2016",Calgary,Edmonton,10:00 PM ET
"Wed Oct 12, 2016",Los Angeles,San Jose,10:30 PM ET
"Thu Oct 13, 2016",Montreal,Buffalo,7:00 PM ET
"Thu Oct 13, 2016",NY Islanders,NY Rangers,7:00 PM ET
"Thu Oct 13, 2016",Washington,Pittsburgh,7:00 PM ET
"Thu Oct 13, 2016",Boston,Columbus,7:00 PM ET
"Thu Oct 13, 2016",Detroit,Tampa Bay,7:30 PM ET
"Thu Oct 13, 2016",New Jersey,Florida,7:30 PM ET
"Thu Oct 13, 2016",Minnesota,St. Louis,8:00 PM ET
"Thu Oct 13, 2016",Carolina,Winnipeg,8:00 PM ET
"Thu Oct 13, 2016",Anaheim,Dallas,8:30 PM ET
"Fri Oct 14, 2016",Chicago,Nashville,8:00 PM ET
"Fri Oct 14, 2016",Edmonton,Calgary,9:00 PM ET
"Fri Oct 14, 2016",Philadelphia,Los Angeles,10:30 PM ET
"Sat Oct 15, 2016",Boston,Toronto,7:00 PM ET
"Sat Oct 15, 2016",Montreal,Ottawa,7:00 PM ET
"Sat Oct 15, 2016",New Jersey,Tampa Bay,7:00 PM ET
"Sat Oct 15, 2016",Detroit,Florida,7:00 PM ET
"Sat Oct 15, 2016",Anaheim,Pittsburgh,7:00 PM ET
"Sat Oct 15, 2016",NY Islanders,Washington,7:00 PM ET
"Sat Oct 15, 2016",San Jose,Columbus,7:00 PM ET
"Sat Oct 15, 2016",Winnipeg,Minnesota,7:00 PM ET
"Sat Oct 15, 2016",NY Rangers,St. Louis,8:00 PM ET
"Sat Oct 15, 2016",Nashville,Chicago,8:30 PM ET
"Sat Oct 15, 2016",Dallas,Colorado,9:00 PM ET
"Sat Oct 15, 2016",Philadelphia,Arizona,9:00 PM ET
"Sat Oct 15, 2016",Calgary,Vancouver,10:00 PM ET
"Sun Oct 16, 2016",Anaheim,NY Islanders,6:00 PM ET
"Sun Oct 16, 2016",Buffalo,Edmonton,7:00 PM ET
"Sun Oct 16, 2016",Carolina,Vancouver,10:00 PM ET
"Mon Oct 17, 2016",San Jose,NY Rangers,7:00 PM ET
"Mon Oct 17, 2016",Colorado,Pittsburgh,7:00 PM ET
"Mon Oct 17, 2016",Ottawa,Detroit,7:30 PM ET
"Mon Oct 17, 2016",Boston,Winnipeg,8:00 PM ET
"Tue Oct 18, 2016",Anaheim,New Jersey,7:00 PM ET
"Tue Oct 18, 2016",San Jose,NY Islanders,7:00 PM ET
"Tue Oct 18, 2016",Colorado,Washington,7:00 PM ET
"Tue Oct 18, 2016",Pittsburgh,Montreal,7:30 PM ET
"Tue Oct 18, 2016",Arizona,Ottawa,7:30 PM ET
"Tue Oct 18, 2016",Florida,Tampa Bay,7:30 PM ET
"Tue Oct 18, 2016",Dallas,Nashville,8:00 PM ET
"Tue Oct 18, 2016",Los Angeles,Minnesota,8:00 PM ET
"Tue Oct 18, 2016",Philadelphia,Chicago,8:30 PM ET
"Tue Oct 18, 2016",Buffalo,Calgary,9:00 PM ET
