HOME,AWAY,DATE,TIME (ET)
BUF,MON,10/13/2016,7:00 PM
EDM,BUF,10/16/2016,7:00 PM
CGY,BUF,10/18/2016,9:00 PM
VAN,BUF,10/20/2016,10:00 PM
PHI,BUF,10/25/2016,7:00 PM
BUF,MIN,10/27/2016,7:00 PM
BUF,FLA,10/29/2016,1:00 PM
WPG,BUF,10/30/2016,3:00 PM
MIN,BUF,11/1/2016,8:00 PM
BUF,TOR,11/3/2016,7:00 PM
OTT,BUF,11/5/2016,7:00 PM
BOS,BUF,11/7/2016,7:00 PM
BUF,OTT,11/9/2016,7:30 PM
BUF,NJD,11/11/2016,7:00 PM
NJD,BUF,11/12/2016,7:00 PM
STL,BUF,11/15/2016,8:00 PM
BUF,TBL,11/17/2016,7:00 PM
BUF,PIT,11/19/2016,7:00 PM
BUF,CGY,11/21/2016,7:00 PM
BUF,DET,11/23/2016,7:00 PM
WSH,BUF,11/25/2016,5:00 PM
OTT,BUF,11/29/2016,7:30 PM
BUF,NYR,12/1/2016,7:00 PM
BUF,BOS,12/3/2016,1:00 PM
WSH,BUF,12/5/2016,7:00 PM
BUF,EDM,12/6/2016,7:00 PM
BUF,WSH,12/9/2016,7:00 PM
BUF,LAK,12/13/2016,7:00 PM
BUF,NYI,12/16/2016,7:00 PM
CAR,BUF,12/17/2016,7:00 PM
FLA,BUF,12/20/2016,7:30 PM
BUF,CAR,12/22/2016,7:00 PM
NYI,BUF,12/23/2016,7:00 PM
DET,BUF,12/27/2016,7:30 PM
BUF,BOS,12/29/2016,7:00 PM
BOS,BUF,12/31/2016,1:00 PM
NYR,BUF,1/3/2017,7:00 PM
CHI,BUF,1/5/2017,8:30 PM
BUF,WPG,1/7/2017,1:00 PM
BUF,PHI,1/10/2017,7:00 PM
TBL,BUF,1/12/2017,7:30 PM
CAR,BUF,1/13/2017,7:30 PM
BUF,DAL,1/16/2017,1:00 PM
TOR,BUF,1/17/2017,7:30 PM
BUF,DET,1/20/2017,7:00 PM
MON,BUF,1/21/2017,7:00 PM
NSH,BUF,1/24/2017,8:00 PM
DAL,BUF,1/26/2017,8:30 PM
MON,BUF,1/31/2017,7:30 PM
BUF,NYR,2/2/2017,7:00 PM
BUF,OTT,2/4/2017,7:00 PM
NJD,BUF,2/6/2017,7:00 PM
BUF,SJS,2/7/2017,7:00 PM
BUF,ANH,2/9/2017,7:00 PM
TOR,BUF,2/11/2017,7:00 PM
BUF,VAN,2/12/2017,7:30 PM
OTT,BUF,2/14/2017,7:30 PM
BUF,COL,2/16/2017,7:00 PM
BUF,STL,2/18/2017,1:00 PM
BUF,CHI,2/19/2017,6:00 PM
COL,BUF,2/25/2017,10:00 PM
ARI,BUF,2/26/2017,8:30 PM
BUF,NSH,2/28/2017,7:00 PM
BUF,ARI,3/2/2017,7:00 PM
BUF,TBL,3/4/2017,7:00 PM
PIT,BUF,3/5/2017,5:00 PM
BUF,PHI,3/7/2017,7:00 PM
CBJ,BUF,3/10/2017,7:00 PM
BUF,CBJ,3/11/2017,7:00 PM
SJS,BUF,3/14/2017,10:30 PM
LAK,BUF,3/16/2017,10:30 PM
ANH,BUF,3/17/2017,10:00 PM
DET,BUF,3/20/2017,7:30 PM
BUF,PIT,3/21/2017,7:00 PM
BUF,TOR,3/25/2017,7:00 PM
BUF,FLA,3/27/2017,7:00 PM
CBJ,BUF,3/28/2017,7:00 PM
BUF,NYI,4/2/2017,3:00 PM
BUF,TOR,4/3/2017,7:00 PM
BUF,MON,4/5/2017,7:30 PM
FLA,BUF,4/8/2017,7:00 PM
TBL,BUF,4/9/2017,5:00 PM
