HOME,AWAY,DATE,TIME (ET)
WPG,CAR,10/13/2016,8:00 PM
VAN,CAR,10/16/2016,10:00 PM
EDM,CAR,10/18/2016,9:00 PM
CGY,CAR,10/20/2016,9:00 PM
PHI,CAR,10/22/2016,7:00 PM
DET,CAR,10/25/2016,7:30 PM
CAR,NYR,10/28/2016,7:30 PM
CAR,PHI,10/30/2016,5:00 PM
OTT,CAR,11/1/2016,7:30 PM
NSH,CAR,11/5/2016,8:00 PM
CAR,NJD,11/6/2016,6:00 PM
NJD,CAR,11/8/2016,7:00 PM
CAR,ANH,11/10/2016,7:00 PM
CAR,WSH,11/12/2016,7:00 PM
CAR,SJS,11/15/2016,7:00 PM
CAR,MON,11/18/2016,7:30 PM
CAR,WPG,11/20/2016,5:00 PM
TOR,CAR,11/22/2016,7:00 PM
MON,CAR,11/24/2016,7:30 PM
OTT,CAR,11/26/2016,7:00 PM
CAR,FLA,11/27/2016,6:00 PM
NYR,CAR,11/29/2016,7:00 PM
BOS,CAR,12/1/2016,7:00 PM
NYR,CAR,12/3/2016,1:00 PM
CAR,TBL,12/4/2016,5:00 PM
ANH,CAR,12/7/2016,10:30 PM
LAK,CAR,12/8/2016,10:30 PM
SJS,CAR,12/10/2016,10:30 PM
CAR,VAN,12/13/2016,7:00 PM
CAR,WSH,12/16/2016,7:30 PM
CAR,BUF,12/17/2016,7:00 PM
CAR,DET,12/19/2016,7:00 PM
BUF,CAR,12/22/2016,7:00 PM
CAR,BOS,12/23/2016,7:30 PM
PIT,CAR,12/28/2016,7:00 PM
CAR,CHI,12/30/2016,7:30 PM
TBL,CAR,12/31/2016,7:00 PM
CAR,NJD,1/3/2017,7:00 PM
STL,CAR,1/5/2017,8:00 PM
CHI,CAR,1/6/2017,8:30 PM
CAR,BOS,1/8/2017,5:00 PM
CAR,CBJ,1/10/2017,7:00 PM
CAR,BUF,1/13/2017,7:30 PM
CAR,NYI,1/14/2017,8:00 PM
CBJ,CAR,1/17/2017,7:00 PM
CAR,PIT,1/20/2017,7:00 PM
CBJ,CAR,1/21/2017,5:00 PM
WSH,CAR,1/23/2017,7:00 PM
CAR,LAK,1/26/2017,7:00 PM
CAR,PHI,1/31/2017,7:00 PM
CAR,EDM,2/3/2017,7:30 PM
NYI,CAR,2/4/2017,7:00 PM
WSH,CAR,2/7/2017,7:00 PM
DAL,CAR,2/11/2017,2:00 PM
CAR,COL,2/17/2017,7:30 PM
CAR,TOR,2/19/2017,7:30 PM
CAR,PIT,2/21/2017,7:00 PM
CAR,OTT,2/24/2017,7:30 PM
CAR,CGY,2/26/2017,3:00 PM
FLA,CAR,2/28/2017,7:30 PM
TBL,CAR,3/1/2017,7:00 PM
CAR,ARI,3/3/2017,7:30 PM
ARI,CAR,3/5/2017,8:30 PM
COL,CAR,3/7/2017,9:00 PM
CAR,NYR,3/9/2017,7:00 PM
CAR,TOR,3/11/2017,7:00 PM
NYI,CAR,3/13/2017,7:00 PM
CAR,NYI,3/14/2017,7:00 PM
CAR,MIN,3/16/2017,7:00 PM
CAR,NSH,3/18/2017,7:00 PM
PHI,CAR,3/19/2017,7:00 PM
FLA,CAR,3/21/2017,7:30 PM
MON,CAR,3/23/2017,7:30 PM
NJD,CAR,3/25/2017,7:00 PM
CAR,DET,3/28/2017,7:00 PM
CAR,CBJ,3/30/2017,7:00 PM
CAR,DAL,4/1/2017,7:00 PM
PIT,CAR,4/2/2017,5:00 PM
MIN,CAR,4/4/2017,8:00 PM
CAR,NYI,4/6/2017,7:00 PM
CAR,STL,4/8/2017,7:00 PM
PHI,CAR,4/9/2017,7:00 PM
