HOME,AWAY,DATE,TIME (CT)
CBJ,BOS,10/13/2016,6:00 PM
CBJ,SJS,10/15/2016,6:00 PM
CBJ,CHI,10/21/2016,6:00 PM
DAL,CBJ,10/22/2016,7:00 PM
LAK,CBJ,10/25/2016,9:30 PM
SJS,CBJ,10/27/2016,9:30 PM
ANH,CBJ,10/28/2016,9:00 PM
CBJ,DAL,11/1/2016,6:00 PM
CBJ,MON,11/4/2016,6:00 PM
STL,CBJ,11/5/2016,6:00 PM
CBJ,ANH,11/9/2016,6:00 PM
BOS,CBJ,11/10/2016,6:00 PM
CBJ,STL,11/12/2016,6:00 PM
CBJ,WSH,11/15/2016,6:00 PM
CBJ,NYR,11/18/2016,6:00 PM
WSH,CBJ,11/20/2016,11:30 PM
CBJ,COL,11/21/2016,6:00 PM
CBJ,CGY,11/23/2016,6:00 PM
TBL,CBJ,11/25/2016,6:30 PM
FLA,CBJ,11/26/2016,6:00 PM
CBJ,TBL,11/29/2016,6:00 PM
COL,CBJ,12/1/2016,8:00 PM
ARI,CBJ,12/3/2016,7:00 PM
CBJ,ARI,12/5/2016,6:00 PM
DET,CBJ,12/9/2016,6:30 PM
CBJ,NYI,12/10/2016,6:00 PM
EDM,CBJ,12/13/2016,8:00 PM
CGY,CBJ,12/16/2016,8:00 PM
VAN,CBJ,12/18/2016,3:00 PM
CBJ,LAK,12/20/2016,6:00 PM
CBJ,PIT,12/22/2016,6:00 PM
CBJ,MON,12/23/2016,6:00 PM
CBJ,BOS,12/27/2016,6:00 PM
WPG,CBJ,12/29/2016,7:00 PM
MIN,CBJ,12/31/2016,5:00 PM
CBJ,EDM,1/3/2017,6:00 PM
WSH,CBJ,1/5/2017,6:00 PM
CBJ,NYR,1/7/2017,6:00 PM
CBJ,PHI,1/8/2017,5:00 PM
CAR,CBJ,1/10/2017,6:00 PM
TBL,CBJ,1/13/2017,6:30 PM
FLA,CBJ,1/14/2017,6:00 PM
CBJ,CAR,1/17/2017,6:00 PM
CBJ,OTT,1/19/2017,6:00 PM
CBJ,CAR,1/21/2017,4:00 PM
OTT,CBJ,1/22/2017,4:00 PM
NYI,CBJ,1/24/2017,6:00 PM
NSH,CBJ,1/26/2017,7:00 PM
NYR,CBJ,1/31/2017,6:00 PM
PIT,CBJ,2/3/2017,6:00 PM
CBJ,NJD,2/4/2017,6:00 PM
DET,CBJ,2/7/2017,6:30 PM
CBJ,VAN,2/9/2017,6:00 PM
CBJ,DET,2/11/2017,4:00 PM
CBJ,NYR,2/13/2017,6:00 PM
CBJ,TOR,2/15/2017,6:00 PM
CBJ,PIT,2/17/2017,6:00 PM
CBJ,NSH,2/19/2017,5:00 PM
CBJ,NYI,2/25/2017,4:00 PM
NYR,CBJ,2/26/2017,4:00 PM
MON,CBJ,2/28/2017,6:30 PM
CBJ,MIN,3/2/2017,6:00 PM
OTT,CBJ,3/4/2017,6:00 PM
NJD,CBJ,3/5/2017,4:00 PM
CBJ,NJD,3/7/2017,6:00 PM
CBJ,BUF,3/10/2017,6:00 PM
BUF,CBJ,3/11/2017,6:00 PM
PHI,CBJ,3/13/2017,6:00 PM
CBJ,FLA,3/16/2017,6:00 PM
NYI,CBJ,3/18/2017,0:00 PM
NJD,CBJ,3/19/2017,0:00 PM
CBJ,TOR,3/22/2017,6:00 PM
WSH,CBJ,3/23/2017,6:00 PM
CBJ,PHI,3/25/2017,1:00 PM
CBJ,BUF,3/28/2017,6:00 PM
CAR,CBJ,3/30/2017,6:00 PM
CHI,CBJ,3/31/2017,7:30 PM
CBJ,WSH,4/2/2017,5:00 PM
PIT,CBJ,4/4/2017,6:00 PM
CBJ,WPG,4/6/2017,6:00 PM
PHI,CBJ,4/8/2017,11:30 PM
TOR,CBJ,4/9/2017,5:00 PM
