HOME,AWAY,DATE,TIME (MT)
EDM,CGY,10/12/2016,8:00 PM
CGY,EDM,10/14/2016,7:00 PM
VAN,CGY,10/15/2016,8:00 PM
CGY,BUF,10/18/2016,7:00 PM
CGY,CAR,10/20/2016,7:00 PM
CGY,STL,10/22/2016,8:00 PM
CHI,CGY,10/24/2016,6:30 PM
STL,CGY,10/25/2016,6:00 PM
CGY,OTT,10/28/2016,7:00 PM
CGY,WSH,10/30/2016,7:30 PM
CHI,CGY,11/1/2016,6:30 PM
SJS,CGY,11/3/2016,8:30 PM
LAK,CGY,11/5/2016,8:00 PM
ANH,CGY,11/6/2016,7:30 PM
CGY,DAL,11/10/2016,7:00 PM
CGY,NYR,11/12/2016,8:00 PM
MIN,CGY,11/15/2016,6:00 PM
CGY,ARI,11/16/2016,8:00 PM
CGY,CHI,11/18/2016,7:00 PM
DET,CGY,11/20/2016,5:30 PM
BUF,CGY,11/21/2016,5:00 PM
CBJ,CGY,11/23/2016,5:00 PM
BOS,CGY,11/25/2016,5:30 PM
PHI,CGY,11/27/2016,5:00 PM
NYI,CGY,11/28/2016,5:00 PM
CGY,TOR,11/30/2016,6:30 PM
CGY,MIN,12/2/2016,7:00 PM
CGY,ANH,12/4/2016,7:30 PM
DAL,CGY,12/6/2016,6:30 PM
ARI,CGY,12/8/2016,7:00 PM
CGY,WPG,12/10/2016,8:00 PM
CGY,TBL,12/14/2016,7:30 PM
CGY,CBJ,12/16/2016,7:00 PM
ARI,CGY,12/19/2016,7:00 PM
SJS,CGY,12/20/2016,8:30 PM
CGY,VAN,12/23/2016,7:00 PM
COL,CGY,12/27/2016,7:00 PM
CGY,ANH,12/29/2016,7:00 PM
CGY,ARI,12/31/2016,8:00 PM
CGY,COL,1/4/2017,8:00 PM
VAN,CGY,1/6/2017,8:00 PM
CGY,VAN,1/7/2017,8:00 PM
WPG,CGY,1/9/2017,6:00 PM
CGY,SJS,1/11/2017,7:30 PM
CGY,NJD,1/13/2017,7:00 PM
EDM,CGY,1/14/2017,8:00 PM
CGY,FLA,1/17/2017,7:00 PM
CGY,NSH,1/19/2017,7:00 PM
CGY,EDM,1/21/2017,8:00 PM
TOR,CGY,1/23/2017,5:30 PM
MON,CGY,1/24/2017,5:30 PM
OTT,CGY,1/26/2017,5:30 PM
CGY,MIN,2/1/2017,8:00 PM
NJD,CGY,2/3/2017,5:30 PM
NYR,CGY,2/5/2017,0:00 PM
PIT,CGY,2/7/2017,5:00 PM
CGY,ARI,2/13/2017,7:00 PM
CGY,PHI,2/15/2017,7:30 PM
VAN,CGY,2/18/2017,8:00 PM
NSH,CGY,2/21/2017,6:00 PM
TBL,CGY,2/23/2017,5:30 PM
FLA,CGY,2/24/2017,5:30 PM
CAR,CGY,2/26/2017,1:00 PM
CGY,LAK,2/28/2017,7:00 PM
CGY,DET,3/3/2017,7:00 PM
CGY,NYI,3/5/2017,2:00 PM
CGY,MON,3/9/2017,7:00 PM
WPG,CGY,3/11/2017,5:00 PM
CGY,PIT,3/13/2017,7:00 PM
CGY,BOS,3/15/2017,7:00 PM
CGY,DAL,3/17/2017,7:00 PM
CGY,LAK,3/19/2017,7:30 PM
WSH,CGY,3/21/2017,5:00 PM
NSH,CGY,3/23/2017,6:00 PM
STL,CGY,3/25/2017,5:00 PM
CGY,COL,3/27/2017,7:00 PM
CGY,LAK,3/29/2017,7:00 PM
CGY,SJS,3/31/2017,7:00 PM
CGY,ANH,4/2/2017,7:30 PM
ANH,CGY,4/4/2017,8:00 PM
LAK,CGY,4/6/2017,8:30 PM
SJS,CGY,4/8/2017,8:00 PM
