HOME,AWAY,DATE,TIME (CT)
DAL,ANH,10/13/2016,7:30 PM
COL,DAL,10/15/2016,8:00 PM
NSH,DAL,10/18/2016,7:00 PM
DAL,LAK,10/20/2016,7:30 PM
DAL,CBJ,10/22/2016,7:00 PM
DAL,WPG,10/25/2016,7:30 PM
WPG,DAL,10/27/2016,7:00 PM
MIN,DAL,10/29/2016,7:00 PM
CBJ,DAL,11/1/2016,6:00 PM
DAL,STL,11/3/2016,7:30 PM
DAL,CHI,11/5/2016,7:00 PM
CHI,DAL,11/6/2016,6:00 PM
WPG,DAL,11/8/2016,7:00 PM
CGY,DAL,11/10/2016,8:00 PM
EDM,DAL,11/11/2016,8:00 PM
VAN,DAL,11/13/2016,3:00 PM
DAL,NJD,11/15/2016,7:30 PM
DAL,COL,11/17/2016,7:30 PM
DAL,EDM,11/19/2016,6:00 PM
DAL,MIN,11/21/2016,7:30 PM
NSH,DAL,11/23/2016,7:00 PM
DAL,VAN,11/25/2016,7:30 PM
STL,DAL,11/28/2016,7:00 PM
DET,DAL,11/29/2016,6:30 PM
PIT,DAL,12/1/2016,6:00 PM
COL,DAL,12/3/2016,8:00 PM
DAL,CGY,12/6/2016,7:30 PM
DAL,NSH,12/8/2016,7:30 PM
PHI,DAL,12/10/2016,0:00 PM
CHI,DAL,12/11/2016,6:00 PM
DAL,ANH,12/13/2016,7:30 PM
DAL,NYR,12/15/2016,7:30 PM
DAL,PHI,12/17/2016,1:00 PM
DAL,STL,12/20/2016,7:30 PM
DAL,LAK,12/23/2016,7:30 PM
ARI,DAL,12/27/2016,8:00 PM
DAL,COL,12/29/2016,7:30 PM
DAL,FLA,12/31/2016,7:00 PM
DAL,MON,1/4/2017,7:00 PM
STL,DAL,1/7/2017,7:00 PM
LAK,DAL,1/9/2017,9:30 PM
ANH,DAL,1/10/2017,9:00 PM
DAL,DET,1/12/2017,7:30 PM
DAL,MIN,1/14/2017,8:00 PM
BUF,DAL,1/16/2017,0:00 PM
NYR,DAL,1/17/2017,6:00 PM
NYI,DAL,1/19/2017,6:00 PM
DAL,WSH,1/21/2017,7:00 PM
DAL,MIN,1/24/2017,7:30 PM
DAL,BUF,1/26/2017,7:30 PM
DAL,TOR,1/31/2017,7:30 PM
DAL,WPG,2/2/2017,7:30 PM
DAL,CHI,2/4/2017,7:00 PM
TOR,DAL,2/7/2017,6:30 PM
OTT,DAL,2/9/2017,6:30 PM
DAL,CAR,2/11/2017,1:00 PM
NSH,DAL,2/12/2017,5:00 PM
WPG,DAL,2/14/2017,7:00 PM
MIN,DAL,2/16/2017,7:00 PM
DAL,TBL,2/18/2017,7:00 PM
DAL,ARI,2/24/2017,7:30 PM
DAL,BOS,2/26/2017,11:30 PM
DAL,PIT,2/28/2017,7:30 PM
DAL,NYI,3/2/2017,7:30 PM
FLA,DAL,3/4/2017,6:00 PM
WSH,DAL,3/6/2017,6:00 PM
DAL,OTT,3/8/2017,7:00 PM
SJS,DAL,3/12/2017,9:00 PM
EDM,DAL,3/14/2017,8:00 PM
VAN,DAL,3/16/2017,9:00 PM
CGY,DAL,3/17/2017,8:00 PM
DAL,SJS,3/20/2017,7:30 PM
CHI,DAL,3/23/2017,7:30 PM
DAL,SJS,3/24/2017,7:30 PM
NJD,DAL,3/26/2017,4:00 PM
MON,DAL,3/28/2017,6:30 PM
BOS,DAL,3/30/2017,6:00 PM
CAR,DAL,4/1/2017,6:00 PM
TBL,DAL,4/2/2017,5:00 PM
DAL,ARI,4/4/2017,7:30 PM
DAL,NSH,4/6/2017,7:30 PM
DAL,COL,4/8/2017,7:00 PM
